Manx,English
"Laa’l Breeshey bane,",White St. Bridget’s Day; every ditch full of black or of white
"Dy choolley yeeig lane,",
Dy ghoo ny dy vane.,
"Choud as hig y scell greinney stiagh laa’l Breeshey, hig y sniaghtey my jig laa Boayldyn.","As long as the sunshine appears on St. Bridget’s Day, the snow will come before May Day."
"Laa’l Moirrey ny Gianle,","Mary’s Feast Day of the candle, i.e., Candlemas, half fodder and half fire."
lieh foddyr as lieh aile.,
Laa’l Parick arree yn dow gys e staik as y dooinney gys e lhiabbee.,St. Patrick’s Day in Spring the ox to his stake and the man to his bed.
"Laa’l Paul ghorrinagh gheayee,","St. Paul’s Day stormy and windy, famine in the world and great mortality among people; St. Paul’s Day fair and clean, plenty in the world of corn and meal."
Ghenney er y theihll as baase-mooar sleih;,
"Laa’l Paul aalin as glen,",
Palçhey er y theihll dy arroo as meinn.,
"Tra ta fer laccal ben, cha vel eh laccal agh ben,","When a man wants a wife, he wants nothing but a wife; but when he has a wife, he wants many (things) clean. [… a great deal. GWW]"
"Agh tra ta ben echey, t’eh laccal ymmodee glen.",
Ta lane eddyr raa as jannoo.,There is much between saying and doing.
Ta lane caillit eddyr y laue as y veeal.,There is much lost between the hand and the mouth.
Ta rouyr çhebbyn mie leodaghey mitçhoor.,Too many good offers degrade a rogue.
Lhiat myr hoil oo.,(Be it) to thee as thou deservest.
Cha daink rieau yn baase gyn leshtal.,Death never came without an excuse.
Ta booa vie ny gha[a] as drogh lheiy ec.,Many a good cow has a bad calf.
Ta dty lhiasagh dty ghoarn.,Thy recompense is thy fist.
Share goll dy lhie fegooish shibber na girree ayns lhiastynys.,Better to go to bed supperless than to rise in debt.
Yiow moyrn lhieggey.,Pride will have a fall.
Leah appee leah lhoau.,Soon ripe soon rotten.
"Cronk ghlass foddey voym,","A green hill far from me, Bare, bare, when I reach it."
Loam loam tra roshym eh.,
"Yn loam leigh, yn loam chair; though some will have it to be, yn loam aggair.","The bare law, the bare right (or wrong)."
"Cha vel y Vanninagh dy bragh creeney, dys y laa lurg y vargee.",The Manxman is never wise till the day after the fair.
S’loam ta laare y valley vargee.,Bare is the ground of the market town.
Lhiannoo ny louyran.,A child or a castling.
"Litçheragh goll dy lhie, litçheragh dy irree, as litçheragh dy gholl dys y cheeill Jedoonee.","Lazy going to bed (lie), lazy rising, and lazy to go to church on Sunday."
Ta’n Vayrnt çhionney as yn nah vee fanney.,March tightens and the next month flays.
Laa er-meshtey as laa er ushtey.,A day drunk and a day on (i.e. drinking) water.
S’mie ve daaney agh s’olk ve ro ghaaney.,"’Tis good to be bold, but bad to be too bold."
"Share soie son veg, na roie son veg.",Better to sit for little than run for little.
Cha row rieau bare-lhiam jeant magh.,‘I would rather’ was never satisfied.
Millish dy ghoaill agh sharroo dy eeck.,"Sweet to take, but bitter to pay."
Ceau craue ayns beeal drogh voddey.,Throwing a bone in a bad dog’s mouth.
Baase y derrey voddey grayse y voddey elley.,The death of the one dog is the grace of the other.
Ta ny moddee er chur nyn gione sy phot.,The dogs have put their heads in the pot.
Rouyr moddee as beggan craueyn.,Too many dogs and few bones.
Cadle[e] ny moddee tra ta ny mraane creearey.,The dogs sleep when the women sift.
Foddee fastyr grianagh ve ec moghrey bodjalagh.,A sunny evening may follow a cloudy morning. GWW
My yial dyn moll.,My promise without deceit.
Mollee yn molteyr oo my oddys eh.,The rogue will deceive you if he can.
Moyll y laa mie fastyr.,Praise a good day in the evening.
Cha vel eh çheet jesh da moyrn dy yannoo red erbee ta laccal leshtal.,It does not become pride to do anything which needs an excuse.
Cha dennee rieau yn voyrn feayraght.,Pride never felt the cold.
Lhig dy chooilley vuck reuyrey jee hene.,Let every pig dig for herself.
Furree yn mwaagh rish e heshey.,The hare will wait for his mate.
"Laa’l Mian carragh skaa yn arroo sy n’ouyr, as marroo ny eayin sy n’arragh.","St. Matthew’s Day scurvy sheds the corn in the Autumn, and kills the lambs in the Spring. (The feast of St. Matthias is held on the 25th of February, and that of St. Matthew on the 21st of September.)"
"Eshyn smoo hayrys, smoo vees echey.",He who catches most shall have most.
"Mie Mannin, mie Nherin.","Good for Mann, good for Ireland."
"Ollick vog, rhullic vea.","A soft Christmas, a fat churchyard."
"Obbyr dyn oardagh, obbyr dyn booise.",Work without order is work without thanks.
Tra t’ou jannoo yn trie jean yn oarlagh.,"When thou art making the foot, make the inch."
"Obbyr laa yn ghuilley buigh (or buee), obbyr laue.",The day work of the yellow boy (gold) is hand (manual) work.
Yn oghe gyllagh ‘toyn losht’ da’n aiee.,The oven calling ‘burnt breech’ to the kiln. (s.v. oghe)
,The oven calling ‘burnt bottom’ to the kiln (s.v. gyllagh)
"Oie mooie, as oie elley sthie,","A night outside and another night inside, bad for horses but good for sheep."
"Olk son cabbil, agh son kirree mie.",
"Myr s’olk ayn, smessey ass.","The more evil in it, the worse out of it."
Lhig dy chooilley ushag guirr e hoohyn hene.,Let every bird hatch its own eggs.
Cha nee tra ta’n cheyrrey gee yn ouw te çheet r’ee.,"It is not when the sheep eats the marsh pennywort that it comes to her, i.e., the evil effects do not appear till after."
Ta daa Pharick jannoo un ghimmagh.,Two small lobsters make a large one.
"Laa’l Parlane,","St. Bartholomew’s Day, two waves going in one. [‘two masses’ GWW]"
daa honn goll sy nane.,
"Boayl ta gioee ta keck, as boayl ta mraane ta pleat.","Where there are geese there is dirt, and where there are women there is prattle."
Tasht prug[h]ag as ee lughag.,Store miser and eat mouse.
"Ollick ghennal erriu as bleïn feer vie,","A merry Christmas on ye, and a very good year,"
Seihll as slaynt da’n slane lught thie;,Long life and health to the whole household;
"Bea as gennallys eu bio ry-cheilley,","Your life and mirth living together,"
Shee as graih eddyr mraane as deiney;,Peace and love between women and men;
"Cooid as cowryn, stock as stoyr.","Goods and wealth, stock and store,"
"Palchey phuddase, as skaddan dy-liooar;",Plenty potatoes and enough herring;
"Arran as caashey, eeym as roayrt;","Bread and cheese, butter and beef,"
"Baase, myr lugh, ayns uhllin ny soalt;","Death, like a mouse, in the stackyard of the barn;"
"Cadley sauchey tra vees shiu ny lhie,","Sleeping safely when you lie,"
"As feeackle y jargan, nagh bee dy mie.","and the flea’s tooth, may it not be well."
"Tra sreaie yn chloie, share faagail jeh.","When the play is merriest, ’tis best to leave off."
Ta’n red ta goit dy mie ny share na’n red ta jeant dy mie.,The thing that is taken well is better than the thing that is done well.
"Cha nee eshyn ta red beg echey ta boght, agh eshyn ta geearree mooarane.","It is not he who has little that is poor, but he who desires much."
Lurg roayrt hig contraie.,After spring tide comes neap tide.
Slaa sahll er toyn muck roauyr.,Smearing grease on a fat pig’s breech.
Ta un cheyr[r]ey screbbagh doghaney yn clane shioltane.,One scabby sheep inflects the whole flock.
"Tra scuirrys y laue dy choyrt, scuirrys yn veeal dy voylley.","When the hand ceases to give, the mouth ceases to praise."
Shaghyn dagh olk.,Shun each evil.
Sheayn dty hie as dty aaght; ta’n fer driaght ec dty ghorrys.,"Peace to thy house and thy lodging, the chainer is at the door. (Or, preferably, Peace on thy house and lodging, the officer of justice is at thy door.)"
Shegin goaill ny eairkyn marish y çheh.,’Tis necessary taking the horns with the hide.
Ta sheshey chammah as ayrn.,A companion is as good as a share.
Myr sloo yn çheshaght share yn ayrn; myr smoo yn çheshaght s’reaie yn chloie.,The smaller the company the better the share; the bigger the company the merrier the play.
"Giare sheear, liauyr shiar.","Short west, long east."
Goll thie yn ghoayr dy hirrey ollan.,Going to the goat’s house to seek wool.
"Myr sniessey da’n oie, slhee mitçhoor.","The nearer the night, the more rogues."
"Guilley smuggagh dooinney glen,","A snotty boy, a clean man. A snotty girl, a slut of a woman."
Inneen smuggagh sluht dy ven.,
Cha smooinee rieau er yn olk nagh ren.,One never thinks of the evil one did not do. GWW
"Dy chooilley ghooinney er e hon hene, as Jee son ooilley.",Every man for himself and God for all.
Ta’n breagerey molley yn sonderey.,The liar deceives the greedy person. [… the miser. GWW]
"Sooree ghiare, yn tooree share.",Short courting the best courting.
Ta’n chied sponnag lowit.,The first trick is allowed. [The first error is overlooked. GWW]
Stiark keayrt ta dooinney siyragh <an> [gyn] seaghyn. [… ass seaghyn. GWW],A hasty man is seldom without trouble.
"Dy ve aashagh syn oie,","To be easy in the night, much supper don’t eat, or else you will complain at wanting your health."
monney shibber nagh ee;,
"Er nonney n’oo plaiynt,",
ec laccal dty laynt.,
"Shibber eddrym, lhiabbee ghlen.","A light supper, a clean bed."
Skeiy sy doarlish.,A bundle of faggots in a gap.
Cha vow laue ny haaue veg.,An idle hand will receive nothing.
Eshyn ghuirrys skeilley hayrrys skeilley.,He who hatches harm catches harm.
"Raad ta jees ta reih,","Where there are two there is choice, and where there are three there is pick."
As raad ta troor ta teiy.,
Ta drogh hammag ny share na magher foshlit.,A bad bush is better than an open field.
Stroshey yn theay na yn Çhiarn.,The people are stronger than the lord.
Ta çhengey ny host ny share na olk y ghra.,A silent tongue is better than evil speaking.
"Tra ta thie dty naboo er aile, gow cairail jeh dty hie hene.",When thy neighbour’s house is on fire take care of thy own house.
T’ou towse e arroo liorish dty hubbag hene.,You are measuring his corn with your own bushel.
Sniessey yn uillin na yn doarn.,Nearer is the elbow than the fist.
Ta ushag ayns laue chammah as jees sy thammag.,A bird is the hand is as good as two in the bush.
Woish y laue gys y veeal,From hand to mouth.
"Share yn olk shione dooin, na yn olk nagh nhione dooin.",Better the evil that we know than the evil which we know not.
