Manx,English,Notes
"     T’ad gra, jiu, yn A myr t’ee ayn say, Baarle, ayns ynnyd jeh A myr t’ee ayn man, Baarle, as ny cheayrtyn myr lhisagh bee ee myr Á, Eirinagh, ayns yn ockle Balla. She shen myr lhisagh bee AA loayrt, as cha nee myr AE, myr t’ad gra jiu.","     They say, today, the A as it is in English ‘say’, instead of A as it is in English ‘man’, and sometimes as if it should be like Á in Irish, in the word Balla. That as how AA should be said, and not like AE, as they say today.",
"     She shen myr dy b’eigin dou dy ynsaghey chengey ghooie my hene, as cre vondeish t’ee er ve dou car ny bleinteeyn. Cha row ee mooarane, er-y-hon hie me roym er y cheayn tra va mee er my ynsaghey dy ve my uinneyder. She reggyryn bleintyn va carrey aym ayn Liverpool, raad va mee shiaulley magh ass, guilley goll-rhympene b’ynney lesh er yn chenn ghlare, as va Shamus  Mac Andreas yn ennym ersyn. Tra haink mee dy-valley ec jerrey my hyrryssyn boallagh shin dy hagloo ayns y chenn ghlare, agh hooar eh baase. Ny-cheayrtyn, ny-yeih, beagh Albinagh ny Eiriernagh er lhong marym va Gaelg e hene echey, as beagh beggan co-loayrtys eddyr ain. Agh, lesh goll-shaghey ny vleinteeyn, daase yn Ghailck aym annoon as ny s’annooney, as va glareaghyn elley goaill yn ynnyd j’ee, er yn oyr dy row mee rieau cha jeean dy ynsaghey glaraghyn elley myr va mee dy ynsaghey yn Ghailck.","     That’s how I had to learn my native language myself, and what advantage has it been for mee through the years. It wasn’t much, because I went to sea when I had been trained to be a baker. For a few years I had a friend in Liverpool, where I was sailing out from, a boy like myself who loved the old language. James Anderson  (or, McAndrews) was his name. When I came  home at the end of my trips we used to talk in the old language, but he died. Sometimes, though, there would be a Scotsman or an Irishman on a ship with me who had his own Gaelic, and there would be a little bit of conversation between us. But, woth the passing of the years, my Manx became weaker and weaker, and other languages were taking her place, because I was always as keen to learn other languages as I was to  learn the Manx language.",
"     Cha nee yindys, eisht, dy row veg jee er-mayrn dou tra haink mee my-hwoaie dy yn cheer shoh, cheer ny veinnyn aihrey, as ayndoo va deiney ass Albin Noa gobbraghey. Hug mee argid harrish yn aarkey dy Ellan Vannin, as hooar mee Fockleyr Ghailck as Baarle, as hoshiagh mee dy ynsaghey Gailck reesht, er-y-hon b’aill lhiam dy loayrt rish ny Albinee-Noaey. Ny yeih, cha daink eh lhiam dy yannoo cre va mee jerkal dy yannoo. Duirree mee ayns yn valley shoh, as ga whail mee deiney va Gailck ocsyn aynshoh, cha row wheesh chaa aym ee dy loayrt. She shen myr t’eh, eisht, ta Gailck ayn my chione, agh cha nee er my hengey t’ee!","          No wonder, then, that there was nothing of her left for me when I came north to this country, the land of gold mines, and in them there were men from Nova Scotia working. I sent money over the ocean to the Isle of Man, and I got a Manx and English Dictionary, and I started to learn Manx again, because I wanted to talk to the Nova Scotians. Yet, I didn’t manage to do what I was hoping to do. I stayed in this town, and although I met men who knew Gaelic here, I did’'t have as much opportunity to speak it. That is how it is, then, there’s Manx in my head, but it isn’t on my tongue!",
"     (Nish, lesh booise dy my charrey Pádraig, ta Albinagh as Eirienagh aym dy ynsaghe, dy-liooar, dy jarroo, dy my reayll tarroogh ooilley laghyn my lhing roym!) — Kirkland Lake, Ceanaide, 1953.","     (Now, with thanks to my friend Pádraig, I have Scottish and Irish to learn, enough, to keep me busy all the days of my life ahead of me!) — Kirkland Lake, Canada, 1953.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
