Manx,English
"ayns eash neu-chorrym agh ayns cree coardail, ","while in their age they differ, join in heart:"
’naght myr ta billey lhieuan shenn ayns stayd ,"thus stands an aged elm in ivy bound,"
cryssit mygeayrt ayns roih’ghyn hibbin aeg. ,thus youthful ivy clasps an elm around.
"Agh nish yn scollag e chumraag gansoor, ",
ayns firrinys follit jannoo briaght mooar ,
"eh dy chur tastey as gyn veg y ghra, ",
’s yindyssyn yinnagh eh y hoilshagh da. ,
"Coardit myr shen, yn laa va choud er roie ",Now sunk the sun; the closing hour of day
dy row yn seihll goaill coamrey keeir ny h-oie; ,"came onward, mantled o’er with sober grey;"
va dooghys cuirrey’n seihll dy gholl gys fea; ,nature in silence bid the world repose;
traa shen hrog plaase ayns shilley tammylt jeh; ,when near the road a stately palace rose:
"trooid coorse dy viljyn hie ad, v’er dagh laue ","there by the moon through ranks of trees they pass,"
"glass as messoil, yn eayst cur soilshey daue. ",whose verdure crowned their sloping sides of grass.
Va chiarn yn voayl er n’yannoo cliaghtey jeh ,It chanced the noble master of the dome
da troaiItee deinagh dy choyrt oltagh-bea; ,still made his house the wandering stranger’s home;
"son moylley gheiney, shen va ooilley’n oyr ","yet still the kindness, from a thirst of praise,"
hug er myr shoh cho feoilt baarail e stoyr. ,proved the vain flourish of expensive ease.
"Ta’n jees er jeet, sharvaantyn ta tendeil ",The pair arrive: the liveried servants wait;
"ec giat staydoil, yn chiarn hug daue meeiteil; ",their lord receives them at the pompous gate.
"va’n boayrd pandoogh lesh laad cho trome dy vee, ","The table groans with costly piles of food,"
ny bare cha bliass da deiney-seyrey gee; ,and all is more than hospitably good.
"leeidit gys fea, raad chaddil ad dy souyr, ","Then led to rest, the day’s long toil they drown,"
"as chaill ad skeeys ooilley’n troailtys liauyr, ",
sinkeil ayns sheeidey va mygeayrt-y-moo ,"deep sunk in sleep, and silk, and heaps of down."
as ayns y lhiabbee veeley chlooie va foue. ,
Haink brishey’n laa; cha daink yn laa ny sleaie ,"At length ’tis morn, and at the dawn of day,"
na haink veih’n jiass farraneyn meeley geayee; ,along the wide canals the zephyrs play;
"eaghtyr dagh loghan myr dy beagh ad cloie, ",
"yn gheay cur er ny duillagyn dy lheihll, ","fresh o’er the gay parterres the breezes creep,"
as myr veagh gimman cadley voish y cheyll. ,and shake the neighbouring wood to banish sleep.
Dirree ny goaldee leah tra hooar ad raaue: ,"Up rise the guests, obedient to the call:"
"cuirraghyn moghey v’ayns y halley daue, ",an early banquet decked the splendid hall;
"yn reih dy feeyn ayns cappan airh va fieau, ","rich luscious wine a golden goblet graced,"
yn mainshtyr dooie va geignagh ad dy iu. ,which the kind master forced the guests to taste.
"Booiagh as booisal v’ad, goll voish y dorrys, ","Then, pleased and thankful, from the porch they go;"
"gyn oyr ec ’nane, agh dooinney’n thie, dy arrys; ","and, but the landlord, none had cause of woe;"
son ayns aght follit –nagh dug ’nane my-ner– ,his cup was vanished; for in secret guise
va’n goaldagh aeg er gheid yn cappan airh:,the younger guest purloined the glittering prize.
lurg daue v’er gholl er tammylt mie jeh’n raad ,[see 76-77]
yeeagh eh yn verchys gheidit da ’chumraag. ,[see 76-77]
Myr fer ta fakin er y raad ard-nieu ,"As one who spies a serpent in his way,"
"ayns chiass ny greiney lhie, cretoor cho grouw, ","glistening and basking in the summer ray,"
"loagan as shassoo, chea veih gah baasoil, ","disordered stops to shun the danger near,"
"sleaydey dy lhiattee, jeeaghyn gour e hooill, ","then walks with faintness on, and looks with fear;"
"shoh myr va’n ayr, e chree lesh atchim craa –","so seemed the sire; when far upon the road,"
,the shining spoil his wily partner showed.
,"He stopped with silence, walked with trembling heart,"
agh jeh paartail cha b’lhoys da fockle ’ghra; ,"and much he wished, but durst not ask to part:"
"trughanys, jeeaghyn seose, v’eh coontey creoi ","murmuring he lifts his eyes, and thinks it hard,"
jeh giastyllys dy gheddyn leagh neu-ghooie. ,that generous actions meet a base reward.
"Agh myr v’ad goll yn aer ren coodagh doo, ","While thus they pass, the sun his glory shrouds,"
yn ghrian fo bodjallyn va follit voue; ,the changing skies hang out their sable clouds;
"feiyr er nyn skyn, cowrey jeh fliaghey trome, ","a sound in air presaged approaching rain,"
"maase roie gys fastee, crossey’n magher lhome. ",and beasts to covert scud across the plain.
Veih cowraghyn cho cronnal ghow ad raaue ,"Warned by the signs, the wandering pair retreat,"
"dy hirrey fastee thie va faggys daue, ",to seek for shelter at a neighbouring seat.
"troggit er thalloo ard, lesh tooryn runt, ","’Twas built with turrets, on a rising ground,"
agh s’moal yn farrysthie va er y ghrunt; ,"and strong, and large, and unimproved around;"
"mainshtyr neu-ghooie, peajeogagh as awane, ","its owner’s temper, timorous and severe,"
hug er mygeayrt e hie dy ve fadane. ,"unkind and griping, caused a desert there."
"Myr haink ad seose gys giat y dooinney creoi, ","As near the miser’s heavy doors they drew,"
"eiyrit lesh dorrin chlabbinagh ny geayee, ",fierce rising gusts with sudden fury blew;
"tendreilyn bieau, as frassyn trome dy liaghey, ","the nimble lightning mixed with showers began,"
yn taarnagh feiyral er nyn skyn goll shaghey; ,and o’er their heads loud-rolling thunder ran.
"cronkal, as cronkal v’ad, as foddey fieau, ","Here long they knock, but knock or call in vain,"
"fliugh lesh yn fliaghey dorrinagh va ceau, ","driven by the wind, and battered by the rain."
"agh lurg daue ve er farkiaght tammylt mie 
ren towse dy hymmey meiyghey’n mainshtyr sthie, ","At length some pity warmed the master’s breast,"
,
(gys shen cha daink rieau goaldagh stiagh ny hie); ,"(’twas then his threshold first received a guest,)"
lhiastey as jeestyrnee ta’n chooylley hrome chyndaa ,"slow creaking turns the door with jealous care,"
as lieh’n raad stiagh chuirr eh yn jees va craa; ,and half he welcomes in the shivering pair;
"un chrouw spaarailagh hooar ad foaddit roue 
dy choyrt daue mioyr ’s nyn oltyn feayr dy hiow. ","one frugal faggot lights the naked walls,"
"Ny veggan va ny oltyn oc goaill chiass, 
bree dooghys hene va cur lesh mioyr er-ash; ",and nature’s fervour through their limbs recalls:
"yn arran s’melley, as bine dy feeyn va geayr ","bread of the coarsest sort, with eager wine,"
"(mooarit dy liooar), shen hooar ad son jinnair; ","each hardly granted, served them both to dine;"
as tra va’n sterr’m er ghoaill red beg dy fea ,"and when the tempest first appeared to cease,"
haink chaghter huc dy bare daue talkal jeh. ,a ready warning bid them part in peace.
"Eisht smooinee’n hermit, kys va lheid shoh rieau ",With still remark the pondering hermit viewed
"dooinney cho berchagh, lheid y dreih neu-feeu, ","in one so rich, a life so poor and rude;"
kys yinnagh eh (dooyrt eh cheu-sthie jeh hene) ,"and why should such, (within himself he cried)"
glassey e stoyr ayns mean thousaneyn feme? ,lock the lost wealth a thousand want beside?
Agh shoh va oyr dy yindys elley da ,But what new marks of wonder soon took place
"dy row e eddin cronnit dy chaghlaa, ",in every settling feature of his face!
"tra ghow e chumraag ass e oghrish, ny va roie ",when from his vest the young companion bore
"cappan y vainshtyr kenjallagh as dooie, ","that cup, the generous landlord owned before,"
as lesh y saagh priceoil dy feoilt cooilleen ,"and paid profusely with the precious bowl,"
feoiltys neu-ghooie peajeogagh yn mooidjeen! ,the stinted kindness of this churlish soul.
"Yn gioot soilshean, yn sondagh goaill e reih, ",
"’eeacklyn craa, e hooillyn baanrit cloie; ",
my dooar eh reesht dy shickyr er e cassyn ,
ny goaldee feoilt v’er n’immeeaght ass fakin. ,
"Ny bodjallyn va goll dy gastey nish, ",But now the clouds in airy tumult fly;
"yn aer gaase gorrym as y ghrian cheet rish, ",the sun emerging opes an azure sky;
ny duillagyn s’geayney nish va ayns nyn mlaa ,"a fresher green the smelling leaves display,"
as skeayley soar gerjoilagh myr v’ad craa; ,"and glittering as they tremble, cheer the day:"
"yn emshyr hug daue oltagh er y chooyl 
veih’n farrail voght va faagit oc nyn gooyl. ","the weather courts them from the poor retreat,"
,
"Yn mainshtyr booiagh ren ad neesht ’aagail, 
ren jeigh yn giat dy leah lurg daue paartail. ",and the glad master bolts the wary gate.
,
"Myr v’ad goll er, ga nagh row’n hermit loayrt, ","While hence they walk, the pilgrim’s bosom wrought"
neu-hickyrys hug e smooinaghtyn er-troailt: ,with all the travel of uncertain thought;
"cha row eh toiggal cre va ’heshey mysh, ","his partner’s acts without their cause appear,"
"v’eh roie ny vaarliagh, agh ny vlebbin nish; ","’twas there a vice, and seemed a madness here:"
"shen va oyr feoh, shoh va oyr mooaragh da, ","detesting that, and pitying this he goes,"
v’ec kione e cheilley lesh whilleen caghlaa. ,lost and confounded with the various shows.
Keeiragh ny h-oie cheet orroo ass-y-noa ,"Now night’s dim shades again involve the sky,"
"v’ad laccal aaght, boayl dy ghoaill fastee fo; ","again the wanderers want a place to lie,"
"lurg tammylt, myr v’ad shooyl as jeeaghyn magh, 
rosh ad gys boayl raad ren ad feddyn aaght. ","again they search, and find a lodging nigh:"
,
"Va’n thalloo labrit, as ayns ordyr mie, 
troggit dy jesh, as stoamey neesht va’n thie, ","the soil improved around, the mansion neat,"
,
"cha nee red moal, eabit er veggan gheill, 
chamoo staydoil lesh moyrn er ghoaill y reill, ","and neither poorly low, nor idly great:"
,
"ve soilshagh aigney’n vainshtyr, quoi v’er reih ","it seemed to speak its master’s turn of mind,"
"dy ve kennoil, cha nee son moylley sleih. ","content, and not for praise, but virtue kind."
"Ayns shen hyndaa ny coshee stiagh dy skee, ","Hither the walkers turn with weary feet,"
"bannaghey’n thie, ’s yn mainshtyr neesht lesh shee; ","then bless the mansion, and the master greet:"
"bannaghey imlee, ynrick ren ad da, ","their greeting fair, bestowed with modest guise,"
yn mainshtyr lowal ren ansoor ’hyndaa: ,"the courteous master hears, and thus replies:"
"“Ayrn jeh ny t’aym, lesh arryltys my chree, ","“Without a vain, without a grudging heart,"
ta mee coyrt da Fer-toyrt dy chooilley nhee; ,"to him who gives us all, I yield a part;"
"yiow shiu ayns shoh, er ’choontey haink shiu veih, ","from him you come, for him accept it here,"
"dy feoilt lesh sheeltys, jeh dagh gien y reih.” ","a frank and sober, more than costly cheer.”"
Yn boayrd va skeaylt; lurg shen jeh cooishyn mie ,"He spoke, and bid the welcome table spread,"
loayr ad ry-cheilley derrey ve traa-lhie: ,"then talked of virtue till the time of bed,"
"yn clag va bwoailt, yn lught-thie freggyrt da ","when the grave household round his hall repair,"
lesh padjer hug ad jerrey er y laa. ,"warned by a bell, and close the hours with prayer."
‘Sy vadran waagh yn seihll va reesht jeant cooie ,"At length the world, renewed by calm repose,"
son obbyr liorish aash as fea ny h-oie: ,"was strong for toil, the dappled morn arose;"
my jagh ny troailtee roue veih’n ynnyd shen ,"before the pilgrims part, the younger crept"
"hie’n dooinney aeg dy feagh gys lhiattee’n chlean; 
ny chadley ayn va lhiannoo beg ny lhie, 
mac ynrycan, as boggey mooar fer-thie; ","near the closed cradle where an infant slept,"
"oh cre’n chyndaa! ghreim eh yn oikan faase, ","and writhed his neck: the landlord’s little pride,"
"chass eh e chione, ’s lesh osney hooar eh baase. ","o strange return! grew black, and gasped, and died."
"Atchim ass towse yn hermit cur-my-ner, ",Horror of horrors! what! his only son!
oh lesh cre’n shilley ren eh jeeaghyn er! ,how looked our hermit when the fact was done?
"Cabbyn doo niurin er ny osley lhean, ","not Hell, though Hell’s black jaws in sunder part,"
"sheidey magh lossey gorrym ass y vean, 
cha row er ve da ’chree ny smoo dy ghreain. ","and breathe blue fire, could more assault his heart."
"Ny host lesh aggle agh failleil ayns mioyr, ","Confused, and struck with silence at the deed,"
"ga bwooishal roie dy yannoo siyr dy liooar, ","he flies, but trembling fails to fly with speed."
dy gastey er e eiyrts hie’n scollag aeg.,His steps the youth pursues: the country lay
"Va’n cheer condaigagh lesh caghlaaghyn raad, ","perplexed with roads, a servant showed the way:"
"awin vooar va crossey’n cassan v’ad goll er, ",a river crossed the path; the passage o’er
sharvaant hie roue dy stampey ’n cassan cair; ,was nice to find; the servant trod before:
banglaneyn liauyr dy villey darragh chiu ,"long arms of oaks an open bridge supplied,"
"yn droghad v’ayn, as diunid vooar va foue. ",and deep the waves beneath the bending glide.
"Yn scollag aeg, myr jeeaghyn magh son caa, ","The youth, who seemed to watch a time to sin,"
"ayns aght doaltattym ren eh putt ’chur da; 
ceaut ayns yn awin va’n fer ren ad ’leeideil, ","approached the careless guide, and thrust him in;"
"e chione cheet rish lurg da ve er sinkeil; 
son tammylt ren eh streppey noon as noal, ","plunging he falls, and rising lifts his head,"
"goll dys y ghrunt, e vioghys ren eh ’choayl. ","then flashing turns, and sinks among the dead."
Er shen ren shilley’n hermit keoi chyndaa ,"Wild, sparkling rage inflames the father’s eyes,"
ceau aggle jeh lesh siyr as eulys gra: ,"he bursts the bands of fear, and madly cries,"
“O ghreih feohdoil!”—gyn fockle arragh rait ,"“Detested wretch!” —but scarce his speech began,"
"tra va ’chumraag gys cummey noa chyndait, ",when the strange partner seemed no longer man:
"dy ghow eh oaie caslys dy viljid share, ",his youthful face grew more serenely sweet;
"e choamrey gial sheese coodagh gys y laare, ","his robe turned white, and flowed upon his feet,"
"e olt ceau goullyn sollys veih e vaare, ",fair rounds of radiant points invest his hair;
"va miljid flaunyssagh mygeayrt ’syn aer, ",celestial odours breathe through purpled air;
as er e ghreeym va skianyn skeayley lhean ,"and wings, whose colours glittered on the day,"
ayns soilshey’n ghrian dy mirrillagh soilshean. ,wide at his back their gradual plumes display.
[see 222-3],"the form ethereal bursts upon his sight,"
,and moves in all the majesty of light.
"Ga feer ard hoshiaght corree’n Bwaagaght va, ","Though loud at first the pilgrim’s passion grew,"
ayns tulIogh v’eh ny host gyn veg dy ghra; ,"sudden he gazed, and wist not what to do;"
e hooillyn cur-my-ner yn corp gloyroil ,
"skellal ayns gloyr dy hoilshey myr v’eh goll, ",
"va yindys freayll e ghoan kianlt ayns pryssoon, ","surprise in secret chains his words suspends,"
e chorree siyragh neesht gaase feagh as kiune. ,and in a calm his settling temper ends.
Eisht loayr yn ainle; dy chlashtyn e choraa ,"But silence here the beauteous angel broke,"
"va eunyssagh, as shoh myr ren e gra: ",(the voice of music ravished as he spoke).
"“Dty vooise, dty phadjer, as dty vea dyn foill ","“Thy prayer, thy praise, thy life to vice unknown,"
"hrog seose ayns cooinaght villish roish y stoyl, ",in sweet memorial rise before the throne:
"soit jeh ayns rheamyn gial ny flaunyssee, ","these charms, success in our bright region find,"
hug ainle neose hood dy chiuinaghey dty chree. ,"and force an angel down, to calm thy mind;"
"Son shen haink mish er chaghteraght veih niau, ","for this commissioned, I forsook the sky:"
sheshey-sharvaant mee –ny cur ooashley dou! ,"nay, cease to kneel —thy fellow-servant I."
“Jeh reiltys niau lhig toiggal cooie ve ayd ,"“Then know the truth of government divine,"
as da dooyteilys ny cur arragh raad; ,and let these scruples be no longer thine.
da’n Ooilley-niartal ta yn chairys smoo ,"“The maker justly claims that world he made,"
dy reill yn seihll shen ren eh hene y ’chroo; ,in this the right of providence is laid;
e ard-ooashley flaunyssagh ta neesht goardrail ,its sacred majesty through all depends
caghlaaghyn saase dy obbraghey ’chiarail; ,on using second means to work his ends:
myr shoh ass roshtyn deiney er yn ooir ,"’tis thus, withdrawn in state from human eye,"
"t’eh jannoo ’aigney lesh roih yesh e phooar, ","the power exerts his attributes on high,"
"as gobbragh liorish obbraghyn sheelnaue, ","your actions uses, nor controls your will,"
ga rheamys aigney t’eh dy lowal daue. ,and bids the doubting sons of men be still.
Vaik oo rieau yindys smoo rish slane dty vea ,"“What strange events can strike with more surprise,"
na ren dty hooillyn ’akin jiu as jea? ,than those which lately strook thy wondering eyes?
"Cairagh, gow rish, ta’n Ooilley-niartal reill, ","yet taught by these, confess the almighty just,"
"as raad nagh vod oo toiggal, jean treishteil! ","and where you can’t unriddle, learn to trust!"
"“Yn dooinney mooar, va’n beaghey deyr ny hie, ","“The great, vain man, who fared on costly food,"
va ’vea ro hoaillagh dy ve dooinney mie; ,whose life was too luxurious to be good;
"raad va ny siyn dy airh soilshean dy bwee, 
dy aghtal soit er stuill dy ivoree, ","who made his ivory stands with goblets shine,"
"moghey ’sy vadran raad va’n mainshtyr hene 
cuirrey ny goaldee d’iu jeh sonnys feeyn; ","and forced his guests to morning draughts of wine,"
"marish y cappan chaill eh’n cliaghtey moal, ","has, with the cup, the graceless custom lost,"
nish goaill rish troailtee lesh ny sloo dy choayl. ,"and still he welcomes, but with less of cost."
"‘‘Yn dreih peajeogagh, creoi, drogh-ouryssagh, ","“The mean, suspicious wretch, whose bolted door"
"nagh ren e ghorrys ’osley rieau da’n voght, ",ne’er moved in duty to the wandering poor;
hooar eh yn cappan son dy chur da fys ,"with him I left the cup, to teach his mind"
cre’n aght ta Niau bannaghey giastyllys. ,"that Heaven can bless, if mortals will be kind."
"Fakin yn gioot, toiggal eh ayns e chree 
nagh row eh toilliu lheid er aght erbee, ","Conscious of wanting worth, he views the bowl,"
"as shoh myr nee eh gennaght dy breeoil 
e annym dy ve booisal as chymmoil. ",and feels compassion touch his grateful soul.
,
"Myr ta’n fer-keirdey meelagh liorish schlei 
meain-leoaie, ny hrustyr, t’eh cur er dy lheie, ","Thus artists melt the sullen oar of lead,"
"cruin er e chione t’eh chymsaghey carnane 
smarageyn jiarg, ta lostey lesh tharmane, ",with heaping coals of fire upon its head;
"gynsagh yn stoo dy veelagh lesh y chiass, ","in the kind warmth the metal learns to glow,"
"as, lheie, heese fo ta’n argid glen roie ass. ","and loose from dross, the silver runs below."
"“Nyn garrey reiht va foddey ’r hirveish Jee, ","“Long had our pious friend in virtue trod,"
"va’n lhiannoo tayrn er-shaghryn voish e chree, ",but now the child half-weaned his heart from God;
"lhiannoo e eash, va wheesh dy voggey da, ","(child of his age) for him he lived in pain,"
reesht gys yn seihll e aigney v’eh chyndaa; ,and measured back his steps to earth again.
"e chree va lhiantyn huggey harrish cair, ",To what excesses had his dotage run!
ghow Jee yn mac son dy hauail yn ayr. ,"but God, to save the father, took the son."
"V’ad ooilley shein ayns fyt dy dooar eh baase, ","To all but thee, in fits he seemed to go,"
"mish hug y builley ren gansoor y saase, ",(and ’twas my ministry to deal the blow).
"son nish ta’n ayr ginjillagh eh hene ’sy joan, ","The poor fond parent, humbled in the dust,"
goaill-rish yn smaght ymmyrchagh er e hon. ,now owns in tears the punishment was just.
“Agh cre’n treih-artys v’er jeet er e hie ,"“But how had all his fortune felt a wrack,"
beagh e harvaant er gheddyn back dy mie! ,had that false servant sped in safety back!
"V’eh kiarit noght dy hyndaa magh e noid, 
dy varroo ’vainshtyr as dy ghoaill e chooid; ","This night his treasured heaps he meant to steal,"
"beagh yn traitoorys cheddin er jeet lesh 
giastyllys vooar va er ny lhiettal eisht! ",and what a fund of charity would fail!
,
"Myr shoh t’ou er dty ynsagh, gow ayns shee, ","“Thus Heaven instructs thy mind: this trial o’er,"
as ny jean peccah reesht er oyr erbee.” ,"depart in peace, resign, and sin no more.”"
Skianyn yn ainle chelleeragh eisht ren feiyr ,"On sounding pinions here the youth withdrew,"
myr ren e getlagh seose ’syn aer lesh siyr; ,the sage stood wondering as the seraph flew.
"yn hermit gyindys myr va, keayrt dy row, ","thus looked Elisha, when, to mount on high"
"Elisha tra hie ’vainshtyr seose gys niau, ",his master took the chariot of the sky;
ayns fainagh aileagh goll er e yurnaa; ,the fiery pomp ascending left the view;
"v’eh ’r gholl er ’eiyrt, beagh rheamys currit da.","the prophet gazed, and wished to follow too."
"Eisht ghlioon yn hermit, gra, “D’row aigney Yee ","The bending hermit here a prayer begun,"
"jeant liorish deiney, myr ny flaunyssee.” ","“Lord! as in Heaven, on Earth thy will be done!”"
"Eisht gys e chummal hie eh, raad va ’oayll, ","Then gladly turning, sought his antient place,"
as leeid eh bea dy chraueeaght sheeoil. ,and passed a life of piety and peace.
,FINIS
