English,Manx
4 He that dwelleth in heaven shall laugh them to scorne : the Lord shall have them in derision.,4 Eshyn ta vaghey ayns niau gharys orroo lesh craid: bee ad ec y Chiarn ayns faghid.
5 Then shal he speake unto them in his wrath : and vexe them in his sore displeasure:,5 Eisht nee eh loayrt roo ayns e chorree: as ver eh sneih orroo ayns trimmid e yymmoose.
6 Yet have I set my King : upon my holy hill of Sion.,6 Agh ta mish er hoiaghey seose my Ree: er Sion my chronk casherick.
"7 I wil preach the Law whereof the Lord hath said unto me: thou art my Sonne, this day have I begotten thee.","7 Nee’ms y leigh y phreacheil, my‐y‐chione ta’n Chiarn er ghra rhym: Uss my Vac, jiu yn laa ta mee er dty gheddyn."
,
"8 Desire of mee, and I shall give thee the Heathen for thine inheritance, : and the uttermost parts of the earth for thy possession.","8 Shirr orrym, as ver‐ym dhyt ny ashoonyn son dty eiraght: as ny ayrnyn sodjey magh jeh’n theihll fo dty rere."
uttermost] 1662 utmost,
9 Thou shalt bruise them with a rod of yron : and breake them in pieces like a potters vessell.,9 Nee uss ad y vroo lesh lorg-reill dy yiarn: as brishey ad ayns peeshyn myr saagh craie.
"10 Be wise now therefore, O yee Kings : be learned yee that are Judges of the earth.","10 Gow‐jee keeal nish er‐y‐fa shen, O shiuish reeaghyn: gow‐jee raaue, shiuish ta briwnyn y thallooin."
11 Serve the Lord in feare : and rejoyce unto him with reverence.,11 Shirveish‐jee yn Chiarn lesh aggle: as gow‐jee boggey ayn lesh arrym.
,
"12 Kisse the Sonne lest he be angry, and so ye perish from the right way : if his wrath be kindled (yea but a little) blessed are all they that put their trust in him.","12 Cur‐jee ooashley da’n Mac, nagh bee eh jymmoosagh, as myr shen shiu dy herraghtyn veih’n raad cair: my vees e chorree er ny vrasnaghey, (agh ny veggan;) bannit t’adsyn ooilley ta coyrt nyn dreishteil aynsyn."
,"herraghtyn] 1765, 1769 cherraghtyn"
,
,
Domine quid? Psal. 3.,"Psal. 3. Domine, quid multiplicati?"
Lord how are they encreased that trouble mee : many are they that rise against me.,"1 Hiarn, kys t’adsyn er nyn mishaghey ta dy my voirey: shimmey ad ta girree m’oï."
,shimmey ad] 1819 shimmey t’ad
2 Many one there be that say of my soule : there is no helpe for him in his God.,2 Shimmey t’ayn ta gra jeh m’annym: Cha vel veg y chooney ny chour ayns e Yee.
"3 But thou, O Lord, art my defender : thou art my worship, and the lifter up of my head.","3 Agh uss, O Hiarn, m’endeilagh: uss my ooashley, as y fer ta cummal seose my chione."
4 I did call upon the Lord with my voice : and he heard me out of his holy hill.,4 Deïe mee er y Chiarn lesh my choraa: as cheayll eh mee ass e chronk casherick.
"5 I laid me downe and slept, and rose up againe : for the Lord sustained me.","5 Lhie mee sheese as chaddil mee, as dirree mee seose reesht: son ren y Chiarn m’y niartaghey."
6 I will not bee afraid for ten thousands of the people : that have set themselves against me round about.,6 Cha goyms aggle roish jeih millaghyn jeh’n sleih: ta er n’irree-magh m’oï er dy-chooilley cheu.[6]
,cheu] 1819 heu
"7 Up Lorde, and helpe me, O my God : for thou smitest all mine enemies upon the cheeke bone; thou hast broken the teeth of the ungodly.","7 Seose, Hiarn, as cooin lhiam, O my Yee: son t’ow bwoalley ooilley my noidyn er craue-ny-keeill; t’ow er vrishey feeacklyn ny mee‐chrauee."
8 Salvation belongeth unto the Lord : and thy blessing is upon the people.,8 Ta Saualtys bentyn gys y Chiarn: as ta dty vannaght er dty phobble.
the people] 1660 thy people (as 1539),
,
,
Cum inuocarem. Psal. 4.,Psal.4. Cum invocarem.
"Heare me when I call, O God of my righteousnesse : for thou hast set me at libertie when I was in trouble; have mercie upon me, and hearken unto my prayer.","1 Clasht rhym tra ta mee geamagh, O Yee my chairys: t’ow er choyrt feaysley dooys tra va mee ayns seaghyn; jean myghin orrym, as eaisht rish my phadjer."
for thou hast set] 1662 thou hast set,
"2 O ye sonnes of men, how long will ye blaspheme mine honour : and have such pleasure in vanitie, and seeke after leasing?","2 O shiuish vec gheiney, caid nee shiu goltooan my ooashley: as goaill lheid y taitnys ayns coyrlyn fardalagh, as geiyrt da breagyn?"
"3 Know this also, that the Lord hath chosen to himselfe the man that is godly : when I call upon the Lord, hee will hear me.","3 Toigg‐jee shoh neesht, dy vel y Chiarn er reih da hene yn dooinney ta crauee: tra nee’m geamagh er y Chiarn, nee eh clashtyn rhym."
,
"4 Stand in awe and sinne not : commune with your owne heart, and in your chamber, and be still.","4 Shass‐jee ayns aggle, as ny jean‐jee peccah: smooinee‐jee dy-dowin ayns nyn gree hene, as ayns nyn shamyr, as bee‐jee ec shee."
5 Offer the sacrifice of righteousnesse : and put your trust in the Lord.,5 Cheb‐jee yn oural dy chairys: as cur‐jee nyn dreishteil ayns y Chiarn.
6 There be many that say : who wil shew us any good?,6 Shimmey t’ayn ta gra: Quoi yeeaghys dooin veg y vie?
7 Lord lift thou up : the light of thy Countenance upon us.,"7 Hiarn, trogg uss seose: soilshey dt’eddin orrin."
8 Thou hast put gladnesse in my heart : since the time that their corne and wine and oyle increased.,"8 T’ow er choyrt gennallys ayns my chree: er dyn traa dy ren yn arroo, as y feeyn, as yn ooïll ocsyn bishaghey."
"9 I wil lay me downe in peace, and take my rest : for it is thou Lord onely, that makest me dwell in safetie.","9 Nee’ms lhie sheese ayns shee, as goaill my ea: son she uss, Hiarn, dty lomarcan, ta coyrt orrym vaghey ayns sauchys."
,
,
Verba mea auribus. Psal. 5.,Psal. 5. Verba mea auribus.
"Ponder my words, O Lord : consider my meditation.","1 Cur geill da my ghoan, O Hiarn: gow tastey jeh smooinaghtyn dowin my chree."
"2 O hearken thou unto the voyce of my calling, my King and my God : for unto thee will I make my prayer.","2 O eaisht rish coraa my eam, my Ree, as my Yee: son hoods nee’m my phadjer."
"3 My voice shalt thou heare betimes, O Lord : earely in the morning will I direct my prayer unto thee, and will looke up.","3 My choraa clynnee uss dy-leah, O Hiarn: dy-moghey nee’ms my phadjer y hebbal hoods, as jeeaghyn seose."
4 For thou art the God that hast no pleasure in wickednesse : neither shall any evill dwell with thee.,4 Son she uss y Jee nagh vel veg y taitnys ayd ayns mee‐chraueeaght: cha‐moo nee olk erbee vaghey mârt.
5 Such as be foolish shall not stand in thy sight : for thou hatest all them that worke vanitie.,5 Cha jean nyn lheid as ta ommijagh shassoo ayns dty enish: son ta dwoaie ayd orroosyn ooilley ta jannoo mee‐chairys.
6 Thou shalt destroy them that speake leasing : the Lord will abhore both the bloodthirstie and deceitfull man.,6 Nee uss adsyn y stroie ta loayrt breagyn: ver y Chiarn feoh chammah da’n dooinney foalley as da’n er molteyragh.
,
"7 But as for mee, I will come into thy house, even upon the multitude of thy mercie : and in thy feare wil I worship toward thy holy Temple.","7 Agh er my hon’s, hig‐ym gys dty hie, er eer ymmodee dty vyghin: as ayns dty aggle ver‐yms ooashley kiongoyrt rish dty hiamble casherick."
,
"8 Leade me, O Lord, in thy righteousnesse, because of mine enemies : make thy way plaine before my face.","8 Leeid mee, O Hiarn, ayns dty chairys, kyndagh rish my noidyn: jean dty raad rea roish m’eddin."
9 For there is no faithfulnesse in his mouth : their inward parts are very wickednesse.,9 Son cha vel veg y firrinys ayns e veeal: ta ny ayrnyn cheu‐sthie oc eer olkys.
10 Their throat is an open sepulchre : they flatter with their tongue.,10 Ta’n scoarnagh oc oaie foshlit: t’ad brynnyraght lesh nyn jengey.
"11 Destroy thou them, O God; let them perish through their owne imaginations : cast them out in the multitude of their ungodlinesse, for they have rebelled against thee.",11 Stroie uss adsyn O Yee; lhig daue cherraghtyn liorish nyn goyrlyn hene: tilg ad magh ayns ymmodee nyn mee‐chraueeaght; son t’ad er n’irree‐magh dt’oï.
,
"12 And let all them that put their trust in thee, rejoyce : they shall ever be giving of thankes, because thou defendest them, they that love thy Name shall be joyfull in thee;","12 As lhig dauesyn ooilley ta coyrt nyn dreishteil ayn-yds, boggey ’ghoaill: bee adsyn dy-kinjagh coyrt booise, son dy vel oo fendeil ad; adsyn ta graihagh er dt’Ennym, vees laane dy voggey ayn-yds."
"13 For thou Lord wilt give thy blessing unto the righteous : and with thy favourable kindnes wilt thou defend him, as with a shield.","13 Son ver uss, Hiarn, dty vannaght da’n fer‐cairal: as lesh dty chenjallys foayroil nee oo eshyn y endeil myr lesh eïlley‐caggee."
,
,
The i. day.,The 1. day.
Evening prayer.,EVENING PRAYER.
Domine ne in furore. Psal. 6.,"Psal. 6. Domine, ne."
"O Lorde, rebuke me not in thine indignation : neither chasten me in thy displeasure.","1 O Hiarn, ny cur oghsan dooys ayns dty chorree: cha-moo smaghtee mee ayns dty yymmoose."
"2 Have mercie upon me, O Lord, for I am weake : O Lord heale me, for my bones are vexed.","2 Jean myghin orrym, O Hiarn, son ta mee annoon: O Hiarn, slaanee mee, son ta my chraueyn seaghnit."
"3 My soule is also sore troubled : but Lord, how long wilt thou punish mee?","3 Ta sou‐aigney trome myrgeddin orrym: agh, Hiarn, caid nee oo mish y cherraghey?"
is also] 1662 also is,
"4 Turne thee, O Lord, and deliver my soule : Oh save me for thy mercies sake.","4 Chyndaa uss, O Hian, as livrey m’annym: O saue mee er graih dty vyghinyn."
5 For in death no man remembreth thee : and who will give thee thankes in the pit?,5 Son ayns baase cha vel dooinney erbee cooinaghtyn orts: as quoi ver moylley dhyts ayns yn oaie?
6 I am wearie of my groning; every night wash I my bed : and water my couch with my teares.,6 Ta mee deïnagh lesh gaccan; dy-chooilley oie ta mee gushtaghey my lhiabbee: as fluighey my lhiaght lesh my yeïr.
7 My beautie is gone for very trouble : and worne away because of all mine enemies.,7 Ta my aalid er n’immeeaght lesh eer seaghyn: as er ny lheïe ersooyl kyndagh rish ooilley my noidyn.
,
8 Away from me all ye that worke vanitie : for the Lord hath heard the voice of my weeping.,8 Ersooyl voym shiuish ooilley ta gobbraghey molteyrys: son ta’n Chiarn er chlashtyn coraa my ghobberan.
9 The Lord hath heard my petition : the Lord will receive my prayer.,9 Ta’n Chiarn er chlashtyn my accan: nee’n Chiarn soiaghey jeh my phadjer.
10 All mine enemies shall be confounded and sore vexed : they shal be turned backe and put to shame suddenly.,"10 Bee ooilley my noidyn er nyn stroie as dy-trome seaghnit: chyndaa‐ee ad nyn gooyl, as hig ad gys nearey doaltattym."
,"gooyl] 1765, 1769 gool"
,
,
Domine Deus meus. Psal. 7,"Psal. 7. Domine, Deus meus."
"O Lorde my God, in thee have I put my trust : save mee from all them that persecute me, and deliver me;","1 O Hiarn my Yee, ayn-yds ta mee er choyrt my hreishteil: saue mee vowesyn ooilley ta jannoo tranlaase orrym, as livrey mee;"
"2 Lest he devoure my soule like a Lion, and teare it in pieces : while there is none to helpe.","2 Er aggle dy stroie eh my vioys myr lion, as eh y raipey dy peeshyn: choud as nagh vel unnane dy chooney lhiam."
"3 O Lord my God, if I have done any such thing : or if there be any wickednesse in my hands;","3 O Hiarn my Yee, my ta mee er n’yannoo veg dy lheid y red: ny my ta olkys erbee ayns my laueyn;"
"4 If I have rewarded evill unto him that dealt friendly with mee : yea, I have delivered him that without any cause is mine enemie;",4 My ta mee er chooilleeney olk dasyn ren dellal dy-dooie rhym: (ta mee eer er livrey eshyn ta my noid fegooish oyr;)
,
"5 Then let mine enemy persecute my soule, and take me : yea, let him tread my life downe upon the earth, and lay mine honour in the dust.","5 Eisht lhig da my noid eiyrtys y yannoo er m’annym, as m’y ghoaill: dy-jarroo lhig da my vioys y stampey sheese er y thalloo, as cur my onnor ny lhie ’sy joan."
"6 Stand up, O Lord, in thy wrath, and lift up thy selfe : because of the indignation of mine enemies, arise up for me in the Judgement that thou hast commanded.","6 Irree, O Hiarn, ayns dty chorree, as trogg oo hene seose, kyndagh rish farg my noidyn: shass er my hon ayns y vriwnys t’ow er haarey."
7 And so shall the congregation of the people come about thee : for their sakes therefore lift up thy selfe againe.,7 As myr shen hig chaglym y phobble mygeayrt‐y‐mood: er y ghraih ocsyn eisht trogg seose oo hene reesht.
"8 The Lord shall judge the people; give sentence with me, O Lord : according to my righteousnesse, and according to the innocencie that is in me.","8 Nee’n Chiarn yn pobble y vriwnys; cur briwnys lhiam, O Hiarn: lurg my ynrickys, as cordail rish y neu-loghtynid t’ayn-ym."
9 O let the wickednesse of the ungodly come to an ende : but guide thou the just.,9 O lhig da olkys ny mee‐chrauee cheet gys jerrey: agh jean uss yn sleih ynrick y leeideil.
10 For the righteous God : trieth the very hearts & reines.,"10 Son ta’n Jee cairal: prowal ny creeaghyn, as ny meeaghyn."
11 My help commeth of God : which preserveth them that are true of heart.,11 Ta my chooney cheet veih Jee: ta coadey adsyn ta ynrick ayns cree.
which] 1662 who,
"12 God is a righteous Judge, strong and patient : and God is provoked every day.","12 Ta Jee briw cairagh, niartal as surransagh: as ta Jee er ny vrasnaghey dy-chooilley laa."
"13 If a man will not turne, he will whet his sword : hee hath bent his bow, and made it ready.","13 Mannagh jean dooinney chyndaa, nee eh shleeu e chliwe: t’eh er lhoobey e vhow, as er n’yannoo eh aarloo."
14 He hath prepared for him the instruments of death : he ordeineth his arrowes against the persecuters.,14 T’eh er chiarail ny chour ny greinyn baaish: t’eh coyrt magh e hideyn noi ny tranlaasee.
,
"15 Behold, he travaileth with mischiefe : hee hath conceived sorrow, and brought foorth ungodlinesse.","15 Cur‐my‐ner, t’eh er‐troailt er olkys: t’eh er yiennaghtyn trimshey, as er n’ymmyrkey mee‐chairys."
16 He hath graven and digged up a pit : and is fallen himselfe into the destruction that he made for other.,16 T’eh er vosley as er chleï ooig: as t’eh hene er duittym ayns y ribbeh v’eh kiarail da fer elley.
,"v’eh kiarail] 1765, 1769 ve kiarail"
17 For his travaile shall come upon his owne head : and his wickednesse shall fall on his owne pate.,17 Son hig e obbyr er e chione hene: as tuittee yn olkys echey er e vollag hene.
"18 I will give thankes unto the Lord, according to his righteousnesse : and will prayse the Name of the Lord the most High.","18 Ver‐yms booise da’n Chiarn, cordail rish e chairys: as nee’ms moylley Ennym y Chiarn smoo Ard."
,
,
Domine Dominus. Psal. 8.,"Psal. 8. Domine, Dominus noster."
"O Lord our governour, how excellent is thy Name in all the world : thou that hast set thy glory above the heavens.","1 O Hiarn, nyn Giannoort, cre cha ooasle ta dt’Ennym trooid ooilley yn theihll: uss ta er hoiaghey dty ghloyr er-skyn ny niaughyn!"
,"Giannoort] 1765, 1769 Ghiannoort"
"2 Out of the mouth of very babes and sucklings hast thou ordeined strength, because of thine enemies : that thou mightest still the enemie and the avenger.","2 Magh ass eer beïll oikanyn as cloan er y cheeagh t’ow er n’oardaghey niart, kyndagh rish dty noidyn: dy voddagh oo yn noid, as yn eulyssagh y chastey."
"3 For I will consider the heavens, even the works of thy fingers : the Moone and the Starres which thou hast ordeined.","3 Son goym tastey jeh dty niaughyn, eer obbraghyn dty veïr: yn eayst as ny rollaagyn t’ow er n’oardaghey."
the heavens] 1662 thy heavens (as 1562),
"4 What is man that thou art mindefull of him : and the sonne of man, that thou visitest him?","4 Cre ta dooinney, dy vel oo aggindagh er: as mac y dooinney dy vel oo jeeaghyn er?"
,aggindagh] 1765 aigindagh
5 Thou madest him lower then the Angels : to crowne him with glory and worship.,5 Ren oo eh ny s’inshley na ny ainlyn: dy chomm’rey eh lesh gloyr as ooashley.
6 Thou makest him to have dominion of the workes of thy handes : and thou hast put all things in subjection under his feete;,6 T’ow coyrt dasyn yn reill harrish obbraghyn dty laueyn: as er choyrt dy-chooilley nhee ayns biallys fo e chassyn;
7 All sheepe and oxen : yea and the beasts of the field;,7 Dy-chooilley cheyrrey as dow: as myrgeddin beïyn y vagher;
"8 The foules of the aire, and the fishes of the sea : and whatsoever walketh through the paths of the Seas.","8 Eeanlee yn aer, as eeastyn ny marrey: as cre‐erbee ta snaaue trooid raaidyn ny faarkaghyn."
9 O Lord our governour : how excellent is thy Name in all the world!,9 O Hiarn nyn Giannoort: cre cha ooasle ta dt’Ennym ayns ooilley yn seihll!
,"Ghiannoort] 1765, 1769 Ghiannoort"
,
The ii. day. ,The 2. day.
Morning prayer.,MORNING PRAYER.
Confitebor tibi. Psal. 9.,Psal. 9. Confitebor tibi.
"I will give thankes unto thee, O Lord, with my whole heart : I will speake of all thy marveilous workes.","1 Ver‐yms booise dhyts, O Hiarn, lesh ooilley my chree: loayr‐ym jeh ooilley dty obbraghyn mirrillagh."
"2 I will bee glad and rejoyce in thee : yea, my songs will I make of thy Name, O thou most Highest.","2 Bee’ms gennal as goym boggey ayn-yds: dy-jarroo, my arraneyn nee’m y yannoo jeh dt’Ennym, O Uss smoo Ard."
3 While mine enemies are driven backe : they shall fall and perish at thy presence.,3 Choud as ta my noidyn er nyn imman ersooyl: nee ad tuittym as cherraghtyn ec dt’enish.
"4 For thou hast maintained my right, & my cause : thou art set in the Throne that judgest right.",4 Son t’ow er vendeil my chairys as my chooish: t’ow dty hoie er stoyl‐reeoil dy vriwnys cairagh.
,"dty hoie] 1765, 1769 dy hoie"
"5 Thou hast rebuked the Heathen, and destroyed the ungodly : thou hast put out their Name for ever and ever.","5 T’ow er choyrt oghsan da ny ashoonyn, as er stroie ny mee‐chrauee: t’ow er choyrt ass yn ennym oc son dy-bragh as dy-bragh."
,
"6 O thou enemie, destructions are come to a perpetuall ende : even as the cities which thou hast destroyed, their memoriall is perished with them.","6 O uss noid, ta traartyssyn er jeet gys slane jerrey: eer myr ny ard‐valjyn t’ow er stroie; ta’n imraa oc er gholl naardey mâroo."
7 But the Lord shall endure for ever : hee hath also prepared his seat for Judgement.,7 Agh ta’n Chiarn farraghtyn son dy-bragh: t’eh myrgeddin er chiarail e stoyl‐reeoil son briwnys.
8 For he shall judge the world in righteousnesse : and minister true Judgement unto the people.,8 Son nee eh yn seihll y vriwnys ayns cairys: as shirveish briwnys firrinagh er y pobble.
9 The Lord also will be a defence for the oppressed : even a refuge in due time of trouble.,9 Bee yn Chiarn neesht fendeilys dauesyn ta tranlaasit: dy-jarroo kemmyrk ayns y traa cooie dy heaghyn.
"10 And they that know thy Name, will put their trust in thee : for thou, Lord, hast never failed them that seeke thee.","10 As adsyn shione daue dt’Ennym, ver nyn dreishteil ayn-yds: son cha vel uss, Hiarn, rieau er hreigeil adsyn ta dy dty hirrey."
11 O praise the Lord which dwelleth in Sion : shew the people of his doings.,11 O moylley‐jee yn Chiarn ta vaghey ayns Sion: soilshee‐jee da’n pobble cre t’eh er n’yannoo.
,
"12 For when he maketh inquisition for blood, hee remembreth them : and forgetteth not the complaint of the poore.","12 Son tra t’eh jannoo briaght son deayrtey fuill dyn loght, t’eh cooinaghtyn orroo: as cha vel eh jarrood accan ny ymmyrchee."
"13 Have mercy upon mee, O Lord; consider the trouble which I suffer of them that hate me : thou that liftest me up from the gates of death.","13 Jean myghin orrym, O Hiarn; smooinee er y seaghyn ta mee dy hurranse lioroosyn ta dwoaie oc orrym: uss ta dy my hroggal seose veih giattyn y vaaish;"
,dy hurranse] 1819 er hurranse
14 That I may shew all thy praises within the ports of the daughter of Sion : I will rejoyce in thy salvation.,14 Dy voddym soilshaghey ooilley dty voylley cheu‐sthie jeh giattyn inneen Sion: nee’ms boggey ’ghoaill ayns dty haualtys.
"15 The heathen are sunke down in the pit that they made : in the same net which they hid privily, is their foote taken.","15 Ta ny ashoonyn er duittym sheese ayns yn ooig t’ad hene er n’yannoo: ayns y ribbeh cheddin dollee ad dy-follit, ta’n chass oc hene er ny ghoaill."
16 The Lord is knowen to execute Judgement : the ungodly is trapped in the worke of his owne hands.,16 Ta fys ain dy vel y Chiarn cooilleeney briwnys: ta’n mee‐chrauee er ny chassey ayns obbyr e laueyn hene.
17 The wicked shall bee turned into hell : and all the people that forget God.,17 Bee ny drogh‐yantee er nyn jyndaa gys niurin: as ooilley yn sleih ta jarrood Jee.
,
18 For the poore shall not alway be forgotten : the patient abiding of the meeke shall not perish for ever.,18 Son cha bee’n boght dy-kinjagh er ny yarrood: cha jean farkiaght surransagh ny imlee cherraghtyn son dy-bragh.
"19 Up Lord, and let not man have the upper hand : let the Heathen be judged in thy sight.","19 Trogg ort, Hiarn, as ny lhig da dooinney laue yn eaghtyr y gheddyn: lhig da ny ashoonyn v’er nyn mriwnys ayns dty hilley."
20 Put them in feare (O Lord) : that the heathen may know themselves to be but men.,"20 Cur ad ayns aggle, O Hiarn: dy vod fys ’ve ec ny ashoonyn nagh vel ad hene agh deiney."
,
,
Vt quid Domine. Psal. 10.,"Psal. 10. Ut quid, Domine."
Why standest thou so farre off (O Lord) : and hidest thy face in the needfull time of trouble?,"1 Cre hon t’ow shassoo choud jeh, O Hiarn: as follaghey dt’eddin ayns y traa fêmoil dy heaghyn?"
2 The ungodly for his owne lust doeth persecute the poore : let them bee taken in the craftie wilinesse that they have imagined.,2 Ta’n mee‐chrauee dy chooilleeney e aigney hene jannoo tranlaase er y voght: lhig daue hene ve goit ayns ny kialgyn croutagh t’ad er ghoaill ayns nyn smooinaghtyn.
3 For the ungodly hath made boast of his owne hearts desire : and speaketh good of the covetous whom God abhorreth.,3 Son ta’n dooinney mee‐chrauee er voggyssagh jeh yeearree e chree hene: as loayrt dy-mie jeh’n er sayntoilagh ta feoh ec Jee er.
"4 The ungodly is so proud, that hee careth not for God : neither is God in all his thoughts.","4 Ta’n mee‐chrauee cha mooaralagh, nagh vel geill echey da Jee: cha-moo ta Jee ayns ooilley e smooinaghtyn."
"5 His wayes are alway grievous : thy Judgements are farre above out of his sight, and therefore defieth he all his enemies.","5 Ta ny raaidyn echey kinjagh seaghnagh: ta dty vriwnyssyn foddey er-skyn roshtyn e hilley, as er yn oyr shen t’eh cur‐y‐laan fo ooilley e noidyn."
"6 For he hath said in his heart, Tush, I shall never bee cast downe : there shall no harme happen unto me.","6 Son t’eh er ghra ayns e chree, Cha n’aggle dou, cha bee’m dy-bragh er my hilgey sheese: cha daghyr skielley erbee my raad."
"7 His mouth is full of cursing, deceit, and fraud : under his tongue is ungodlinesse and vanitie.","7 Ta’n beeal echey laane dy ghweeaghyn, dy oalsaght as molteyrys: fo e hengey ta mee‐chraueeaght as fardail."
8 He sitteth lurking in the theevish corners of the streets : and privily in his lurking dennes doeth he murther the innocent; his eyes are set against the poore.,8 T’eh soie fo‐chlea myr maarliagh ayns corneilyn fadaan ny straaidyn: as dy-follit ayns e oayldyn dorraghey t’eh dunverys yn dooinney gyn loght; ta e hooillyn soit noi’n voght.
"9 For hee lyeth waiting secretly, even as a Lion lurketh he in his denne : that he may ravish the poore.","9 Son t’eh lhie farkiaght dy-follit, dy-jarroo myr lion t’eh ny lhie kellit ayns e ooig: dy vod eh spooilley yn boght."
10 He doeth ravish the poore : when hee getteth him into his net.,10 T’eh jannoo niart er y voght: tra t’eh tayrtyn eh ayns e ribbeh.
,
"11 He falleth downe, and humbleth himselfe : that the congregation of the poore may fall into the handes of his Captaines.","11 T’eh tuittym sheese, as crommey eh hene: dy vod sheshaght ny boghtyn tuittym ayns laueyn e leeideilee."
"12 He hath said in his heart, Tush, God hath forgotten : he hideth away his face, and he will never see it.","12 T’eh er ghra ayns e chree, Cha vel aggle orrym, ta Jee er yarrood: t’eh follaghey e eddin, as cha der eh dy-bragh geill da."
13 Arise (O Lord God) and lift up thine hand : forget not the poore.,"13 Irree, O Hiarn Yee, as trogg seose dty laue: ny jarrood yn boght."
"14 Wherefore should the wicked blaspheme God : while he doeth say in his heart, Tush, thou God carest not for it?","14 Cre’n‐fa yinnagh y dooinney olkyssagh loayrt dy-mollaghtagh noi Jee: choud as t’eh gra ayns e chree, Cha vel aggle orrym, s’cummey lhiats, O Yee, er y hon."
15 Surely thou hast seene it : for thou beholdest ungodlinesse and wrong.,15 Shickyr t’ow er vakin eh: son t’ow goaill tastey jeh mee‐chraueeaght as aggair.
,
16 That thou mayest take the matter into thine hand : the poore committeth himselfe unto thee; for thou art the helper of the friendlesse.,16 Dy vod oo goaill y chooish ayns dty laue hene: ta’n boght coyrt e varrant hoods; son uss yn fer‐coonee ocsyn ta gyn caarjyn.
17 Breake thou the power of the ungodly and malicious : take away his ungodlinesse and thou shalt finde none.,"17 Brish uss pooar yn mee‐chrauee as goanlyssagh: gow ersooyl yn vee‐chraueeaght echey, nagh bee veg jeh ry-gheddyn."
18 The Lord is King for ever and ever : and the heathen are perished out of the land.,18 Ta’n Chiarn ny Ree son dy-bragh as dy-bragh: as ta ny ashoonyn er cherraghtyn ass y cheer.
,cherraghtyn] 1777 herraghtyn; 1819 jerraghtyn
"19 Lord, thou hast heard the desire of the poore : thou preparest their heart, and thine eare hearkeneth thereto;","19 Hiarn, t’ow er chlashtyn yeearree ny boghtyn: t’ow niartaghey ny creeaghyn oc, as ta dty chleaysh geaishtagh roo;"
20 To helpe the fatherlesse and poore unto their right : that the man of the earth be no more exalted against them.,20 Dy chooney lesh y chloan gyn ayr as y boght gys nyn gair: nagh bee yn dooinney seihltagh ny sodjey er ny hoiaghey seose nyn ’oï.
,
,
In Domino confido. Psal. 11.,Psal. 11. In Domino confido.
"In the Lord put I my trust : how say yee then to my soule, that she should flee as a bird unto the hill?","1 Ayns y Chiarn ta mish cur my hreishteil, kys dy vel shiu gra eisht rish m’annym, ee dy chosney ersooyl myr eean gys y chronk?"
"flee] flie 1660, flee 1662 (as also 1599)",
