Manx,English,Page,Notes
"A. My Ghedjaghyn as my Vimmaghyn ayns my Vashtey tra va mee er my yanoo m’oltey dy Chreest, lianoo dy Yee as Eirey dy Reereeaght Niau.","A. My Godfathers and Godmothers in my Baptism, wherein I was made, a Member of Christ, a Child of God, and an Inheritor of the Kingdom of Heaven.",16,
Q. Guee’m erriu cre’n stayd va mee ayn roish Bashtey ?,Q. Pray what was my Condition before Baptism ?,16,
A. Myr haink oo jeh Ayr as Moir pheccoil hug oo liat rass peccah mart stiagh ayns y teihl.,"A. Being born of sinful Parents, you brought the Seeds of Sin into the World with you.",16,
As hee oo cre ta Messyn y rass shen liorish ny peccaghyn eajee ta sleih cur rish tra ta’d faagit dau hene.,"And you see what are the Fruits of that Seed, by the abominable Wickedness Men can be guilty of, when they are left to themselves.",16,
Q. Tow cheet orroosyn ta Jee er hregeil ?,Q. You mean some desperate People only ?,16,
"A. Ny moll oo hene. Ta shin ooilley liorish dooghys arloo dy huitchim ayns dy chooilley pheccah eajee as my ta Jee liorish e ghrayse ny e Ard-chiarail er vreall shin veih ny foilchin smoo shen, dasyn ta’n booise cair as cha nee dooin hene.","A. Do not deceive your self. We are all by Nature subject to every Abomination, and if God by his Grace, or his Providence, hath kept us from those greater Crimes, we must thank Him, and not our selves.",16,
"Son marish nyn greeaghyn moaldey hene leeidagh shin gys peccah ta drough Spyrrydyn ayn ta kinjagh arloo dyn miolagh gys olk, as jin hene cha vel pooar ain dy haghney yn goanlys oc.","For besides our own corrupt Hearts, which would lead us to Sin, there are evil Spirits ever ready to tempt us to Mischief, and of our selves we have no Power to escape their Malice.",16,
[9] Q. Nagh vel eh mee-vaynrys wooar dy heet stiagh sy teihl lesh leid yn aygney gys peccah as dy ve soit maskey leid ny Noijin niartal ?,"Q. Is it not a great Unhappiness to be born with Inclinations to sin, and to be set in the midst of such powerful Enemies ?",16,
A. Cha vel dooyt jeh. Agh eisht ta myghyn Yee er jyndaa ooilley shoh gys vondeish smoo.,A. There is no doubt of it : But then the Mercy of God has turned all this to your greater Advantage.,17,
"Son nish hee oo dy plain y dangere tow ayn, hee oo cre cha trome as ta peccah, as cre’n jerrey te tayrn sleih huggey ; hee oo nagh vel veg y phooar ayd dy chooney liat hene, agh dy negin dhyt ooilley dty varrant y chur er Jee as ve er dy reill liorish ; Shoh my ghoys oo ort y ve, ta Jee er chiarrail er dy hon leid ny reddyn mie as nagh voddagh oo dy bragh y hoilchin, ga dy beagh oo ooilley dy vea seyr veih peccah.","For, now you see plainly the Danger you are in ; you see what a sad thing Sin is, and what it will bring Men to ; you see that you have no Power to help your self, but that you must altogether depend upon God, and be governed by Him ; which, if you resolve to be, He has prepared for you such good Things, as you could never have deserv’d, tho’ you had lived in Innocency all your Days.",17,
Q. Cre hug er Jee ve cha kiarralagh jeen ?,Q. What did move God to have such a Regard for us ?,17,
"A. Ren Yeesey Creest Mac Yee yn shee ain rish e Ayr er conaant dy gou mad arrys, dy jynda-agh shin gys Jee as obbraghyn y yanoo cooie jeh arrys. Ta shoh enmyssit Conaant y ghrayse son dy vel eh chebbit dooin jeh foar arryltagh Yee fegooish y toilchin ainyn.","A. Jesus Christ, the Son of God, hath, by his Death, made our Peace with his Father, upon Condition that we believe, repent, and turn to God, and do Works meet for Repentance, which is called the Covenant of Grace, because it is offered unto us of God’s free Favour without our deserving.",17,
"Nish ta’d syn ooilley nee soiagh jeh’n cheb grasoil shoh Bashtit as casherick liorish y Spyrryd Noo, ta shen, t’ad livreit veigh pooar Noid ny hanmey, rass obraghyn casherick cuirt ayns ny creeaghyn oc, as t’ad cheet dy ve nyn Oltyn jeh Creest Meck da Yee, as Eiraghyn jeh Reereeaght Niau.","Now all such as accept this gracious Offer, are baptised and sanctified by the Holy Ghost : That is, they are taken from under the Government of Satan, and, having the Seeds of Holiness sown in their Hearts, they become Members of Christ, sons of God, and Heirs of Heaven.",17,
[10] Q. Cre te dy ve dt’Olt jeh Creest ?,Q. What is it to be a Member of Christ ?,17,
"A. Ta shen dy ve Olt jeh’n Aglish echey ta enmyssit Corp Chreest, er yn oyr dy vel Creest y Kione dy reill ee liorish e Leiaghyn as dy choadey ee liorish y spyrryd.","A. It is to be a Member of his Church, which is called the Body of Christ, because Christ, as the Head, governeth it by his Laws, and preserveth it by his Spirit.",17,
[ 9 ] Q. Cre’n vondeish ta liorish y ve Olt jeh Aglish Chreest ?,Q. What Benefit is it to be a Member of the Church of Christ ?,18,
A. Liorish shoh ta ayd cairys gys ymmodee gialdynyn mooar as ooasle.,A. You have hereby a Right to many great and precious Promises.,18,
"Gialdyn jeh shee rish Jee, jeh Leih peccaghyn er dt’ Arrys ; Gialdyn jeh spyrryd mie Yee dy leedeil as dy endeil oo ; Gialdyn y vea ta dy bragh farraghtyn, as dy ghooilley [sic] aght grasoil ta ymmyrchagh dy chosney eh. As er jerreh ooilleh Gialdyn dy bee cooney niartal Chreest marish dt’ voghillyn Spyrrydoil gys jerreh’n Teihl.","The Promise of Peace with God, of Pardon upon your Repentance ; The Promise of God’s good Spirit to guide and defend you. The Promise of eternal Life, and all the Means of Grace necessary to obtain it. And lastly, the Promise of Christ’s powerful Presence with your spiritual Pastours, unto the World’s end.",18,
Q. Te eisht mee-vaynrys wooar dy ve mooie as yn Aglish ?,Q. It is then a great Unhappiness to be out of the Church ?,18,
"A. Te red feer aglagh. Son quoi erbee ta myr shen, my she kindagh rish drough vea te, ny drough chredjue, ny liorish e hene y scarrey fegooish oyr veih’n Aglish firrinagh ta cordail rish y Leih soit Seose raad te vaghey ta enmyssit Charbaa veih’n Aglish ; ta leid y persoon shen cheet reeisht fo pooar Noid ny hanmey Ferreil y Teihl shoh, ta shen y Ferreil ocsyn nagh vel ayns Conaant rish Jee.","A. It is a most dreadful Thing. For whoever is so, whether on Account of a wicked Life or wicked Principles, or by Separating himself without Cause, from the true and regularly establish’d Church where he dwells, which is called Schism, such a Person becometh again a Subject of Satan, the Prince of this World, that is, of all such as are not in Covenant of God.",18,
"Va sleih ayns toshiaght Creestiaght cha tushtagh jeh shoh nagh rou aash ny gerjagh erbee ec ny peccee sdaney va nyn [11] Maskey, choud as v’ad fo Briwnys ny Haglish, agh hur ad nearey ny seaghyn erbee, dy voddagh ad ve reeisht goit stiagh ayns y Cheshaght.","The first Christians were so sensible of this, that their boldest Sinners had neither Ease nor Comfort under the Church’s Censures, but underwent any Shame or Trouble, that they might be restored to Communion.",18,
"Q. Vod Charbaa veih’n Aglish ve foill cha dangeragh choud as ta sleih credjal goo Yee er yn yn aght, as soilshagh ad hene dy leedeil bea cha crauee as feallagh elleh ?","Q. Can it be so dangerous a Crime to separate, while Men believe the same Truths, and profess to live as well as others ?",18,
"[ 10 ] A. Ta Jee hene er vriwnys y chooish shoh, liorish y kerragh aglagh hug eh ’orroosyn ren hoshiagh girree magh noi Reil ny Haglish.","A. God himself hath judged this Case, by the fearful Punishment inflicted upon the first Disturbers of Church Government.",19,
"As er yn oyr dy vel Charbaa veih’n Chredjue son y chooid smoo cheet jeh moyrn, dy vel eh oyr ymmodee streeu as niau-yastylys, cur droughyantee er nyn doshiaght as liettal Ellyn mie, shegin da ve peccah mooar.","And it being generally the effect of Pride, the cause of much Contention and Uncharitableness, encouraging Offenders, and hindring Discipline, it must needs be a great Sin.",19,
"Q. Cre’n resoon t’ayms dy chredjal dy vel mee m’Olt jeh’n Aglish, fakin dy vel chooilleen foar er ny yialdyn jee ?",Q. What Reason have I to believe that I am a Member of the Church to which so many Favours are promised ?,19,
A. Ta’n Bannaght er ny ve ayd dy rou bashtit liorish Persoonyn ta Jee er phointeil as er ordreil dy lowal son yn obber shen.,"A. You have had the Blessing of being baptised by Persons sent, and rightly ordained for that end.",19,
"As choud as tow tannaghtyn biallagh gys dty Chianoortyn Spyrydoil Aspick as Saggyrtyn Chreest, choud keddyn tow dy Olt jeh Aglish Chreest, as cairys ayd gys ooilleh ny gialdynyn ta jeant jee.","And so long as you continue obedient to your spiritual Governors, the Bishop and Pastours of Christ’s Flock, so long you are a Member of Christ’s Church, and have a Title to all the Promises made to it.",19,
"Agh dy ve Olt firrinagh as bio jeh’n Chorp ec-hey shegin dhyt ve kiarrallagh dy yanoo ny te er harey. Son my jirmad, dy vel sheshaght ain marish, as gimmeeaght ayns y dorraghys [12] ( ta shen dy ghra, leedeil drough vea ) ta shin breagagh as cha vel yn irrin ain.","But to be a true and lively Member of his Body, you must be careful to do what he hath commanded. For if we say that we have Fellowship with him, and walk in Darkness, (i.e. lead a wicked Life) we lie, [and] do not the Truth.",19,
Q. Cre te dy ve lianoo dy Yee ?,Q. What is it to be a Child of God ?,19,
"A. Ta shen dy ve ayns leid y chardys rish Jee as ta Mack ayn gys e Ayr. Ta shoh enmyssit Daltanys liorish ta shickerys ayd dy jean Jee er son graih Chreest mee-reiltys y dooghys ayd y liggey shaghey, chummey ghoal jeh dt’annoonid ; dy foaroil clashtyn rish dt’accannyn dt’ymmyrch y yanoo magh, dt’obbraghyn mie y eek, as dty ghrough ymmyrkey y smaghtagh. T’ad shoh ooilley leid ny obbraghyn as ta soilshagh magh graih Ayroil.","A. It is to have such Privilege with God, as a Son hath with his Father. This is called Adoption, by which you have an Assurance, that God, for Christ’s sake, will overlook the untowardness of your Nature, pity your Infirmities ; favourably hear your Requests, supply all your Wants, reward your Well-doings, and correct your Miscarriages ; which are all Acts of fatherly Affection.",19,
Q. Cre te dy ve Eireh jeh Reereeaght Niau ?,Q. What is it to be an Inheritor of the Kingdom of Heaven ?,20,
"A. Ta shen dy vel cairys ayd gys y voggey as y ghloyr t’ayns Niau ; as dy ve er dy leedeil ayns raad shicker dy chosney ad. Dy vel goo Yee ayd son dt’raan as Ainlyn mie Yee dy hirveish dhyt. Myr shen dy nee dt’oill hene vees eh, managh bee oo ayns maynrys son dy bra.","A. It is to have a Title to the Joys and Glories of Heaven, and to be put into a sure way of attaining them. It is to have the Word of God for your Security, and the good Angels of God to minister unto you ; so that it will be your own Fault, if you are not eternally Happy.",20,
"Q. Rou cairys erbee ayms gys ny Bannaghtyn shoh, roish my jagh mee er bashtey ?",Q. Had I no Right to these Blessings before I was Baptised ?,20,
"A. Cha rou veg eddyr. Smooinee ayd hene cre ny foaryn ad, as cha vou veg aynyd hene oddys ny leid y hoilchin.","A. None at all. Consider what Favours they are, and you will find nothing in your self that can deserve such.",20,
"Vod joan as leoi peccoil, jeaghyn son vondeishyn flaunyssagh ? Foar Yee ? Coadey Aynlyn ?",Can sinful Dust and Ashes pretend to heavenly Privileges ? the Favour of God ? the Protection of Angels ?,20,
[13] Vod dooghys niau-ghlen smooinaghtyn er toilchin Gloyr as ooashley as ve dy bragh bio ?,"Can corrupt Nature think of deserving, or be capable of Glory, and Honour, and Immortality ?",20,
"Jeagh vod oo en share y chur ort hene, dy vod oo, tra tow dy firrinagh er dt’injilagh lesh tushtey jeh dt’ardalys as dty voughtynid, dy booisal soiagh jeh cooney as myghin Yee ; Son cha vel feme ocsyn ta slane er Lhee, agh ocsyn ta ching.","Endeavour to know your self better, that being truly humbled with a Sense of your own Vileness and Misery, you may thankfully accept of Help and Mercy from God ; for they that are whole need not a Physician, but they that are sick.",20,
"As fakin dy vel Jee er yialdyn dy yanoo chooish er dy hon, gow coyrle dy yanoo red ennagh er dy hon hene.","And seeing God has promised to do so much for you, be perswaded to do something for your self.",20,
Q. Cre oddys Creture cha fardalagh yanoo er y hon hene ?,Q. What can so miserable a Creature do for himself ?,20,
"[ 12 ] A. Foddee oo dy niau-fuid hene y cheaney as guee er chymmey ve echey ort ; foddee oo ymmyd yanoo jeh ny grasyn te dy stoual ort as ve booisal son e vannaghtyn ; jean chammah as oddys oo, as cha shir y viys echyssyn ny smoo.","A. You can lament your own Unworthiness, and pray to God to pity you ; You can use the Graces he bestoweth upon you, and be thankful for his Favours : You can do your best, and his Goodness will expect no more.",21,
Q. Cre’n ymmyd shegyn dou yanoo jeh’n ayrn shoh jeh my Chredjue Chreestee ?,Q. What use am I to make of this part of my Catechism ?,21,
"A. Ligg da cur ort cooinaght dy vel oo dy Chreestee. Dy vel Ennym noa ayd, as Pooar noa er ny chur dhyt, as shoh dy vod oo cheet dy ve dy Chreture noa.","A. Let it bring to your remembrance that you are a Christian. That you have a New Name, and New Powers given you, on purpose, that you may become a New Creature.",21,
"My tow dy jarroo dty Lianoo dy Yee smooinee oo cre liasagh lianoo ammyssagh y yanoo[.] Bee oo aglagh roish e Yummoose as nee oo treshteil ayns e ghraih ; roi-ee oo huggey son ny vees oo dy laccal, as bee oo booisal da son ny te dy chur dhyt, as gow-ee oo rish [14] e aigney mie, tra te smaghtagh chammah as tra te goal boggey jeed.","If you are indeed a Child of God, you will think what a dutiful Child ought to do. You will fear his Displeasure, and trust in his Love ; You will run to him for what you want, and be thankful for what he gives, and you will own his Affection when he corrects, as well as when he smiles upon you.",21,
"My t’ow jeaghyn son Eiraght ayns Niau, bee dt’smooinaghtyn dy mennick ayn. Son raad ta dt’verchys, ayns shen vees dt’chree myrgeddyn.","If you look for an Inheritance in Heaven, your Thoughts will be often there. For where your Treasure is, there will your Heart be also.",21,
"As cha bee dt’aigney rour soit er neeaghyn y teihl shoh. Cha bee oo roah aglagh roish e hea-aghyn,1 ny roah ghrai-agh er e ardail ; son dy bee dy gerrit jerreh orroo ny neesht.","And you will not be too eager for the Things of this World ; You will neither be much afraid of its Troubles, nor too fond of its Vanities, remembring that both will soon have an End.",21,
