Manx,English
"3 Eh nagh dug scammylt rieau, dy ghoaill",3  Who never did a Slander forge
Veih ’naboo e ghoo mie ;,         his Neighbour’s Fame to wound;
As nagh dug cleaysh da’n tutlar broghe,"      Nor hearken to a false Report,"
Ta shooyl veih thie dy thie.,         by Malice whisper’d round.
,
"4 Ta jeh drogh-yantee soiagh beg,","4  Who Vice, in all its Pomp and Pow’r,"
Ga t’ad ayns stayd as pooar ;,         can treat with just Neglect;
"Agh jeh ny nooghyn ga t’ad boght,","      And Piety, tho’ cloath’d in Rags,"
T’eh kinjagh soiagh mooar.,         religiously respect.
,
5 Quoi gys e ghialdyn as e loo, 5  Who to his plighted Vows and Trust
Ta shassoo fegooish foill ;,         has ever firmly stood;
As myr t’eh gialdyn t’eh cooilleen,"      And, tho’ he promise to his Loss,"
Cre-wooads te da dy choayl.,         he makes his Promise good.
,
6 Eh nagh jean goaill rour thack ny keesh,6  Whose Soul in Usury disdains
"Ass argid, cooid ny airh,",         his Treasure to employ;
"Nagh jean goaill leagh ny gioot ro-laue,","      Who no Rewards can ever bribe,"
Dy phlooghey briwnys cair.,         the Guiltless to destroy.
,
"7 Eh ta myr shoh leeideil e vea,","7  The Man, who by this steady Course"
Jeh maynrys shickyr t’eh ;,"         has Happiness ensur’d,"
Ga ragh y seihl shoh bun-ry-skyn,"      When Earth’s Foundation shakes, shall stand,"
Yiow eshyn slane livrey.,         by Providence secur’d.
,
,
PSALM XVI. Verse 9.,Psalm 16.
"Yn Chiarn ta mee er hoiagh roym,",[I have set God always before me:
"Dy ve kiongoyrt rish m’ oaïe,"," for he is on my right hand,"
"Lesh pooar e laue nee eh m’y reayll,", therefore I shall not fall.][2]
Nagh jean-ym tuittym veih.,
,
"10 Er shen my chree ren gennal gaase,","   9  Therefore my Heart all Grief defies,"
My ghloyr ren boggey ’ghoaill ;,         my Glory does rejoice;
My eill ghoys fea ayns slane treishteil,"      My Flesh shall rest, in Hopes to rise,"
Jeh irree-reesht gerjoil.,         wak’d by his pow’rful Voice.
,
"11 Cre’n-oyr? cha jean uss lhiggey dooys,","10  Thou, Lord, when I resign my Breath,"
Ayns stayd ny merriu lhie ;,         my Soul from Hell shalt free;
Ny surranse da dt’ er-cash’rick cheet,      Nor let thy Holy one in Death
Gys loauid ayns yn oaie.,         the least Corruption see.
,
12 Jeeaghee oo dooys yn raad gloyroil,"11  Thou shalt the Paths of Life display,"
Nee m’y leeideil gys bea ;,         that to thy Presence lead;
"Ayns dt’ enish ta slane gerjagh lhie,","      Where Pleasures dwell without Allay,"
As maynrys son dy bra.,         and Joys that never fade.
,
,
PSALM XIX.,Psalm 19.
"Ny niaughyn, Hiarn, ta er nyn skyn,","1  The heav’ns declare thy Glory, Lord,"
T’ad soilshagh magh dty ghloyr ;,       which That alone can fill;
"Obbyr dty laueyn heose ’syn aer,",    The Firmament and Stars express
Ta prowal jeh dty phooar.,       their great Creator’s Skill. 
,
2 Caghlaaghyn kinjagh laa as oie,2  The Dawn of each returning Day
Cur toiggal dooin dy plain ;,       fresh Beams of Knowledge brings;
"Dy vel y phooar ren ad ’oardrail,",    From darkest Night’s successive Rounds
Erskyn y roshtyn ain.,       divine Instruction springs. 
,
"4[3] Ta sheean jeu ayns dy chooilley cheer,",3  Their pow’rful Language to no Realm
Yn feiyr oc trooid y theihll ;,       or Region is confin’d;
Baght cronnal jeu ta er ny ghoaill,"    ’Tis Nature's Voice, and understood"
Liorish dy chooilley ’eill.,       alike by all Mankind. 
,
"5 Cabbane ayns shen ren oo da’n ghrian,","5  No Bridegroom, for his Nuptials dress’d,"
"Speeint goll myr fer-noa-poost,",       has such a chearful Face;
"Magh ass e hiamyr, ny myr foawyr, 1769 foar",    No Giant does like him rejoice
Ayns siyr dy roie e choorse.,       to run his glorious Race. 
,
"6 E bree ta goll veih shiar gys sheear,","6  From East to West, from West to East,"
Myrgeddin jiass as twoaie ; 1769 tooaï,       his restless Course he goes;
"Dagh ayrn jeh’n seihl t’ee geddyn magh,","    And thro’ his Progress, chearful Light"
Veg cha vel follit vo’ee.,"       and vital Warmth, bestows. "
PART II.,The Second Part. 
"Leigh Yee te glen, chyndaa yn cree,",7  God’s perfect Law converts the Soul;
Gys craueeaght as foays ;,       reclaims from false Desires;
"Creenaght te coyrt da’n boght annoon,",    With sacred Wisdom His sure Word
Soilshey ’sy ghorraghys.,       the Ignorant inspires. 
,
"8 Ynrick ta slattyssyn y Chiarn,"," 8  The Statutes of the Lord are just,"
Eunyssagh as gerjoil ;,       and bring sincere Delight;
"Ta ’anney, ronsit magh dy geyre,",    His pure Commands in Search of Truth
Niartagh yn shilley moal.,       assist the feeblest Sight. 
,
"9 Aggle y Chiarn ta shickyr soit,"," 9  His perfect Worship here is fix’d,"
Er undin nagh jean craa;,       on sure Foundations laid;
"E leighyn corrym, er nyn dowse",    His equal Laws are in the Scales
Ayns meighyn kiart dy bra.,       of Truth and Justice weigh’d. 
,
"10 S’boght soylit huc ta meanyn airh,","10  Of more Esteem than golden Mines,"
Ny’n airh hene ta roït voue ;,       or Gold refin’d with Skill;
"Yn vill, ny kerenyn-molley hene,","    More sweet than Honey, or the Drops"
Cha vel cha millish roo.,       that from the Comb distil. 
,
"11 M’ Ir-choyrlee cooie treishteilagh ad,","11  My trusty Counsellors they are,"
As raue’ghyn dooie foardrail;,       and friendly Warnings give;
"Leagh flaunyssagh ta gour nyn lheid,",    Divine Rewards attend on those
Ta’n vea oc roo cordail.,       who by thy Precepts live. 
PART III.,
"12 E skyrraghtyn quoi oddys ginsh,",12  But what frail Man observes how oft
E vennick goll jeh’n raad ?,       he does from Virtue fall?
"Veih m’ oiljyn follit glen mee, Hiarn, 1769 oilchin","    O, cleanse me from my secret Faults,"
Uss ta’n slane coontey ayd.,       Thou God that know’st them all. 
,
"13 Ny lhig da peccah daaney, Hiarn,","13  Let no presumptuous Sin, O Lord,"
M’y reayll fo reill e phooar ;,       Dominion have o’er me;
"Dy voddym’s sauchey fo dty scaa,","    That, by thy Grace preserv’d, I may"
Scapail yn olkys mooar.,       the great Transgression flee. 
,
"14 My phadjer eisht, as booise my chree,",14  So shall my Pray’r and Praises be
Vees er ny lowal liort ;,       with thy Acceptance blest;
"As mish, fo sauchys dty endeil,","    And I, secure on thy Defence,"
Nee coyrt my varrant ort.,"       my Strength and Saviour, rest."
,
,
For GOOD FRIDAY.,
,
PSALM XXII.,Psalm 22.
"My Yee, my Yee, jeeagh neose veih niau,"," 1  My God, my God, why leav’st Thou me"
Jeeagh er my hrimshey trome ;,         when I with Anguish faint?
"Cre’n-fa t’ou nish er my hreigeil,","      O, why so far from me remov’d,"
As cummal foddey voym !,         and from my loud Complaint?
,
"2 My Yee, er fey-ny-laa hood geam","   2  All Day, but all the Day unheard,"
Cha vel oo clashtyn mee ;,         to Thee do I complain;
As aash ny fea cha vel mee goaill,"      With Cries implore Relief all Night,"
Er imbagh doo ny hoie.,         but cry all Night in vain.
,
"4 Ort hug nyn ayraghyn nyn dreisht,","4,5[4]  On Thee our Ancestors rely’d,"
Er dty endeilys fieau ;,         and thy Deliv’rance found;
"Lesh aghin jeean ghuee ad son couyr,","      With pious Confidence they pray’d,"
As ren oo cooney lhieu.,         and with Success were crown’d.
,
"6 Agh mish ta coontit myr beishteig,"," 6  But I am treated like a Worm,"
Nagh ruggyr jeh sheelnaue ;,         like none of human Birth:
"Ta jiooldit magh veih sheshaght sleih,","      Not only by the Great revil’d,"
As jeeaghyn feohdagh daue.,         but made the Rabble’s Mirth.
PART II.,
7 Ayns gearey floutagh ren y theay,7  With Laughter all the gazing Croud
Nyn ghing mooaralagh craa ;,         my Agonies survey;
Sheeyney nyn meillyn magh ayns craid,"      They shoot the Lip, they shake the Head,"
D’oltooaney mee as gra:,         and thus deriding say:
,
"8 Dooyrt eh, She mish mac graihagh Yee,","   8  “In God he trusted, boasting oft,"
Ayn ta my slane treishteil ;,         that he was Heav’n’s Delight;
"Lhig Jee cheet neose dy ghoaill e phaart,","      “Let God come down to save him now,"
My saillish eh hauail.,         and own his Favourite.”
,
"11 Ny treig mee ayns my heaghyn dowin,"," 11  Withdraw not then so far from me,"
Ny follee dt’ eddin voym ;,         when Trouble is so nigh;
"Tar uss, my chouyr ; cha vel, my Yee,","      O send me Help! thy Help, on which"
Fer-coonee elley ayn.,         I only can rely.
PART III.,
"17 My laueyn ren ad ’hreiney trooid,","[16b] They pierc’d my inoffensive Hands,"
Hrein ad my chassyn neesht ;,         they pierc’d my harmless Feet.
"As hass ad blakey seose nyn rheyrt,",[17b] Yet such a Spectacle of Woe
Gyn accan ny erreeish.,         as Pastime they behold.
,
"18 My gharmadyn ren ad y rheyn,","18  As Spoil, my Garments they divide,"
Dagh unnane goaill e chron ;,         Lots for my Vesture cast:
"As hilg ad lottyn er my chooat,",
Son nagh row whaaley ayn.,
,
"19 Ny treig mee ayns my heaghyn dowin,",
Ny follee dt’ eddin voym ;,
"Tar uss, my chouyr; cha vel, my Yee,","19  Therefore approach, O Lord, my Strength, "
Fer-coonee elley ayn.,         and to my Succour haste.
,
,
PSALM XXIII.,Psalm 23.
"Yn Chiarn eh-hene nee mish y rere,","1  The Lord himself, the mighty Lord,"
Tra ta mee huggey geam ;,       vouchsafes to be my Guide;
"Yn bochil mie nee goaill kiarail,","    The Shepherd, by whose constant Care"
Nagh bee’m dy bragh ayns feme.,       my Wants are all supply’d.
,
"2 Ayns faiyr meenure[5] as lane dy vlaa,","2  In tender Grass He makes me feed,"
T’eh kinjagh fassagh mee ;,      and gently there repose;
"Reesht m’y leeideil gys fynneraght,","    Then leads me to cool Shades, and where"
Yn raad ta geillyn roie.,     refreshing Water flows.
,
"3 My chree waggântagh t’eh chyndaa,","3  He does my wand’ring Soul reclaim,"
Er graih e ennym hene ;,"      and, to His endless Praise,"
"As gynsagh mee cre’n aght dy hooyl,",    Instruct with humble Zeal to walk
"Ayns raaidyn jeeragh, glen.",      in His most righteous Ways.
,
"4 Ga dy beïn shooyl ayns coan y vaaish,","4  I pass the gloomy Vale of Death,"
Cha bee’m ayns dooyt erbee ;,      from Fear and Danger free;
"Dty ’latt, dty lorg nee m’y endeil,",    For there His aiding Rod and stAff
As kinjagh gerjagh mee.,      defend and comfort me.
,
"5 Neayr’s ta my Yee jeh mooad’s e ghraih,",6[6]  Since God does thus his wond’rous Love 
Er reayll my yea ass gaue ;,"      through all my Life extend,"
"Yn yea shen neem’s y hymney da,","    That Life to Him I will devote,"
As ayns e hiamble ceau.,      and in his Temple spend.
,
,
PSALM XXIV.,Psalm 24.
"Quoi eh hed seose gys cronk y Chiarn,",[3b][7] O! who shall to that sacred Hill
T’eh hene er reih er-lheh ;,      deserv’d Admittance find?
"As quoi vees ayns yn ynnyd shen,",
Goit stiagh lesh oltagh bea ?,
,
"4 Eshyn ta shooyl ayns raaidyn glen,","4  The Man whose Hands and Heart are pure,"
Veih moyrn ta freayll e chree ;,      whose Thoughts from Pride are free;
"Nagh jean molteyrys ayns e loo,",    Who honest Poverty prefers
Son feeagh ny leagh erbee.,      to gainful Perjury.
,
"5 Shoh, shoh’n dooinney da nee’n Chiarn","5  This, this is he, on whom the Lord"
E vannaght choyrt gagh-laa ;,"      shall show’r his Blessings down,"
"Vees lhieent lesh ynrickys e Yee,",   Who God his Saviour shall vouchsafe
"Jee, e haualtys brâ.",     with Righteousness to crown.
,
PSALM XXV.,Psalm 25.
"Gys Jee, ayn ta my hreisht,","1  To God, in whom I trust,"
"Lesh m’ annym as my chree,",      I lift my Heart and Voice;
"Nee’m padjer ghoaill; O Hiarn graysoil,","2  O! let me not be put to Shame,"
Ny cur gys nearey mee.,      nor let my Foes rejoice.
,
"3 Ayns ynrickys dty raad,","4,5[8] To me thy Truth impart,"
"Jean mish, O Hiarn ’leeideil ;",     and lead me in thy Way;
"Jee my haualtagh, uss dy bragh;","   For thou art he that brings me Help,"
Nagh jean dy bragh failleil.,     on Thee I wait all Day.
,
"5 O smooinnee orrym, Hiarn,","6  Thy Mercies, and thy Love,"
Ayns graih as myghin cooie ;,"      O Lord, recal to mind;"
As dy graysoil jean tannaghtyn,"   And graciously continue still,"
Da peccee boghtey dooie.,"      as thou wert ever, kind."
,
"6 Lhig loght my aegid, Hiarn,", 7  Let all my youthful Crimes
Ve dollit ass dty lioar ;,       be blotted out by Thee;
As son dty vieys yindyssagh,"    And, for thy wond’rous Goodness’ sake,"
Jeeagh dou dty ghrayse as foayr.,       in Mercy think on me.
,
"7 Dty vyghin as erreeish,","8  His Mercy, and his Truth,"
"T’ou soilshagh orrin, Hiarn ;","     the righteous Lord displays,"
"Ny shaghrynee goaill gys dty raad,","   In bringing wand’ring Sinners home,"
As thie hood hene ad tayrn.,     and teaching them his Ways.
,
"8 Ny imlee as ny meen,",9  He those in Justice guides
"Ayns ynrickys nyn mea,",      who his Direction seek;
"T’eh dy leeideil dy myghinagh,",   And in his sacred Paths shall lead
Ayns raaidyn kiart as rea.,      the Humble and the Meek.
,
"9 Ta ooilley raaidyn Yee,",10  Thro’ all the Ways of God
Ayns firrinys gloyroil ;,"       both Truth and Mercy shine,"
"Dauesyn ta freayll e annaghyn,","     To such, as with religious Hearts,"
Dy myghinagh foayroil.,       to his blest Will incline.
,
PSALM XXXII.,Psalm 32.
"O s’maynrey ad, nyn beccaghyn,","1  He’s blest, whose Sins have Pardon gain’d,"
"Ta maiht daue liorish Jee,",       no more in Judgment to appear;
Feaysley veih errey trome nyn loght,"2  Whose Guilt Remission has obtain’d,"
T’er yeearree veih nyn gree.,      and whose Repentance is sincere.
,
"3 Choud’s ren mee ayns my ommijys,","3  While I conceal’d the fretting Sore,"
Keiltyn my ghoghan baaish ;,      my Bones consum’d without Relief;
"My chraueyn chaill nyn mioyr fo’n laad,","    All Day did I with Anguish roar,"
Shee cha row aym ny aash.,      but no Complaint asswag’d my Grief.
,
"6 Leah’s ren mee siyr dy skeayley royd,[9]","5[10]  No sooner I my Wound disclos’d,"
Ayns padjer loght my vea ;,"      the Guilt that tortur’d me within,"
"Dty ghrayse as myghin hug dou couyr,","    But thy Forgiveness interpos’d,"
As va my chree ec fea.,      and Mercy’s healing Balm pour’d in.
,
"7 Shoh stayd nyn lheid nagh gaill nyn draa,","6  True Penitents shall thus succeed,"
Dy hirrey hoods son grayse ;,      who seek Thee whilst Thou mayst be found;
"Agh cronney ny mee-arryssee,","    And, from the common Deluge freed"
"Vees trimshey, pian as baase.",      shall see remorseless Sinners drown’d.
,
PSALM XXXIII.,Psalm 33.
Verse 4.,
"Goo’n Chiarn ta kiart, e chreenaght vooar","4,5  For faithful is the Word of God,"
Harrish e obbyr sheeint ;,        his Works with Truth abound;
"Ta ’ghraih er cairys, as yn ooir","    He Justice loves, and all the Earth"
Ta lesh e vieys lhieent.,        is with his Goodness crown’d.
,
"6 Yn arch vooar ard ta er nyn skyn,","6  By his Almighty Word, at first,"
Va soit magh lesh e laue ;,       Heav’ns glorious Arch was rear’d;
"As ooilley’n cheshaght aalin t’ayn,",    And all the beauteous Hosts of light
Hug eh nyn doshiaght daue.,       at this Command appear’d.
,
7 Da’n faarkey hug eh boayl er-lheh,"7  The swelling Floods, together roll’d,"
Coyrt cagliagh lajer mysh ;,       he makes in Heaps to lie;
"As chaglit stiagh myr ayns thie stoyr,","    And lays, as in a Storehouse safe,"
Nagh voddagh eh cheet rish.,       the wat’ry Treasures by.
,
"8 Lhig eisht slane cummaltee yn theihl,","8,9  Let Earth, and all that dwell therein"
Ve roishyn atchimagh ;,       before him trembling stand;
"9 Dagh nhee va jeant, hug biallys,","    For when he spake the Word, ’twas made:"
Leah’s haink y sarey magh.,       ’twas fix’d at his Command.
,
"11 Shen ny ta’n Chiarn dy choyrt myr leigh,",11  Whate’er the mighty Lord decrees
Nee shassoo gyn caghlaa ;,       shall stand for ever sure;
"E haraghyn ta sealit seose,",    The settled Purpose of his Heart
Nagh vod ve brisht dy bra.,       to Ages shall endure.
,
PSALM XXXIX.,Psalm 39.
Verse 5.[11],
"Hiarn, cur dty ghrayse as tushtey dou,","4  Lord, let me know my Term of Days,"
Son toiggal cooie jee’m pene ;,        how soon my Life will end;
"Goaill gys my chree gyirrid my vea,","    The wond’rous Train of Ills disclose,"
Nagh vod ve foddey beayn.,        which this frail State attend.
,
6 Jeeagh ; t’ou er chummey traa my vea,"5  My Life, thou know’st, is but a Span,"
Gys towshan giare myr reish ;,      a Cypher sums my Years;
"Ayns soylagh gys y veaynid ayds,","    And ev’ry Man, in best Estate,"
Fardail dagh dooinney eisht.,      but Vanity appears.
,
"7 Ta dooinney shooyl ayns caslys scaa,","6  Man, like a Shadow, vainly walks,"
As lab’raght ayns fardail ;,       with fruitless Cares oppress’d;
"Sheer chaglym cooid, gyn fys quoi da,","    He heaps up. Wealth, but cannot tell"
Ny quoi nee’n soylley ’ghoaill.,       by whom ’twill be possess’d.
,
"8 Agh quoi er ta mish farkiaght, Hiarn,","7  Why then should I on worthless Toys,"
Cre er m’ imnea baarail ?,"       with anxious Care, attend?"
"Orts ta mee coyrt my varrant slane,",     On Thee alone my stedfast Hope
Cha jean oo mee hreigeil.,"       shall ever, Lord, depend."
,
PSALM XLV.,Psalm 45.
For CHRISTMAS DAY.,
"Ayns coyrt da’n ree ard-voylley cair,","1  While I the King’s loud Praise rehearse,"
Ayns smooinaght dowin my chree ;,"       indited by my Heart,"
"2 My veeal ren goll myr laue screeudeyr,",     My Tongue is like the Pen of him
Ta scrieu lesh aght as skhleï.,        that writes with ready Art.
,
"3 T’ou foddey s’aailey na sheelnaue,","2  How matchless is thy Form, O King!"
Lesh grayse dty veeal ta loayrt ;,      thy Mouth with Grace o’erflows;
"Son dy vel Jee, dty Yee, gagh-laa,",    Because fresh Blessings God on thee
Giootal e vannaght ort.,       eternally bestows.
,
"7 Dty stoyl-reeoil ta shickyr soit,","6  But thy firm Throne, O God, is fix’d"
Nagh jean dy bragh caghlaa ;,       for ever to endure;
"Dty lorg lesh pooar nee kinjagh reill,","    Thy Sceptre’s Sway shall always last,"
Lesh leigh nagh vaill dy bra.,       by righteous Laws secure.
,
PSALM LXVII.,Psalm 67.
"Ayns myghin jeeagh dou foayr,","1  To bless thy chosen Race,"
"As bannee shin, O Hiarn ;","      in Mercy, Lord, incline;"
"As lhig da soilshey gial dty vaish,",    And cause the Brightness of thy Face
Er dt’ eiraght hene soilshean;,      On all thy Saints to shine;
,
2 Dy vod dy chooilley cheer,2  That so thy wond’rous Way
Baght jeh dty raad y ghoaill ;,"      may through the World be known,"
Ny ayrnyn mooie jeh’n seihl goaill-rish,"    While distant Lands their Tribute pay,"
Dt’ haualtys spyrrydoil.,      and thy Salvation own. 
,
3 O lhig da dagh ashoon,3  Let diff’ring Nations join
"Dty voylley fockley magh,",      to celebrate thy Fame;
"Lhig ooilley’n ooir lesh un choraa,","    Let all the World, O Lord, combine"
Cur moylley dhyt dy bragh.,      to praise thy glorious Name. 
,
4 Lhig dauesyn boggey ghoaill,4  O let them shout and sing
Lesh gennallys arrane ;,"      dissolv’d in pious Mirth,"
"Son uss y briw, dy cairagh kiart,","    For Thou, the righteous Judge and King,"
Nee briwnys dagh unnane.,      shalt govern all the Earth.
,
5 O lhig da dagh ashoon,5  Let diff’ring Nations join
Dty voylley fockley magh ;,      to celebrate thy Fame;
Lhig ooilley’n ooir lesh un choraa,"    Let all the World, O Lord, combine"
Goaill ayrn ’sy chiaulleeaght.,      to praise thy glorious Name. 
,
6 Bee’n ooir eisht laadit trome,6  Then shall the teeming Ground
Lesh bratt dy chooilley vleïn ;,      a large Increase disclose;
"As bee mayd bannit liorish Jee,","    And we with Plenty shall be crown’d,"
Yn Jee graysoil ain hene.,"      which God, our God, bestows. "
,
"7 Ver Jee e vannaght dooin,",7  Then God upon our Land
Lesh palchey jeh dagh nhee ;,"      shall constant Blessings show’r,"
"As ooilley’n seihll nee aggle ’ghoaill,",    And all the World in Awe shall stand
Roish pooar yn niartal Jee.,      of his resistless Pow’r.
,
PSALM LXXXIV.,Psalm 84.
"O Hiarn my Yee, maynrey nyn stayd,","4  O Lord of Hosts, my King and God,"
Ta mennick ayns dty hie ;,"       how highly bless’d are they,"
"Geeck dhyts ayns shen nyn geesh dy ghloyr,","    Who in thy Temple always dwell,"
Lesh arryltys nyn gree.,       and there thy Praise display!
,
"5 Maynrys er maynrys gour nyn lheid,","5  Thrice happy they, whose Choice has Thee"
Ta ayns dty scaa treishteil ;,       their sure Protection made;
"Myr troailtee gennal, geiyrt da’n raad",    Who long to tread the sacred Ways
Ta gys dty hie leeideil.,       that to thy Dwelling lead!
,
8 Veih niart dy niart t’ad gennal goll,"7  Thus they proceed from Strength to Strength, "
"Jerkal rish maynrys bra,","       and still approach more near,"
Raad hee ad dt’ oaïe ayns gerjagh beayn,    Till all on Sion’s holy Mount
Nagh jean dy bragh caghlaa.,       before their God appear.
,
"10 O baare lhiam eisht un laa vaarail,",10  For in thy Courts one single Day
Ayns chiamble noo my Yee ;,"       ’tis better to attend,"
"Ny bleeantyn liauyr fud sleih gyn-ghrayse, 1769 gyn grayse","     Than, Lord, in any Place besides"
Gyn aggle ayns nyn gree.,       a thousand Days to spend.
,
PSALM XC.,Psalm 90.
"Hiarn, nyn saualtagh niartal rieau",1  O Lord the Saviour and Defence
D’ endeil dty reih hioltane ;,"       of us thy chosen Race,"
