English,Manx
"But forasmuch as you have done many Things contrary to the Promise made in your Name, when you were baptized,—and will stand in need of greater Degrees of Grace and Assistance, to enable you to resist the Temptations of the World, the Flesh, and the Devil, and to do your Duty in that State of Life, unto which the Providence of God shall call you:—You are therefore now called upon to be Partaker of the other Sacrament,—That of the Lord’s Supper; by which, upon your sincere Repentance, you may obtain the Pardon of all your past Sins, and such other Graces as you stand in need of, to bring you to eternal Life and Happiness.","Agh son wheesh as dy vel oo er n’yannoo ymmodee Reddyn noi yn Ghialdyn va jeant ayns dty Ennym ec dty Vashtey, as dy bee oo feme towse smoo dy Ghrayse as dy Chooney, dy niartaghey oo dy hassoo magh noi Miolaghyn y Theihll, yn Eill, as y Drogh-spyrryd, as dy yannoo dty Churrym ayns y Stayd shen dy Vea, huggey nee Ard-chiarail Yee geamagh ort:—T’ou nish er-y-fa shen er dty chuirrey dy ghoaill Ayrn jeh’n Sacrament elley,—Sacrament Shibber y Chiarn; liorish shen my nee oo Arrys firrinagh y ghoaill, foddee oo Leih y gheddyn son ooilley ny Peccaghyn t’ou rieau er n’yannoo, as lheid ny Grayseyn elley ta feme ayd orroo, dy leeideil oo gys y Vea Veayn as Maynrys dy bragh farraghtyn."
,
,
"Take care therefore, that you understand what you are called to as well as you are able, and God expects no more.— [3]","Shen-y fa gow Kiarail, dy hoiggal chammah as oddys oo [yn Oardaghey Casherick] shen huggey t’ou er dty eam, as ny smoo cha vel Jee dy hirrey.— [3]"
"For if you go to the Lord’s Supper without considering the Reason of that Ordinance, and the very great Concern you have in it, without seeing the Necessity and Blessing of a Redeemer, you will go with Indifference, and return without such Benefit as you might otherwise hope for.","Son my t’ou goll gys Shibber y Chiarn fegooish Toiggal cooie ayd jeh’n Oardaghey shen, as y Cosney feer vooar ta ayd liorish,—gyn tastey ayd jeh Ymmyrch as Bannaght Fer-kionnee, hed oo gys y Chreestiaght lesh beggan Scansh, as chyndaa-ee oo veih fegooish lheid y Vondeish as oddagh oo er aght elley treishteil er y hon."
"To prevent this you should seriously consider what Account the Holy Scriptures have given us of the Condition we are in, both with respect to this Life, and the Life which is to come.","Dy haghney shoh lhisagh oo smooinaghtyn dy dowin er y Coontey ta Goo Casherick Yee er chur dooin jeh’n Stayd ta shin ayn, chammah ‘sy Vea shoh, as jeh shen ta ry-heet."
"That is,—That we are by Nature Sinners: and that, as such, God cannot take Pleasure in us:—And that if we die, before we are restored to his Favour, we shall be separated from him, and miserable for ever.","Ta shen dy ghra,—Liorish Dooghys dy vel shin Peccee: as myr ta shin Peccee, nagh vod Jee Taitnys y ghoaill aynin:—As my yiow mayd Baase roish my jig mayd ayns Foayr rish, dy bee mayd er nyn scarrey veih, as ayns Treihys er son dy bragh."
"This will lead you to inquire, how the Nature of Man came to be thus disordered, and prone to Evil; for you must not imagine, that God, who is infinitely good, created Man in such a State of Corruption, as you now see and feel him to be in; but that he must have fallen into this wretched Condition, since he came out of the Hands of his Creator. [4]","Leeidee shoh oo dy vriaght, kys haink Dooghys Dooinney gys y Stayd varvaanagh shoh, as aggindagh er Olk; son cha nhegin dhyt smooinaghtyn, dy ren Jee, ta erskyn-earroo mie, Dooinney y chroo ayns lheid y Stayd pheccoil, as t’ou nish fakin as gennaghtyn eh nish dy ve ayn; agh dy nhegin da ve er huittym ayns y Stayd hreih shoh, lurg da v’er jeet ass Laueyn e Er-croo. [4]"
"And so the Scripture informs us.—In the third Chapter of Genesis, we have this following Account of the State of Man, Before, and After the Fall:","As myr shen ta Goo Yee ginsh dooin.—Ayns y trass Chabdil jeh Lioar Genesis, ta’n Coontey shoh ain jeh Stayd Dooinney, Roish, as Lurg da tuittym ayns Peccah:"
"That Adam and Eve, from whom sprang all Mankind, were created in the Image of God; that is, holy and innocent, having a perfect Knowledge of their Duty, a Command of their Will and Affections, and a Power, through the Grace of God, to do what they saw fit to be done.","Dy row Adam as Aue, jeu rug ooilley Sheelnaue, er nyn groo ayns Caslys Yee; ta shen, casherick as gyn-loght, lesh Tushtey firrinagh jeh nyn Gurrym, lesh Smaght harrish nyn Aigney as nyn Yeearreeyn, as Pooar trooid Grayse Yee, dy yannoo shen heeagh ad cooie dy ve jeant."
"In this Condition they were placed in Paradise, in a State of Trial, with a Promise of immortal Life and Happiness, if they should continue to Fear, to Love, to Honour and Obey their Creator; as also, with an express Warning of the dreadful Consequence of their Disobedience.","Ayns y Stayd shoh v’ad soit ayns Pargeiys, er-chee dy phrowal ad, lesh Gialdyn jeh Bea veayn as Maynrys, my yinnagh ad tannaghtyn dy ghoaill Aggie roish, dy chur Graih, Ooashley as Biallys da nyn Ver-croo; lesh Raaue geyre myrgeddin jeh’n Jerrey atchimagh harragh er nyn Meer-viallys."
"Notwithstanding which Warning, they, through the Temptation of the Devil, transgressed the Commands of God; and by doing so, they did not only forfeit all Right to the Promise of eternal Life and Happiness, but also contracted such a Blindness in the Understanding, such a Disorder in their Will and Affections, as all their Posterity feel to their Sorrow; and became subject to Sin, and the Punishment of [5] Sin, which is Misery and Death.","Agh son ooilley yn Raaue shoh, ren ad, trooid Miolaghey yn Drogh-spyrryd, Saraghyn Yee y vrishey; as liorish shen y yannoo, cha ren ad ny lomarcan coayll dy chooilley Chairys gys y Gialdyn jeh Bea as Maynrys dy bragh farraghtyn, agh ren ad myrgeddin tuittym fo lheid y Deillid ayns nyn Dushtey, fo lheid y Vee-reiltys ayns nyn Aigney as nyn Yeearreeyn, as ta ooilley nyn Sluight gennaghtyn gys nyn Drimshey; [5] as as haink ad dy ve fo Reill as Kerraghey Peccah, quoid ta Treihys as Baase."
"Concerning the Nature and Greatness of this Sin, we are to judge of it by the Greatness of the Punishment inflicted upon them and their Posterity: —For God, being infinitely Just and Holy, could not inflict a Punishment greater than their Sin deserved.","Mychione Dooghys as Mooadys y Pheccah shoh, shegin dooin briwnys, liorish Mooadys y Cherraghey hie er cur orroo hene as nyn Sheeloghe:—Son cha voddagh Jee, ta erskyn earroo Cairal as Casherick, Kerraghey s’trimmey y chur orroo na va nyn Beccah er hoilchin."
,
"Now this was the Occasion of that universal Corruption and Wickedness, which you see and hear of in the World, and which you cannot but, in some Measure, feel in your own Nature: For, as the Scripture informs us, Gen. v. 3. Adam begat his Children in his own Likeness; that is, with such a depraved Nature as his was then become.","Nish shoh va Oyr as Bun ooilley yn Olk as y Vee-chraueeaght shen fey-ny-cruinney, t’ou fakin as clashtyn jeh ayns y Theihll, as sshoh cha vod oo agh gennaghtyn, ayns Ayrn, ayns dty Ghooghys hene: Son myr ta Goo Yee ginsh dooin ayns Lioar Genesis v. 3. Hooar Adam e Chloan ayns e Chaslys hene; ta shen, lesh lheid y Dooghys peccoil as v’eh hene nish ayn."
"And now consider into what a sad Condition these unhappy Offenders had brought themselves, and remember that this is your own Condition, and the Condition of all their Posterity.","As nish smooinee uss dy dowin er, cre’n Stayd hrimshagh va ny Peccee mee-vaynrey shoh er hayrn ad hene ayn, as cooinee dy nee shoh dty Stayd hene, as Stayd ooilley nyn Sheeloghe."
"The Law of Nature and Reason was still in Force, and could not possibly, be dispensed with.—At the same Time they found by sad Experience, That, as St. Paul describes the fallen State of Man, there was [6] a Law in their Members warring against the Law of their Mind; so that the Good which they would, they did not; but the Evil that they would not, that they did, Rom. vii.","Va Leigh Dooghys as Resoon foast ayns slane Bree, as cha voddagh eh er aght erbee ve currit dy lhiattee.—Ec y Traa cheddin dennee ad liorish Prowal hrimshagh, myr ta’n Noo Paul cur Coontey jeh [6] Stayd Dooinney ayns Peccah, Dy row Leigh ayns ny Oltyn oc caggey noi Leigh nyn Aigney; myr shen yn Vie bailliu, shen cha ren ad; agh yn Olk nagh bailliu, shen ren ad, Rom. vii."
"There could not sure be a Condition more deplorable than this;—To live only to contract evil Habits; and by doing so,—To increase their Guilt,—To displease their Creator,—and, To leave an Offspring as miserable as themselves.","Son shickvrys cha voddagh Stayd s’trimshee na shoh y ve:—’Sy Vea shoh ynrycan dy gheddyn drogh Oashyn; as lioroo shen,—Dy vishaghey nyn Beecah,—Dy chur Jymmoose er nyn Ver-croo,—as, Dy aagail sluight nyn yei cha treih roo hene."
"This therefore gave Occasion to God to manifest another of his most glorious Perfections, that is, his infinite Goodness and Mercy.","Shoh er-y-fa shen hug Oyr da Jee dy hoilshaghey da’n Theihll Ayrn elley jeh e Ghooghys smoo gloyroil, ta shen, e Vieys as e Vyghin erskyn-earroo."
"For God foreseeing this lamentable Condition into which they had fallen by departing from their Obedience, his Goodness had provided such a Remedy, as that neither they, nor any of their Posterity, should, on account of their Fall, be eternally miserable, except through their own Fault.","Son myr honnick Jee ro-laue yn Stayd hreih shoh, ayn v’ad er huittym liorish nyn Mee-viallys, va’n Vieys echey er chiarail lheid y Saase shen dy Haualtys, nagh blhiass edyr daue hene, ny da veg jeh nyn Sheeloghe ve ayns Treihys dy bragh farraghtyn, kyndagh rish yn Peccah ocsyn, agh trooid yn Foill oc hene."
"He, therefore, in Consideration of a Redeemer, one of the Seed of the Woman, who mould make full Satisfaction to the Divine Justice for their Transgression, and who should bruise the Head, or break the Power, of that Serpent, (the [7] Devil who tempted them to Sin;—In Consideration of this promised Seed, God entered into a New Covenant with them, by way of Remedy, for what was past, and could not be undone.","Shen-y-fa er coontey Fer-kionnee, Dooinney jeh sluight y Ven, yinnagh Lhiassaghey slane da Cairys Yee son nyn Beecah, as vrooagh Kione, ny vrishagh Pooar, yn Ard-nieu shen (yn Jouyl) ren ad y violaghey gys Peccah;—Er coontey’n Sluight [7] shoh va giallit, ren Jee Conaant Noa y yannoo roo, myr Saase dy yannoo Lhiassaghey son y Peccah va hannah jeant oc, as nagh voddagh nish v’er ny rassey."
"We have reason to believe, that this New Covenant was more fully explained to Adam, than is set down in this short Account given us by Moses, and as it is more fully explained in the Gospel; and which was to this Purpose:—That on Condition of their sincere Repentance, and sincere Obedience afterwards, they should be restored to the Favour of God: and after Death, to that Life and Happiness, which in their State of Innocence was promised to them without tasting of Death; which Favour they had forfeited by their Disobedience.","Ta Oyr ain dy chredjal, dy row Tushtey smoo er ny choyrt da Adam jeh’n Chonaant Noa shoh, na ta soit sheese ayns y Choontey giare shoh t’er ny choyrt dooin liorish Moses, as myr te ny s’baghtal er ny hoilshaghey ayns y Tushtal; as shen va er yn Aght shoh:—Er Coontey nyn Arrys creeoil, as nyn Miallys firrinagh ny lurg shen, dy beagh ad reesht goit stiagh ayns Foayr rish Jee: as lurg Baase, dy voghe ad yn Vea as y Vaynrys shen, va giallit daue ayns nyn Stayd dy Neu-loghtynys fegooish blashtyn jeh’n Vaase; yn Foayr cheddin v’ad er choayll liorish nyn Mee-viallys."
"And when we consider, that our first Parents, now become Sinners, stood in need of an Atonement, without which, while under the Displeasure of God, their very Lives must be a Burthen; and it being decreed by God, as it afterwards appeared, that without shedding of Blood there was to be no Remission of Sin; i. e. without the Death of the Sinner, or some one in his Stead: We [8] do therefore conclude, that, at this Time, God did appoint Sacrifices, or Sin-offerings, to make an Atonement for the Soul, and to foreshew the Sacrifice of Jesus Christ, (which we now commemorate) until he should be offered in behalf of them and all their Posterity.","As tra ta shin goaill gys nyn Gree, dy row nyn gied Ayr as Moir, nish jeant nyn Beccee, feme Lhiassaghey ve jeant er nyn son, n’egooish choud as v’ad fo Jymmoose Yee, beign da eer nyn Mioys hene ve ny Errey daue; as son wheesh as dy row eh sarit liorish Jee, myr ve ny lurg shen er ny hoilshaghey, Fegooish Deayrtey foalley nagh row Leih Peccah edyr dy ve; ta shen, fegooish Baase [8] y Pheccagh, ny Baase Fer ennnagh er e hon: Ta shin er-y-fa shen goaill son shickyrys dy nee, ec y Traa shoh, doardee Jee Ourallyn ny Chebballyn peccah, dy yannoo Lhiassaghey son yn Annym, dy chowraghey yn Oural veagh jeant jeh Yeesey Creest (ta shin nish freayll Cooinaghtyn jeh) derrey veagh eh er ny hebbal ass y lieh ocsyn as ooilley nyn Sheeloghe."
"And this appears from what Follows in the next Chapter of Genesis, where we find Abel, by Faith, (that is, believing and depending upon this Ordinance of God, for the Remission of Sins, until the promised Redeemer should come; we find him) offering a Sacrifice which was acceptable to God, that is, a Sin-offering, which his Brother not doing, was rejected.","As ta shoh er ny akin liorish ny ta scruit ayns y chiarroo Chabdil jeh Lioar Genesis, raad ta shin feddyn Abel liorish Credjue (ta shen dy ghra, credjal as treishteil ayns yn Oardaghey shoh dy Yee, son Leih Peccaghyn, derrey harragh yn Fer-kionnee va giallit; ta shin feddyn eh) chebbal Oural taitnyssagh da Jee, ta shen, Oural-Peccah, son gyn jannoo shoh va e Vraar er ny gheyrey."
"But here take notice and remember, that these Sacrifices could not take away Sin, but only through Obedience to the Ordinance of God, and through Faith in the promised Seed.","Agh ayns shoh gow tastey as cooinee, nagh voddagh ny Ourallyn shoh goaill ersooyl Peccah, agh ynrycan trooid Biallys gys Oardaghey Yee, as trooid Credjue ayns y Sluight va giallit."
"They were indeed very instructive and proper to lead Sinners to Repentance, and Amendment of Life, when they saw, that their Sins could not be forgiven, but by the Death of an innocent Creature, [9] bleeding and dying before their Eyes, to make an Atonement for their Sin.","V’ad dy jarroo Ynsaghey feer chooie dy leeideil Peccee gys Arrys as Lhiassaghey Bea, tra honnick ad, nagh voddagh nyn Beccaghyn v’er nyn leih, agh liorish Baase y Chretoor gyn-loght va’n uill dy lhiggey ass, as [9] goll dy baase kiongoyrt rish nyn Sooillyn, dy yannoo Lhiassaghey son nyn Beccah."
"And as all good Men, before the Coming of Christ, did most religiously keep up the Remembrance of the promised Seed, and obtained the Pardon of their Sins, and Acceptance with God, upon offering Sacrifices through Faith in a Redeemer which was to come;—So all Christians, since the Coming of that Redeemer, are obliged, as they hope for Pardon, and Favour from God, to keep up the Remembrance of God’s great Mercy, in sending us a Redeemer, and of what that Redeemer has done to save us; and this in the Manner which He himself hath ordained.","As myr shen dy chooilley Ghooinney mie, roish my daink Creest, dy feer chrauee freayll seose Cooinaghtyn jeh’n Sluight v’er ny ghialdyn, as dy dooar ad Leih son nyn Beccaghyn, as Soiaghey jeant jeu liorish Jee, liorish chebbal Ourallyn trooid Credjue ayns Fer-kionnee va ry-heet;—Myr shen, neayr as haink y Fer-kionnee cheddin, ta dy chooilley Chreestee kianlt, myr t’ad jerkal rish Pardoon as Foayr veih Jee, dy chummal seose Cooinaghtyn jeh Myghin vooar Yee ayns coyrt hooin Fer-kionnee, as jeh ny ta’n Fer-kionnee shen er n’yannoo dy hauail shin; as shoh er yn aght t’eh hene er n’oardrail."
"Now that you may be more sensible of, and thankful to God for, this his infinite Loving-kindness, and that you may be fully convinced of the Necessity and Blessing of a Redeemer, you ought to know and consider, “that our Saviour and Redeemer came not, until Man had been tried in all Conditions, In a State of Innocence,—Under the Government of his own Reason,—and Under the Law given by Moses:—All which Methods of [10] Providence, thro’ the perverse Will of Man, had been rendered ineffectual for the Amendment of the World Notwithstanding which, such was the Goodness of God, that He sent, after all, his only beloved Son, to take our Nature upon him, and to assure Mankind of the tender Love which he had for his poor Creatures who were ruining themselves, without perceiving the Danger they were in.","Nish dy vod Tushtey share y ve ayd’s jeh, as oo ny s’booisal da Jee son, shoh e Chenjallys ghraihagh erskyn-earroo, as dy vod Credjue, s’troshey y ve ayd jeh nyn Ymmyrch as Bannaght yn Er-kionnee, lhisagh oo toiggal as dy dowin smooinaghtyn, nagh daink nyn Saualtagh as nyn Ver-kionnee, derrey va Dooinney er ny phrowal ayns dy chooilley Stayd-bea,—Ayns Stayd dy Neu-loghtynys,—Fo Reill yn Resoon Echey hene,—As Fo yn Leigh v’er ny Choyrt liorish [10] Moses:—Ooilley ny Saaseyn cheddin jeh Ard-chiarail Yee, trooid Aigney vee-reiltagh Dooinney haink dy ve neu-vreeoil dy lhiassaghey yn Seihll.—Ny-yeih lheid shen va Mieys Yee, lurg ooilley dy dug eh e Vac ynrycan ennoil, dy ghoaill y Dooghys ainyn er, as dy chur Shickyrys da Sheelnaue jeh e Ghraih veiygh da e Chretooryn boghtey, va dy chur naardey ad hene, fegooish Ennaghtyn jeh’n Dangeyr v’ad ayn."
"This was the Promised Seed!—Promised to Adam, as He that should break the Serpent’s Head, or Power of the Devil:—Promised to Abraham, as He in whom all the Nations of the Earth should be blessed:—Promised to the People of Israel, as that Prophet whom they should hear and obey at their Peril:—Lastly, promised to David, as one whose Kingdom should have no End, And indeed it was with this Promise that God supported the Spirits of all that feared him, and were in Fear for themselves, until the Fulness of the Time for his Appearance should come.","Shoh va’n Sluight giallit!—Giallit da Adam, myr Fer yinnagh broo Kione yn Ard-nieu, ny Pooar y Drogh-spyrryd:—Giallit da Abraham, myr Eshyn ayn veagh ooilley Ashoonyn ny Hooirey er nyn mannaghey:—Giallit da Pobble Israel, myr y Phadeyr shen beign daue clashtyn rish as ve biallagh da er Gaue anmey:—Er-jerrey ooilley, giallit da David, myr Eshyn, er e Reeriaght nagh beagh Jerrey erbee, As dy jarroo she lesh y Gialdyn shoh ren Jee cummal seose ny Creeaghyn ocsyn ooilley va goaill aggle roishyn as v’ayns Aggle er nyn son hene, derrey harragh yn slane Traa mygeayrt dasyn dy hoilshaghey eh-hene da’n Theihll."
,
"And now this Promised Redeemer being come, He first shewed by his own Example, [11] recorded in the Gospel, how Men must live, so as to please God.—And the Law of Nature, as well as the Law of Moses, having thro’ Sin been much obscured and perverted, he explained them, and gave us such other Laws and Rules, as were absolutely necessary to mend our Nature,—to restore us to the Image of God,—to keep us from Backsliding, and—to fit us for Heaven and Happiness.","As nish dy vel y Fer-kionnee Giallit er jeet, Hoilshee eh hoshiaght liorish y Sampleyr echey [11] hene, ta scruit ayns y Tushtal, kys lhisagh Deiney gymmyrkey nyn Mea dy ve taitnyssagh da Jee.—As myr va Leigh Dooghys chammah as Leigh Voses, dy mooar er ny gholley as er ny chassey trooid Peccah, hoilshee eshyn y Bun oc, as hug eh dooin lheid ny Leighyn as Saraghyn elley shen, as va slane ymmyrchagh dy lhiassaghey nyn Ghooghys,—dy hyndaa shin reesht gys Caslys Yee,—dy reayll shin veih skirraghtyn, as—dy yannoo shin cooie son Niau as Maynrys."
"And because in the Decrees of God, as was before observed, without shedding of Blood there could be no Remission of Sin; and it being impossible that the Blood or Life of any other Creature, or of any mortal Man, could take away the Guilt and Punishment due to Sin;—our gracious God, both to give to Mankind the greatest Token of his Love, and at the fame time, to shew how great his Hatred to Sin is, by the Greatness of the Punishment it required, He sent his own Son to be the Propitiation for our Sins; that is, to make Satisfaction to his Justice, and to take off the just Displeasure which he had declared against Sinners.","As er-yn-oyr liorish Oardaghyn Yee, myr dooyrt shin roïe, fegooish Deayrtey foalley nagh row Leih Peccah dy ve ayn; as myr ve neu-phossible dy voddagh Fuill ny Bioys Cretoor erbee elley, ny Fuill Dooinney erbee marvaanagh, goaill ersooyl Loght as Kerraghey Peccah;—nyn Yee graysoil, chammah dy chur da Sheelnaue yn Cowrey smoo jeh e Ghraih, as ec y Traa cheddin, dy hoilshaghey cre wheesh as va e Ghwoaie er Peccah, liorish Mooadys yn Cherraghey va soit er, Hug eh e Vac hene dy ve ny Oural-shee son ny Peccaghyn ain; ta shen, dy yannoo Lhiassaghey da e Chairys, as dy veiyghey e Yymmoose cairal v’eh er n’ockley-magh noi Peccee."
,
"And his Son (blessed for [12] ever be his Goodness!) knowing how dreadfully sad the Condition would be of all such, who should live and die under the Displeasure of God, and what unconceivable Happiness they would deprive themselves of; He therefore, moved with Compassion for so great a Calamity, undertook to obtain their Pardon.","As e Vac (bannit dy bragh [12] dy row e Vieys!) toiggal cre cha atchimagh treih veagh y Stayd ocsyn ooilley, yinnagh beaghey as baase y gheddyn fo Jymmoose Yee, as cre’n Vaynrys erskyn Tushtey chaillagh ad liorish; shen-y-fa ayns e Ard-erreeish son lheid y Treihys doogh, ghow eh er dy chosney Pardoon daue."
"In order to this, he cloathed himself with our Flesh, that, as Man, He might suffer what our Sins had deserved, and, as He was the Son of God, he might make a full and suitable Satisfaction to the Divine Justice, offering himself a Sacrifice for the Sins of the whole World: And for the Joy of delivering so many Millions of Souls from Misery, he endured the Death of the Cross, and all the Afflictions leading to it, which we find recorded in the Gospel.","Dy chooilleeney shoh, ghow eh er hene yn Eill ainyn, dy voddagh Eh, myr Dooinney, surranse shen va ny Peccaghyn ainyn er hoilchin; as myr v’eh Mac Yee, dy voddagh eh Lhiassaghey slane as cooie y yannoo da’n Chairys Flaunyssagh, chebbal eh hene ny Oural son Peccaghyn y Theihll ooilley: As er Graih yn Voggey dy livrey whilleen milley Annym veih Treihys, duillee eh Baase ny Croshey, as ooilley yn Seaghyn ta bentyn rish, myr ta shin lhaih ayns y Sushtal."
"And by this worthy Sacrifice, all Mankind are restored to the Favour of God, and put into a Way and State of Salvation; God having for his Son’s sake promised to pardon all such as shall repent, and forsake their Sins, and bring forth Fruits meet for Repentance;—As also to give his Holy Spirit to all [13] such as shall sincerely desire him;—And lastly, to make them eternally happy after Death, if during this short State of Trial, which is designed to amend our corrupt and disordered Nature, they endeavoured to observe the Rules which he has given them, and which are absolutely necessary to make them capable of Heaven and Happiness.","As liorish yn Oural ooasle shoh, ta ooilley Sheelnaue reesht goit stiagh ayns Foayr rish Jee, as er nyn goyrt ayns Raad as Stayd dy Haualtys; Myr va Jee er Graih e Vac er n’ghialdyn dy leih dauesyn ooilley ghoys Arrys, as hreigys nyn Beccaghyn, as ymmyrkys magh Mess cooie dy Arrys;—As myrgeddin dy choyrt e Spyrryd [13] Casherick dauesyn ooilsey nee dy creeoil Eshyn y yeearree;—As ec y jerrey, dy chur daue Maynrys dy bragh farraghtyn lurg y Vaase, my she shen ayns y Stayd ghiare shoh dy Phrowal, ta kiarit dy lhiassaghey nyn Ghooghys neu-ghlen as meereiltagh, ren ad y chooid share dy chooilleeney ny Saraghyn t’eh er hoiaghey roue, as ny Saraghyn cheddin ta er dy chooilley Chor ymmyrchagh dy yannoo ad cooie son Niau as Maynrys."
,
"Stop here awhile,—and adore the infinite Goodness of God, who did not overlook lost Mankind, but sent his Son to redeem us.","Nish smooinee dy dowin er shoh son tammylt,—as cur Ooashley da Mieys erskyn-earroo Yee, nagh ren beg y hoiaghey jeh Sheelnaue caillit, agh hug e Vac dy livrey shin veih Loght Peccah."
,
"He might in strict Justice have required Men to have lived up to the Law of Nature and Reason given in the State of Innocence, on pain of being for ever separated from his Presence: But instead of that, he has been graciously pleased to accept of our sincere, tho’ imperfect, Obedience, and of our sincere Repentance, when we have done amiss, and return to our Duty.","Ayns y lhome Chairys oddagh eh v’er harey Deiney dy v’er leeideil nyn Mea corrym rish Leigh nyn Ghooghys as y Resoon va oc ‘sy Stayd dy Onid, fo Briwnys dy ve scarrit veih e Eanish son dy bragh: Agh ayns Ynnyd shen, S’cooidsave lesh dy graysoil dy yannoo Soiaghey jeh nyn Miallys ynrick ga neu-feeu, as jeh nyn Arrys firrinagh, tra ta shin er n’yannoo dy aggairagh, as chyndaa reesht gys nyn Gurrym."
,
Consider this seriously: And you cannot but express your Thankfulness after some such manner as this. ,Gow uss shoh dy dowin gys dty Chree:—As eisht cha vod oo agh soillhaghey dty Vooise: ayns lheid ny Goan shoh. 
[14],[14]
The PRAYER.,YN PHADJER.
,
"BLESSED be God for ever for this Instance of his Love to fallen Mankind, in committing the miserable Case of his unhappy Creatures to no less a Person than his own Son!—We are not worthy of all the Mercies which thou hast shewed thy Servants—Grant, O God, that this wonderful Love may not be lost upon me: But that, knowing my sad Condition by Nature, I may be truly convinced of the Necessity and Blessing of a Redeemer; and that I may, with a Heart full of Gratitude, join with thy Church in giving our devoutest Thanks to Thee, and in keeping up the Remembrance of what thy blessed Son has done and suffered for us; to whom, with Thee and the Holy Ghost, be all Honour, Praise, and Thanksgiving, forever and ever. Amen.","BANNIT dy row Jee er son dy bragh son y Cowrey shoh jeh e Ghraih da Sheelnaue peccoil, ayns gyn coyrt Stayd hrimshagh e Chretooryn treih fo Kiarail Persoon veg sloo na e Vac hene!—Cha vel shinyn feeu jeh ooilley ny Myghinyn t’ou er hoilshaghey da dty Harvaantyn.—Giall, O Yee, nagh bee yn Ghraih yindyssagh shoh caillit orrym’s. Agh, toiggal my Stayd hreih liorish Dooghys, dy vod slane Tushtey ve aym jeh nyn Veme as Bannaght yn Er-kionnee; as dy voddym lesh Cree lane dy Vooise, goll lesh dty Agglish ayns coyrt dhyt nyn Mooise smoo crauee, as ayns cummal seose Cooinaghtyn jeh ny ta dty Vac er n’yannoo as er hurranse er nyn son; huggeysyn, Mayrt’s as y Spyrryd Noo, dy row dy chooilley Ooashley, Moylley, as Toyrt-booise, son dy bragh as dy bragh. Amen."
,
SECT. II.,CAB. II.
The End and Institution of the ,Oyr as Oardagh Shibber y Chiarn.
Lord’s Supper.,
"ST. Paul concludes his first Epistle to the Corinthians, with this remarkable Direction; —If any Man [15] love not the Lord Jesus, let him be Anathema Maranatha; that is,—Let him be separated from your Communion, as one under the Displeasure of God, and, without a timely Repentance, in no Possibility of being saved;—Nothing being more grievous in the Sight of God, than for a Sinner to slight the greatest Instance of his Mercy that was ever offered to Man, as well as the only Means of his Salvation.","TA’N Noo Paul cur jerrey er y chied Screeuyn echey gys ny Corinthianee, lesh y Sarey shoh ta feeu nyn Dastey;[15]—My ta My ta Dooinney erbee nagh nhynney lesh y Chiarn Yeesey, lhig da ve Anathema Maranatha; ta shen,—Lhig da ve scarrit veih’n Cheshaght eu, myr Fer fo Jymmoose Yee, as, fegooish Arrys leah nagh vod er Aght erbee ve er ny hauail;—Er-yn-oyr nagh vel Nhee erbee ny s’eajee ayns Shilley Yee, na son Peccagh dy hoiaghey beg jeh’n Cowrey smoo shoh jeh e Vyghin va rieau chebbit da Dooinney, chammah as yn ynrycan Saase jeh’n Taualtys echey."
