Manx,English
"as foays mooar Yee, dy vel eh mie dy bragh.","and the great quality of God, that he is good for ever. "
"Gys gloyr Yee hene v’ad ooilley er nyn oardagh, ","To the glory of God himself they were all ordered,"
"as ass nyn booar, cha row ad dy aase moyrnagh. [76]",and they weren’t to grow proud of their power.
"Cha row ny seihill fo Niau foast er nyn yannoo, ","The worlds under Heaven were not yet made,"
"as seose ’syn aer meiht, cha row’n Ooir ny shassoo, [77]","and the Earth was not yet fixed, poised up in the air,"
"agh raad ta’n Ooir nish chemmit lesh y cheayn,","but where the Earth is now hemmed in by the sea,"
"raad ta roltageyn, Eayst chaghlaa, as Grian,  [78]","where there are stars, a changing Moon, and a Sun,"
"va eaynagh ghowin, gyn grunt, gyn oirr, gyn kione, ","there was a deep chasm with no bottom, edge, or end,"
"gyn doaie, gyn cummey, dorraghey as feayn.","without form, without shape, dark and vast. "
"Cha row ayn Har ny Heear, ny Twoaie, ny Jiass,  [79]","There was no East or West, or North, or South,"
"chamoo v’ayn heese ny heose, ny hoal ny wass, ","neither was there down or up, or far or near,"
"imbagh ny traa, [ny] daahghyn, doo ny bane,  ","season or time, or colours, black or white,"
foast lesh ny rassyn oc shoh ooilley lane.,yet with the seeds of these all full. 
"Aer, ooir, aile, ushtey, nyn giare kione-y-cheilley,  [80]","Air, earth, fire, water, all four mixed together,"
"as un oie eajee, ghoo, reill harrish ooilley. ","and one awful black night, reigned throughout."
"Agh Niau nish jeant marish ny cummaltee,  ","But Heaven now made, together with the inhabitants,"
"rere pooar ooill’-niartal as ard-chreenaght Yee,","according to God’s almighty power and supreme wisdom,"
"er laa dy row —son laghyn ta ayns Niau,   [81]","on a day —for there are days in Heaven,"
dy howse yn bra beayn nagh vod traa y cheau;  ,"to measure eternity, that cannot spend time;"
"as ga te gyn oie, foast t’ayn lheid y traa   [82]","and although it is without night, still there is such time"
as ta shirveish dy scarrey laa veih laa—,as serves to divide day from day—
"er lheid y laa, slane sheshaght-chaggee Niau,","on such a day as this, Heaven’s whole army,"
"freggyrt gys sumney reeoil chie ’r cur daue,    [83]","answering to a royal summons that was given them,"
"ooilley dy heet kiongoyrt rish stoyl y ghloyr, ","all to come into the presence of the throne of glory,"
"dy chlashtyn aigney ’s leigh y chrootagh mooar, ","to hear the will and law of the great creator,"
"haink fod’ as gerrit veih dagh boayn jeh’n reill,  [84]","came far and near from each quarter of the realm,"
zeraphim gial as Pooaryn ard leeideil     [85],bright seraphim and high Powers leading
ny troopyn sollys; kiaull ving flaunyssagh  [86],the gleaming troops; sweet heavenly music 
lhieen yn aer vannee myr v’ad getlagh stiagh  [87],filled the blessed sky as they were flying into
"’sy valley wooar shen, trooid ny dorsyn ard,    [88]","that great city, through the high gates,"
maynrys as boggey lhieeney ayns dagh straid.,happiness and joy abounding in every street.
"Yn Ooilley-niartal soie er stoyl-reeoil,  [89]","The Almighty sitting on a throne,"
"ard ’skyn dagh yrjid, ’s erskyn towse gloyroil: ","high above every height, and glorious beyond measure;"
"ainlyn, ard-ainlyn, as slane ooashley Niau,     [90]","angels, archangels, and the entire majesty of Heaven,"
"myr whoilleen grian, nyn shassoo er dagh laue [91]","like so many suns, standing all around"
jeh’n phooar ghloyroil: crownyn as slattyn-reill,the glorious power; crowns and sceptres 
"hilg ad er laare, ayns cowrey jeh nyn ngeill    [92]","they threw to the floor, as a sign of their respect"
as biallys; goaill-rish dy nee veih Jee ,and obedience; acknowledging that it was from God
"va oc nyn mea, nyn maynrys, as dagh nhee.  ","that they had their lives, their joy, and every thing."
"As va Mac Yee ayns oghrish ’ayr ny hoie,  [93]","And the Son of God was seated in the bosom of his father,"
gys nish freilt follit veih ny flaunyssee. ,until now kept hidden from the celestial beings.
Cherubin sollys er dagh lhiattee va ,Gleaming cherubs on each side were
"gial myr y ghrian ain, ard ec y vunlaa.","bright like our sun, high at noon."
"Gloyr, pooar as reill va grainnit er e ghruaie,   [94]","Glory, power and dominion was etched on his face,"
"as veih e hooillyn graih, myr stroo, ren roie, ","and from his eyes ran love, like a stream,  "
lesh va Flaunys villish er ny lhieeney;   ö (–1),with which sweet Heaven was filled;
dagh ainle streeu quoi smoo [jeu] yinnagh cooilleeney ý [95] ,every angel striving for which of them would accomplish most
ayns graih sp’rydoil as aigney mie da ’cheilley.  ø [96] ,"in spiritual love, and good will to one another."
"Shoh’n aght va Flaunys myr un cheayn dy ghraih,  ","In this way Heaven was like one sea of love,"
"as jeh dagh eunys nagh vel, nagh jean, traih.  [97]","and of every delight, that does not, will not, ebb away."
"Eisht hug y crootagh niartal magh coraa,   ","Then the mighty creator gave voice,"
lesh ren Niau veih yn undin ooilley craa.     [98] ,with which Heaven shook from the foundations:
,
[JEE],[GOD]
"‘Un vac ennoil,’ dooyrt eshyn roo, ‘ta aym,   [99]","‘One most dear son,’ said he to them, ‘I have,"
"jiu er ny gheddyn, as eh shynney lhiam; ","begotten today, and he is the one I love;"
"my yalloo hene, my chreenaght, as my phooar, ","my own image, my wisdom, and my power,"
"my Ghoo smoo niartal, ’s corrym rhym ayns gloyr.","my most mighty Word, and equal to me in glory."
"Mish Jee, as mee ta cur y leigh shoh diu, ","I am God, and it is I who give this law to you,"
mychione my vac ta shiu dy akin jiu.     [100],concerning my son that you see today.
"Echey ta pooar voyms harrish ooilley Niau,  ","He has authority from me over all of Heaven,"
as dagh nhee ta livreit stiagh ayns e laue. ,and everything is delivered into his hand.
"Niau as ny t’ayn ta echey fo e reill,",Heaven and what is in it he has under his command:
da ta mee goardagh shiuish neesht dy chur geill.  [101],to him I am ordering you also to give allegiance.
"Ayns Niau, na mish, cha vel unnane ny smoo, ","In Heaven, no one is greater than I,"
"as liorym pene, kiongoyrt riuish, ta mee loo:   ","and by myself, in your presence, I swear: "
dy chooilley ghlioon nagh grom ayns ammys da ,every knee that will not bend in homage to him
"vees tilgit magh ass m’ enish son dy bra,","shall be thrown out of my presence for ever,"
"as veih my vaynrys, veih my ghrayse as foayr,","and from my joy, from my grace and favour,"
veih ooilley’n cairys t’echey ayns my ghloyr.’   [102],from all the rights he has in my glory.’ 
,
"Shoh loayr y Jee, as ooilley cheayll e ghoo;   ","Thus spoke God, and all heard his word;"
lesh skell e ghloyr va ’eddin follit voue. ,with the ray of his glory his face was hidden from them.
"Ny ainlyn, myr dy beagh ad booiagh lesh,   [103]","The angels, as though they were content with it,"
"chrom sheese nyn gione, as ghlioon ayns biallys.  [104]","bent down their heads, and knelt in obedience."
"([Agh] “myr dy beagh ad booiagh”, ta mee gra, ","(But “as though they were content”, I say,"
"son ayrn cha row, myr hee shiu ayns y traa.) ","for a part were not, as you shall see in time.)"
Eisht hrog yn eanish wooar ayns un choraa:  [105],Then the great assembly arose and said in one voice:
"“Gloyr, booise, as moylley gys mac Yee dy bra!","“Glory, thanks, and praise to the Son of God for ever!"
Eh ayns e ghloyr ta shin er akin jiu;     [106],Him in his glory we have seen today;
"t’eh Jee dy bra, as v’eh Jee er dy rieau.”","he is God for ever, and was ever God.”"
Eisht buird va coodit lesh gien flaunyssagh [107]  ,"Then tables were covered with a heavenly feast,"
"ayns plaaseyn reeoil, troggit mirrillagh,  [108]","in royal palaces, miraculously set up, "
raad ren ny h-ainlyn ad hene ’yannoo magh,"where the Angels got themselves their fill,"
"lesh bee ta freayll yn eeder bio dy bragh,","with food that keeps the eater alive forever,  [109]"
claareenyn airh soit magh lesh dymonyn  [110],gold plates decorated with diamonds;
"jeh pearlyn sollys jeant ny cabbanyn,   [111]","the cups, made of brilliant pearls, "
"mess Billey’n Vea craait neose dy palchey ’r laare, [112]","fruit of the Tree of Life shaken down plentifully to the ground,"
as manna millish chummyt mysh dagh claare. [113],and sweet manna around about each dish.
"Cha mirrillagh va’n manna shen ayns bree, ","How miraculous that manna was in efficacy,"
dy row eh freggyrt foays as blass dagh bee! ,that it corresponded to the character and flavour of every type of food.
Dagh cabban berchagh v’er ny chummal lane ,Each opulent cup was kept full
"lesh ushtey’n vea veayn, geill veih ard farrane, ","with the water of everlasting life, springing from a high fountain,"
as lheid as ta ’skyn earroo share na’n feeyn ,and such as is infinitely better than the most sumptuous wine
s’berchee ta cheet veih cheer dy vel fo’n ghrian.  [114],that comes from any land under the sun.
"Cha palchey shen va’n laue va deayrtey veih, ","So abundant was the hand which was dispensing it,"
"ren ooilley gee, ooilley nyn glaare y reih. ","that all ate, all chose their dishes.  [115]"
"Cre cha rooymoil ’s ta cooyrtyn y Jee mooar,   [116]","How spacious are the courts of the great God,"
dy vow’n thooa ooilley ayndoo rooym dy liooar!,that all the community will find in them enough room!
"Ny ainlyn, myr shoh cuirt gys boayrd nyn ree, ","The Angels, thus, invited to their King’s table,"
"ayns aght sp’rydoil ren ooilley giu as gee ,  ","in a spiritual way all drank and ate,"
jeh lheid y yen shen as ta dooghyssagh  ,of a feast such as is proper
"da ainlyn sollys, sp’rydyn bio dy bragh.","for brilliant Angels, immortal spirits. "
"Ny buird nish troggit, jirree’n cheshaght seose,  [117]","The tables now lifted away, the company rose,"
dy crauee streeu quoi s’creeoil yinnagh booise.  [118],piously competing to see who would give the heartiest thanks.
"Lesh mooads kiaull, eisht, lhieen bingys ooilley’n aer, ","With abundant music, then, harmony filled all the air, "
dy schleioil cloit er greinyn berchagh airh.    [119],skilfully played on splendid gold instruments.
,
"Yn fastyr er, —son fastyr t’ec dagh laa,","Now comes the evening, —for every day has an evening "
"as moghree neesht ayns shen, er graih caghlaa,  [120]","and a morning also there, for the sake of variety,"
cha nee son feme— tra scoill ny flaunyssee  [121],not for need— when the Heavenly ones dispersed
"er feai ny Maynrys, trooid magh reeriaght Yee. ","all over the realm of Joy, throughout God’s kingdom."
"Garaghyn messal, magh’ryn foddey rea,      [122]","Fruitful gardens, far level fields,"
"lheeantyn glass bra, ushtit veih geill y vea ","evergreen meadows, watered from the spring of life "
"lesh strooyn millish, dy bragh palchey roie,","with sweet streams, for ever running plentifully,"
cur aase as bea veayn da dy chooilley nhee.,giving growth and eternal life to everything.
"Plaaseyn princeoil, glistral myr whoilleen grian, [123]","Princely palaces, glistening like so many suns,"
as eunys freggyrt gys dy chooilley vian; ,and delight answering to every desire;
"va’n thooill lesh fakin er ny yannoo magh, ","the eye had its fill of seeing,"
yn chleaysh lesh clashtyn bingys eunyssagh;,the ear of hearing delightful harmony;
"ooylyn millish, as spiceyn costal gaase  ö  [124] ","sweet apples, and precious spices growing"
"dagh boayl, as crouw ny bangan cha row faase, ý ","everywhere, and no bush or branch was weak,"
"’s nhee cha row baggyrt aslaynt, sneih, ny baase. ø  [125] ","nothing foreboded ill-health, harm, or death."
"Yn fastyr anmagh lhieeney arroo’n oie,  [126]",The late evening supplying [the function of] night for them
—lheid yn oie ’s t’ayn— ashoon ny flaunyssee   [127],"—such night as is there—, the race of celestial beings"
"ayns nyn gabbaneyn, huitt y slane ashoon   [128]","in their pavilions, the whole race fell"
"gys fea sp’rydoil, myr veagh saveenagh kiune;   [129]","to a divine rest, as if slumbering peacefully;"
"ooill’ agh y cheshaght wooar, va ayns nyn draa,   [130]","all but the great regiment, who were, in their turn,"
"mysh stoyl ny gloyr, bingys Alleluja.    [131]","around the throne of glory, singing Hallelujah."
,
"Foast, un ard-ainle va mooar ayns foayr rish Jee ","Still, one archangel who was greatly in God’s favour"
"’s reill harrish millaghyn dy flaunyssee,","and ruled over myriads of celestial beings,"
"cummaltee’n Twoaie wooar, fod’ veih cooyrt ny gloyr, [132]","inhabitants of the great North, far from the court of glory,"
"leeideil e hroopyn gial ayns earroo mooar, ","leading his shining troops in great number,"
ren shassoo seose ’syn eanish hollys va,stood up in the shining company that was
"kiongoyrt rish Jee, geeck ammys injil da.   ","before God, paying humble reverence to him."
"V’eh’n chooid sloo corrym rish yn ainle by-yilley,  [133]","He was at least equal to the brightest angel,"
"as veagh eh foast, ’be hug eh mian da ooilley.  [134]","and he would be still, except that he lusted to have everything. "
"Ass mooads e phooar daase eh shoh moyrnagh, troo  ","He grew proud from the extent of his power, envious"
mysh yn ard-reill v’ayns laueyn yn fer-croo;     [135],"of the dominion that was in the hands of the creator,"
"as mysh e vac shen, va nish jeant ny chione      [136]","and of that son of his, who was now made chief "
"harrish ny ainlyn, as dagh dooghys v’ayn;","over the angels, over every kind that existed."
"E chree daase mooar, as ren eh goaill ayns laue","His heart swelled, and he ventured "
dy row eh hene feeu dy reill ooilley Niau. ,that he himself was worthy to rule all Heaven.
Cre’n ennym v’er shoh choud as v’eh ayns foayr  [137],What name he had while he was in favour 
"rish Jee, cha ’s aym; —gyn dooyt ve ennym mooar—","with God, I do not know; —surely it was a great name—"
"agh nish te dollit magh ass lioar y vea,    [138]","but now it is expunged from the book of life, "
"as goll fo ennym agglagh, noidagh t’eh,   [139]","and he goes by a fearsome, hateful, name:"
"myr Satan, Moddey, Dragon Mooar, as Jouyl,","as Satan, Dog, Great Dragon, and Devil,"
"[myr] Ard-nieu, Lyon, Noid, as Dunver dowil:     [140]","as Snake, Lion, Fiend, and Cruel Murderer:"
oltooanyn broghe! Agh t’ad dy chur dooin fys ,foul rebukes! But they put us in mind of
cre’n aigney feayr as noidagh ta ayn nish. ,what a cold and hostile will there is now in him.
"Tra va ny ainlyn elley ayns mooads shee,","While the other angels were in the greatest peace, "
"gyn loght, as bingys moylley ’s booise gys Jee,    [141]","innocent, and singing praise and thanks to God,"
va Satan dooisht; dowin tilgey ayns e chleeau,Satan was awake; casting deep in his breast
kys yioghe eh’n cheshaght-chaggee er e hieu    [142],how he might get the army on his side 
dy irree magh noi’n Ooilley-niartal Jee ,to revolt against Almighty God
"as pluckey neose eh veih dy ve ny ree,     [143]","and drag him down from being king,"
"yn mac y hilgey magh veih’n eiraght wooar, ","to throw out the Son from his great inheritance,"
’s eh hene y hoiagh seose er stoyl y phooar.,and set himself up on the seat of power.
"Chrom eh gys ainle jeu va mygeayrt-y-mysh,    [144]","He bowed to one of the angels who were around him,"
as ren eh ’roon myr shoh y lhiggey rish:,and thus vented his malice:
,
[SATAN] [145],[SATAN]
"‘O vraar gloyroil, kys oddys uss v’ec fea ","‘O glorious brother, how can you rest "
fo errey’n leigh dowil chie er cur dooin jea?   [146],under the burden of the cruel law given to us yesterday?
Sheein! va veih’n toshiaght ec slane aigney seyr  [147],We! who had from the beginning had complete free will
"marish Jee hene, co-eiraghyn ayns gloyr; ","along with God himself, co-heirs in glory;"
"shin nish y whing y cheau, ’s ve biallagh    [148]","that we should now bear the yoke, and be obedient "
dasyn nagh row agh sheshey flaunyssagh!  [149],to him who was merely a celestial partner!
"Myr nagh by-liooar dooin ammys ’eeck da Jee, ","As if it were not enough for us to pay reverence to God,"
"as gyn e vac ve harrin soit myr ree, ","without his son being set over us as king,"
"ve kianlt nyn nglioon y chromm’ ayns ooashley da, ö [150] ","being bound to bend our knees in worship of him,"
"dagh keayrt vees ’ennym mooar er ny imraa,  ý [151] ","every time his great name is mentioned, "
