Manx,English
"Lhig nearey foshlit cheet nyn guail,","Shall blush and rage, to see that God"
Doaltattym gys yn oaie.,protects me from them all.
PSALM 9,PSALM 9
(After Nelson’s Victory.),
"She dhyts, O Hiarn, ta shin coyrt booise, ","1 To celebrate thy Praise, O Lord,"
Lesh creeaghyn feer gherjoil;,I will my Heart prepare;
"As lhig dooin ginsh da dagh unnane,","To all the list’ning World thy Works,"
Dy vel oo dooin foayroil.,"thy wond’rous Works, declare."
"Dy smooinaght er da m’ annym te, ",2 The Thought of them shall to my Soul
’N ard-voggey smoo erbee;,exalted Pleasure bring;
"Dy ghoaill arrane gys dt’ ennym, Hiarn, ","Whilst to thy Name, O thou most High,"
Lesh moylley ayns my chree.,triumphant Praise I sing.
"Nyn noidyn, cur oo orroo chea, ",3 Thou mad’st my haughty Foes to turn
Roish dt’ eulys as toyrt-mow;,their Backs in shameful Flight:
"Chyndaa nyn ghreeym as cosney roue,","Struck with thy Presence, down they fell;"
Veih’n phooar ro niartal daue.,they perish’d at thy Sight.
"Nyn noidyn va lesh ard-sturneish, ","4 Against insulting Foes advanc’d,"
Baggyrt dy ghoaill nyn mioys;,thou didst my Cause maintain;
"Marish ny floddyn oc er jeet, ","My Right asserting from thy Throne,"
Er ’cheayn gyn foaynoo foays.,where Truth and Justice reign.
"Jee ta kinjagh er nyn lieh,  1905 lheu",9 God is a constant sure Defence
Dy reayll shin veih danjeyr;,against oppressing Rage;
"Deayrtey e chooney kinjagh hooin, ","As Troubles rise, his needful Aids"
Dy reayll shin veih aggair.,in our Behalf engage.
"Er y fa shen cur booise da’n Chiarn, ","11 Sing Praises therefore to the Lord,"
Son mooads e obbraghyn;,from Sion his Abode;
"As insh-jee magh da ooilley’n seihll, ","Proclaim his Deeds, till all the world"
Nagh vel Jee arragh ayn.,confess no other God.
,
PSALM 12,PSALM 12
(Sins of the Tongue: The Saint’s Hope ),
"Ta craueeaght fajeil, O Hiarn,","1 Since godly Men decay, O Lord,"
Bee uss nyn gooney eisht;,do thou my Cause defend;
"S’goan oddys mayd ayns fer erbee,",For scarce these wretched Times afford
Myr carrey cur nyn dreisht.,one just and Faithful Friend.
"Naboo y chredjal cha vod shin,","2 One Neighbour now can scarce believe,"
Gyn brynnerys ve ayn;,what t’other does impart;
"Cha foalsey as molteyragh t’ad,","With flatt’ring Lips they all deceive,"
Lesh cree doobylt as goan.,and with a double Heart.
"Eh ta foalsey as ny volteyr,","3 But Lips that with Deceit abound,"
Cha vod goaill toshiaght lane;,can never prosper long;
"Chengey vreagagh’s lane brynnerys,",God’s righteous Vengeance will confound
Yiow kerraghey veih’n Chiarn.,the proud blaspheming Tongue.
"T’ad jerkal dy jed ooilley lhieu,","4 In vain those foolish Boasters say,"
Trooid nyn goan foalsey’s keeayll;,“Our Tongues are sure our own;
"Gra, Quoi yiow jin yn varriaght?","“With doubtful Words we’ll still betray,"
Nagh nee lhien hene nyn meill?,“and be controul’d by none
"Agh Jee ta geaishtagh rish boghtyn,","5 For God, who hears the suff’ring Poor,"
As fakin dagh tranlaase; 1905: translaase,"and their Oppression knows,"
"Dy leah ver kemmyrk da e chloan,","Will soon arise, and give them Rest,"
Nee stroie dagh crout as saase.,in spite of all their Foes.
"Goo’n Chiarn dy bragh nee tannaghtyn,"," 6 The Word of God shall still abide,"
As firrinagh ta ’ghoan;,"and void of Falshood be,"
"Myr argid ta shiaght keayrtyn reiht,","As is the Silver sev’n times try’d,"
Nagh vel molteyrys ayn.,from drossy Mixture free.
"Dy chooney lesh e chloan cairal,",7 The Promise of his aiding Grace
E ghialdyn shickyr ta;,shall reach its purpos’d End;
"As nee veih noidys deiney olk,",His Servants from this faithless Race
Fendeil ad son dy brâ.,he ever shall defend.
"Eisht ny mee-chrauee vees feer treih,","8 Then shall the Wicked be perplex’d,"
As deiney mie nee gaase;,nor know which Way to fly;
"Ayns barriaght erskyn ooilley,","When those whom they despis’d and vex’d,"
Nagh row cur geill da grayse.,shall be advanc’d on high.
"Kinjagh raad ta mee-chrauee reill,",
Lesh olk vees ooilley lane;,
"Craueeaght er ny chummal fo,",
As cairys vees fadane.,
,
PSALM 13,PSALM 13
"Caid nee oo mee ’yarrood, O Hiarn,","1 How long wilt thou forget me, Lord?"
My Yee! nee son dy brâ?,must I forever mourn?
"Caid ollys oo dty eddin voym,","How long wilt thou withdraw from me,"
Gyn arragh dy hyndaa?,"Oh, never to return?"
Oh! Caid nee smooinaghtyn anveagh,"2 How long shall anxious Thoughts my Soul,"
Greim dowin ’ghoaill ayns my chree?,and Grief my Heart oppress?
Caid nee my noidyn boggey ’ghoaill?,"How long my Enemies insult,"
As mish gyn fea ny shee?,and I have no Redress?
"Clasht rhym, O Hiarn, as bee foayroil,","3 O, hear! and to my longing Eyes"
Cur hym dty hoilshey dooie:,restore thy wonted Light;
"As shen dy leah, ayns aggle royd","And suddenly, or I shall sleep"
Dy gadlym ayns yn oaie.,in everlasting Night.
"Chyndaa mee, Hiarn, nagh jean ad gra,","4 Restore me, lest they proudly boast"
Cha vel da aash erbee:,’twas their own Strength o’ercame;
"Ny sur uss daue ta shelg my vioys,","Permit not them that vex my Soul,"
Dy chur gys nearey mee.,to triumph in my Shame.
"Hiarn, aynyds ta my slane treishteil;",5 Since I have always plac’d my Trust
Bee uss dou myghinagh:,"beneath thy Mercy’s Wing,"
"My ver oo foayr as sauchys dou,","Thy saving Health will come, and then"
Bee’m booisal son dy brâgh.,my Heart with Joy shall spring;
"Verym ard-voylley dhyt, O Yee,","6 Then shall my Song, with Praise inspir’d,"
Lesh cree as gennalys:,"to thee, my God, ascend,"
"Son cur veih seaghyn dou livrey,","Who, to thy Servant in Distress,"
Ayns graih as kenjallys.,such Bounty didst extend.
,
PSALM 21,PSALM 21
"Yn Ree, O Hiarn, nee boggey ’ghoaill,","1 The King, O Lord, with Songs of Praise,"
Ayns mooads dty haualtys:,shall in thy Strength rejoice;
As nee eh lesh arraneyn flaoil 1905 flaoill ,"With thy salvation crown’d, shall raise"
Soilshagh dty ynrickys.,to Heav’n his chearful Voice.
"Aghin e veillyn ver oo da,","2 For thou, whate’er his Lips request,"
Fegooish obbal erbee:,not only dost impart;
"Nee oo myrgeddin ayns y traa,","But hast, with thy Acceptance, blest,"
Coyrt da yeearree e chree.,the Wishes of his Heart.
"Dty vieys as dty chiarail cair,","3 Thy Goodness, and thy tender Care."
Hug oo dasyn rolaue:,have all his Hopes outgone;
"As er e chione attey dy airh,","A Crown of Gold thou mad’st him wear,"
Nee eh dy kinjagh ’cheau.,and sett’dst it firmly on.
"Hir eh orts bea, as hug oo da ","4 He pray’d for Life; and thou, O Lord,"
E phadjer er y hon:,"didst his short Span extend,"
As hug oo da bea liauyr dy brâ ,And graciously to him afford
Nagh beagh dy bragh ec kione.,a Life that ne’er shall end.
,
PSALM 26,PSALM 26
"Jean briwnys mee, O Hiarn my Yee,","1 Judge me, O Lord; for I the Paths"
Gyn loght ta mee er ve:,of Righteousness have trod:
"Er son dy vel my varrant ort,","I cannot fail, who all my Trust"
Cha jean oo mee ’gheyrey.,"repose on Thee, my God."
"Feysht, prow, as ronsee my veeaghyn,","2,3 Search, prove my Heart, whose Innocence"
"Ayns ônid ta my chree,","will shine, the more ’tis try’d;"
"Ta mee er reayll dty annaghyn,","For I have kept thy Grace in View,"
Ayns ynrickys as shee.,and made thy Truth my Guide.
"Cha ghow mee rieau son sheshaghyn,",4 I never for Companions took
Adsyn va olk neu-ghlen:,the Idle or Profane;
"Marish sleih foalsey, nagh vel freayll","No Hypocrite, with all his Arts,"
Ayns cooinaght dt’ annaghyn.,could e’er my Friendship gain.
S’feoh lhiam yn sheshaght dy ghrogh leih,"5 I hate the busy plotting Crew,"
Ta chaglym ayns fardail:,who make distracted Times;
As freayllym veih yn cheshaght oc,"And shun their wicked Company,"
Nagh der da dty Ghoo geill.,as I avoid their Crimes.
Ayns ônid nee’m my laueyn niee;,"6 I’ll wash my Hands in Innocence,"
My chree ayns ônid vees:,"and bring a Heart so pure,"
"As gys dty altar neeyms cheet,","That when thy Altar I approach,"
Dy eeck ayns shen my cheesh.,my Welcome shall secure.
,
PSALM 29,PSALM 29
"Shiuish ard-gheiney ta ayns pooar,","1 Ye Princes that in Might excel,"
Lhieu-jee nyn oural gys y Chiarn:,Your grateful Sacrifice prepare;
"As insh-jee magh jeh mooads e ghloyr,","God’s glorious Actions loudly tell,"
"Va, ta, as vees dy bragh er-mayrn.",His wond’rous Pow’r to all declare.
"Cur-jee da’n Chiarn e ooashley cooie,",2 To His great Name fresh Altars raise;
As ammys crauee cur-jee da:,devoutly due Respect afford;
"O moyll-jee eh lesh creeaghyn dooie,","Him in His holy Temple praise,"
Veih’n traa shoh magh er son dy brâ.,where he’s with solemn State ador’d.
"She eshyn eh, lesh ard-choraa","3 ’Tis he that, with amazing Noise,"
Ta sarey yn Eean[1] dy ve myr t’eh:,the watry Clouds in sunder breaks:
"Yn mooir mooar hene ta ooilley craa,","The Ocean trembles at his Voice,"
Tra t’eh da’n taarnagh coyrt sarey.,when he from Heav’n in Thunder speaks.
,
PSALM 34,PSALM 34
"Trooid dagh caghlaa as stayd ’sy theihll,","1 Thro’ all the changing Scenes of Life,"
Ayns boggey as angaish:,"in Trouble, and in Joy,"
Neem’s moylley Jee veih grunt my chree;,The Praises of my God shall still
My hengey cha gow aash.,my Heart and Tongue employ.
"Jeh my livrey neem’s boggyssagh,","2 Of his Deliv’rance I will boast,"
Dy vod yn sleih t’ayns feme,"till all that are distrest,"
"Veih’n sambyl aym’s gerjagh y ghoaill,","From my Example Comfort take,"
As scuir veih plaiynt as geam.,and charm their Griefs to Rest.
"Tar-jee mârym’s; moyll-jee yn Chiarn,","3 O! magnify the Lord with me,"
Mârym’s coyrt moylley cooie:,with me exalt His Name:
"Son ayns my heaghyn deie mish er,  1905: d’eie","4 When in Distress to Him I call’d,"
As hooar mee livrey dooie.,He to my Rescue came.
"Ny creeaghyn trome dy leah hooar couyr,","5 Their drooping Hearts were soon refresh’d,"
Hug barrant er nyn Yee:,who look’d to Him for Aid:
"Son ve ry-akin er nyn oaie,",Desir’d Success in ev’ry face
Va boggey ayns nyn gree.,a chearful Air display’d:
"Ta ainleyn Yee sheer goaill kiarail,",7 The Hosts of God encamp around
Coadey yn dooinney mie:,the Dwellings of the Just;
"As slane livrey t’eh coyrt da lheid,",Deliv’rance He affords to all
Ta er nyn marrant lhie.,who on His Succour trust.
"O nooghyn, gow shiu aggle roish!","9 Fear Him, ye Saints, and you will then"
Nhee cha jean skielley diu:,have nothing else to fear:
"Lhig slane nyn mea v’ayns e hirveish,",Make you His Service your Delight;
Dagh nhee femoil yiow shiu.,he’ll make your Wants his Care.
,"10 While hungry Lions lack their Prey,"
,the Lord will Food provide
,"For such as put their Trust in Him,"
,and see their Needs supply’d.
,Part II
"Shiuish ta crauee ayns nyn mea,","11 Approach, ye piously dispos’d,"
Tayrn shiu er-gerrey dou:,and my Instruction hear;
Neem’s gynsagh diu cre’n aght dy hooyl,I’ll teach you the true Discipline
Ayns aggle Yee gys niau.,of his religious Fear.
"Lhig dasyn saillish y ve beayn,","12 Let him who Length of Life desires,"
As fakin laghyn share:,"and prosp’rous Days would see,"
"E hengey ’reayll veih scammyltyn,","13 From sland’ring Language keep his Tongue,"
E veillyn veih drogh ghlare.,his Lips from Falshood free:
,
PSALM 41,PSALM 41
"Bannit ta’n dooinney, ta jeh’n voght","1 Happy the Man, whose tender Care"
Dy kinjagh goaill kiarail:,relieves the Poor distress’d!
"Yn Chiarn nee eshyn y livrey,","When he’s by Troubles compass’d round,"
As nee eh eh ’hauail.,the Lord shall give him Rest.
"Veih seaghyn as ayns gerjagh mooar,","2 The Lord his Life, with Blessings crown’d,"
Nee eh y choadey eh;,in Safety shall prolong;
As veih ny noidyn s’niurinee,And disappoint the Will of those
Oddys y ve echey.,that seek to do him Wrong.
"My vees eh ayns stayd boght annoon,","3 If he in languishing Estate,"
"Ayns chingys trome ny lhie,","oppress’d with Sickness, lie;"
Dy aashagh vees e lhiabbee lhieent,"The Lord will easy make his Bed,"
Lesh gerjagh er cheu-sthie.,and inward Strength supply.
"O Hiarn my Yee, bee myghinagh,","4 Secure of this, to Thee, my God,"
Son hood nee’m padjer ’ghoaill:,I thus my Pray’r address’d:
"O Hiarn, ayns myghin slaanee mee,","“Lord, for thy Mercy, heal my Soul,"
Son ta mee treih peccoil.,“tho’ I have much transgress’d.”
,
PSALM 46,PSALM 46
"(On the French leaving Bantry Bay,",
"December 26th, 1796).",
"She Jee nyn gemmyrk ’sy traa t’ayn,","1 God is our Refuge in Distress,"
Yn cooney share oddys ve ayn:,"A present Help, when Dangers press:"
"Lesh dunnallys cur ayn dty hreisht,","In Him, undaunted, we’ll confide;"
Dy beagh yn seihll shoh bun-ry-skyn;,"2,3 Tho’ Earth were from her Centre toss’d,"
"As sleityn ceaut ayns mean y cheayin,","And Mountains in the Ocean lost,"
Ayns peeshyn lesh yn sterrym brisht.,Torn piece-meal by the roaring Tide.
"Lesh gennallys erskyn imraa,",4 A gentler Stream with Gladness still
Ayns flaunys Yee vees shin dy bragh:[6],"The City of our Lord shall fill,"
"My reayllys shin e annaghyn,",The Royal Seat of God most High;
"Ayns Sion ta ard-valley Yee,","5 God dwells in Sion, whose fair Tow’rs"
"Ta er mooaralee garaghtee,","Shall mock th’ Assaults of earthly Pow’rs,"
Choud’s ta e phooar dy choadey shin.,While His Almighty Aid is nigh.
"Nyn noidyn ta ayns eulys rooin,","6 In Tumults when the Heathen rag’d,"
Lesh dewilys caggee haink ad hooin:,"And Kingdoms War against us wag’d,"
"Ren Jee y imman roue lesh cragh,","He thunder’d, and dispers’d their Pow’rs:"
"Nyn shennayryn chur ayn treishteil,","7 The Lord of Hosts conducts our Arms,"
"Cha ren Eh adsyn rieau ’hreigeil,","Our Tow’r of Refuge in Alarms,"
Yn Chiarn y Jee nyn saualtagh.,"Our Fathers Guardian God, and ours."
Gloria Patri.,
"Gloyr gys yn ooilley-niartal Jee,",
"She eh fer-coadee dagh Creestee,",
"Ta coyrt nyn marrant er son bea,",
Moylley as booise da’n Spyrryd Noo,
"As da’n saualtagh ren shin ’chroo,",
Eh oddys coyrt dooin shee as fea.,
,
PSALM 51,PSALM 51
(For Ash Wednesday.),
"O Hiarn Yee, jean myghin orrym,","1 Have Mercy, Lord, on me,"
Jeh mooads dty chenjallys;,as Thou wert ever kind;
"As lhig dooys, lesh treihys laadit,","Let me, oppress’d with Loads of guilt,"
Ve lhieent lesh gennallys.,thy wonted Mercy find.
"Gow ass y raad my ghrogh-yannoo,","2,3 Wash off my foul Offence,"
Jean mee veih peccah glen:,and cleanse me from my Sin;
"She hoods, O Yee! Ta mee goaill rish,","For I confess my Crime, and see"
Cre ta my pheccaghyn.,how great my Guilt has been.
"O Hiarn, ny gow dty chooney voym,","11 Withdraw not Thou thy Help,"
Ny jean uss mee ’hreigeil,nor cast me from thy Sight;
"Chamoo lhig da dty Spyrryd mie,",Nor let thy Holy Spirit take
As mish dy bragh paartail.,its everlasting flight.
"Yn voggey ta liorish dty oayr,","12 The Joy thy Favour gives,"
Lhig dooys y gheddyn reesht;,let me again obtain
"As lhig uss da dty Spyrryd Noo,",And thy free Spirit’s firm Support
M’ annym y niartagh reesht.,My fainting Soul sustain.
"Myr shoh nee’m, Hiarn, dty raaidyn cair,",13 So I thy righteous Ways
Y ynsagh da peccee;,to Sinners will impart;
As gys dty leighyn jeeragh nee’m,Whilst my Advice shall wicked Men
Coyrlaghey drogh yantee,to thy just Laws convert.
"O foshil uss my veillyn, Hiarn,","15 Do Thou unlock my Lips,"
Lesh nearey trimshagh jeight;,"with Sorrow clos’d, and Shame;"
"Eisht, lesh my veeal, dty voylley mooar",So shall my Mouth thy wond’rous Praise
Gys ooilley’n seihll vees eït.,to all the World proclaim.
,
PSALM 57,PSALM 57
"My chree ta soit, O Hiarn my Yee,","7 O God, my Heart is fix’d, ’tis bent,"
Dhyts verym booise er-skyn dagh nhee;,Its thankful Tribute to present;
"As lesh my chree as my choraa,","And, with my Heart, my Voice I’ll raise"
"My voylley jeeds vees son dy brâ,","To Thee, my God, in Songs of Praise."
Hallelujah!,
Moyll-jee yn Chiarn.,
"Dooisht seose my ghloyr, dooisht dagh unnane,","8 Awake, my Glory; Harp and Lute,"
Oddys sheer bingys lesh arrane;,No longer let your Strings be mute:
"As neem’s dy moghey goaill kiarail,","And I, my tuneful Part to take,"
"Dy chur dhyts booise, fer-reill yn theihll.",Will with the early Dawn awake.
Hallelujah!,
Moyll-jee yn Chiarn.,
"Neem’s dty voylley fockley magh,","9 Thy Praises, Lord, I will resound"
Gys dagh ashoon dy arrymagh;,To all the list’ning Nations round:
"Dty vyghin vie erskyn imraa,",10 Thy Mercy’s highest Heav’n transcends;
Erskyn ny niaughyn vees dy brâ.,Thy Truth beyond the Clouds extends.
Hallelujah!,
Moyll-jee yn Chiarn.,
"Soie oo hene seose, O Yee ghraysoil,","11 Be Thou, O God, exalted high;"
T’ou uss er-skyn dagh nhee gloyroil;,"And, as thy Glory fills the Sky,"
"Dy vod dagh cretoor t’er yn ooir,",So let it be on Earth display’d;
V’er nyn leeideil liorish dty phooar.,"Till Thou art here, as there obey’d."
Hallelujah!,
Moyll-jee yn Chiarn.,
,
PSALM 63,PSALM 63
"O Hiarn my Yee, my Yee graysoil,","1 O God, my gracious God, to Thee"
Dy moghey hood nee’m padjer ’ghoaill;,My morning Pray’rs shall offer’d be;
"My chree ta pandoogh lurg y Chiarn,",For Thee my thirsty Soul does pant;
My chorp annoon cha vod ve bio;,"My fainting Flesh implores thy Grace,"
"Foddey ’sy voayl boght gennish shoh,",Within this dry and barren Place
Raad nagh vel ushtey aym dy hayrn.,Where I refreshing Waters want.
"Gys my hilley un cheayrt elley,","2 O! to my longing Eyes once more,"
"Cur dou’n ghloyr, ta mee dy hirrey;","That View of glorious Pow’r restore,"
"Dy ve ayns cooyrt dty hie kinjagh,",Which thy majestic House displays:
Er son dty ghraih cha kenjallagh;,3 Because to me thy wond’rous Love
"T’er-skyn yn vea smoo eunyssagh,","Than Life itself does dearer prove,"
My voylley jeed’s vees dy bragh.,My Lips shall always speak thy Praise.
"My vioys chouds neem’s y reayll eh,","4 My Life, while I that Life enjoy,"
My voylley dasyn shegin y ve;,In blessing God I will employ;
"Lesh laueyn troggit seose gys Jee,",With lifted Hands adore his Name:
"My annym neesht vees foddey s’booie,",5 My soul’s Content shall be as great
"Na ta’d ta smuir as meeaylys gee,","As theirs who choicest Dainties eat,"
Choud’s ta dty voggey ayns my chree.,While I with Joy his Praise proclaim.
,
PSALM 65,PSALM 65
Public Prayer and Praise.,
"Dty agglish ver dhyt booise dy bragh,","1 For Thee, O God, our constant Praise"
"Hiarn, son dty vannaghtyn;","In Sion waits, thy chosen Seat;"
"As nee mayd oo ’hirveish kinjagh,","Our promis’d Altars there we’ll raise,"
Geeck dhyt nyn mreearraghyn.,And all our zealous Vows complete.
"Uss ta geaishtagh rish padjeryn,","2 O Thou, who to my humble Pray’r"
As ta cur myghin daue;,"Didst always bend thy list’ning Ear,"
"Ta imlee jannoo accanyn,","To Thee shall all Mankind repair,"
Hood shirrey nee sheeelnaue.,And at thy gracious Throne appear.
Nyn olkys as drogh-yannoo ta,3 Our Sins (tho’ numberless) in vain
"Mooar er dty vrasnagh, Hiarn;",To stop thy flowing Mercy try;
"Bee myghinagh as jean chyndaa,","Whilst Thou o’erlook’st the guilty Stain,"
As leih yn peccah ain.,And washest out the crimson dye.
"Bannit dy mooar ta’n dooinney shen,","4 Blest is the Man, who, near Thee plac’d,"
T’ou uss jeh soiagh lane;,Within thy sacred Dwelling lives!
"Ta taaghey’n thie ayd’s, aalin glen,","Whilst we, at humble Distance, taste"
As goaill ayn taitnys slane.,The vast Delights thy Temple gives.
"O nyn saualtagh myghinagh,","5 By wond’rous Acts, O God most Just,"
Agglagh trooid cowraghyn;,Have we thy gracious Answer found:
"Dt’ obbraghyn cair ta atchimagh,","In Thee remotest Nations trust,"
Trooid magh ny ashoonyn.,And those whom stormy Waves surround.
"Dty yindyssyn ver orroo geill,",
Dhyt ta nyn Jiarn as Ree;,
"Aynyd dy der ad nyn dreishteil,",
Er son myghin as shee.,
PSALM 65: Part 2.[7],
"Divine Providence in earth, air, and sea",
"Hiarn, ny sleityn soit shickyr ta","6,7 God, by His Strength, sets fast the Hills,"
Lesh niart as pooar dty laue;,And does His matchless Pow’r engage;
"Ashoonyn mooar, lane boirey va,","With which the Sea’s loud Waves He stills,"
Reesht fea t’ou goardrail daue.,And angry Crouds tumultuous Rage.
"Tra ta’n faarkey sterrmagh troggal,",
As gatt seose agglagh ta;,
"T’ou ny tonnyn ard dy lhieggal,",
As pointeil kiuney da.,
"Dty haarnagh niartal lesh tendreil,","8 Thou Lord, dost barb’rous Lands dismay,"
As cowraghyn agglagh;,When they thy dreadful Tokens view:
"Ta cur atchim trooid ooilley’n seihll,",With Joy they see the Night and Day
As aggle roish kerragh.,"Each others Track, by Turns, pursue."
"She oo ta cur yn moghrey dooin,",
Yn ghrian dy irree cooie;,
"As reesht ta goaill yn soilshey voin,",
Dy chur dooin fea ny hoie.,
"T’ad shoh gaggyrts nyn moylley, Hiarn,",
As dagh booise dhyt ta cair;,
"Son t’ou coyrt dooin dagh bannaght t’ain,",
Dy kinjagh da nyn rere.,
PSALM 65: Part 3. [8],
The Blessings of Rain for the Husbandman.,
"Mie ta’n Chiarn yn Ree flaunyssagh,",9 From out thy unexhausted Store
Ta coyrt da’n thalloo geill;,Thy Rain relieves the thirsty Ground;
"Deayrtey neose fliaghey ymmyrchagh,","Makes Lands, that barren were before,"
Cur palchey ayns y theihll.,With Corn and useful Fruits abound.
"Ny bodjallyn myr awinyn ard,",
Ta deayrtey magh yn fliaghey,
"Yn bannaght, tra t’ou sarey ad,",
Er messyn creen as paa.,
Dagh cronk as coan dy palchey ver,"10 On rising Ridges down it pours,"
Nyn messyn as arroo;,And ev’ry furrow’d Valley fills:
"Tra t’ou uss cur dty vannaght er,","Thou mak’st them soft with gentle show’rs,"
As frassyn meein orroo.,In which a blest Increase distils.
"T’ou cur dagh bannaght dooin, O Yee,",
As palchey jeh dagh nhee;,
"Yn fliaghey, earish as traa cooie,",
Dy chur ’sy thalloo bree.,
"Dty vieys ta cur imbaghyn,",11 Thy Goodness does the circling year
As earish vie ayndoo;,With fresh Returns of Plenty crown;
"Tra sailt cur dooin dty vannaghtyn,","And where thy glorious Paths appear,"
Ain vees palchey arroo.,Thy fruitful Clouds drop Fatness down.
"Ynnydyn faase t’ou dy chaghlaa,","12 They drop on barren Forests, chang’d"
Gys thalloo aalin glass;,By them to Pastures fresh and green:
"As ny croink chirrym dy hyndaa,","The Hills about in Order rang’d,"
Dy ymmyrkey reih mess.,In beauteous Robes of Joy are seen.
"T’ou cur lane maase dooin as kirree,",13 Large Flocks with fleecy Wool adorn
Feer phalchey as arroo;,The chearful Downs; the Vallies bring
Dy lhisagh shin lhie as girree,"A plenteous Crop of full-ear’d Corn,"
Dy kinjagh moylley oo.,"And seem, for Joy, to shout and sing."
,
PSALM 66[9],PSALM 66
"On the Restoration of Peace, 1802",
"Lhig dagh unnane lesh ard choraa,",1 Let all the Lands with Shouts of Joy
Kiaull ghennal ’hroggal seose;,2 to God their Voices raise;
"Gys nyn ver-croo coyrt moylley da,","Sing Psalms in Honour of His Name,"
Lesh salmyn dy hoyrt-booise.,and spread His glorious Praise.
"As lhig daue gra, feer atchimagh,","3 And let them say, How dreadful, Lord,"
"O Hiarn, ayns dt’ obbyr t’ou;",in all thy Works art Thou!
Lesh dty phooar niartal hee dagh noid,To thy great Pow’r thy stubborn Foes
E yerkal currit mow.,shall all be forc’d to bow.
"Nee dagh ashoon veih hiar gy heear,",4 Thro’ all the Earth the Nations round
Dty voylley ’ockley magh;,shall Thee their God confess;
"Ayns hymnyn jeh dt’ ardreiltys,",And with glad Hymns their awful Dread
Ta mooar as yindyssagh.,of thy great Name express.
"Liorish e phooar, t’eh dy bragh reill,",7 He by his Pow'r for ever rules;
Ta e hooillyn fakin shin;,his Eyes the World survey:
"Ny sur uss dooin ve traitooryn,",Let no presumptuous Man rebel
"Agh, Hiarn, gow chymmey jin.",against his sov'reign Sway.
"Cur-jee my-ner obbraghyn Yee,","5 O! come, behold the Works of God;"
As mârym’s gow-jee rish,"and then with me you’ll own,"
"Dy vol e yannoo mirrilagh,",That He to all the Sons of Men
Va chammah roie as nish.,has wond’rous Judgments shown.
,
PSALM 81,PSALM 81
"Da Jee e niart nagh vel failleil,","1 To God, our never-failing Strength,"
Cur-jee ard-voylley da;,with loud Applauses sing;
"As jean-jee boggey ghennal ’ghoaill,",And jointly make a chearful Noise
Ayns Jee Yacob dy brâ.,to Jacob’s awful King.
"Lhieu-jee ayns shoh nyn greïnyn kiaull,","2 Compose a Hymn of Praise, and touch"
Gow-jee arrane moyllee;,your Instruments of Joy:
"Lesh bingys as lesh kiaulleeaght,","Let Psalteries and pleasant Harps,"
Ooilley gys moylley Yee.,your grateful Skill employ.
"Sheid-jee yn cayrn ec yn eayst noa,",3 Let Trumpets at the great new Moon
Yn traa ta pointit dooin;,"their joyful Voices raise,"
"Freayll-jee dy kinjagh yn laa jiu,","To celebrate th’ appointed time,"
Dy mie ayns cooinaghtyn.,the solemn Day of Praise.
"Son shoh va slattys er dy rieau,","4 For this a Statute was of old,"
Ren Jee Yacob ’oardrail;,which Jacob’s God decreed
"Dy ve kiaralagh er ny reayll,",To be with pious Care observ’d
Trooid magh dagh eash jeh’n seihll.,by Isr’el’s chosen Seed.
,
PSALM 86,PSALM 86
