English,Manx
"3 But thou, O Lord, art my defender : thou art my worship, and the lifter up of my head.","3. Agh she us, y Hiarn, m’ ’er fríal : she us m’ ýasly, as y fer ta trogel shuas my ghian."
4 I did call upon the Lord with my voice : and he heard me out of his holy hill.,4. Jei mi er y Chiarn rish my ghorá : as ghýyl e mi magh as y ghnock ghasserick.
"5 I laid me downe and slept, and rose up againe : for the Lord sustained me.","5. Lei mi shíis as ghadjil mi, as jirri mi shuas ríist : erson ghwm yn Chiarn shúas mi."
6 I will not bee afraid for ten thousands of the people : that have set themselves against me round about.,6. Gha jeym agyl erson jei mílyghyn dy phobyl : ta ern’ ’an seiaghy héyn m’ ýoi krwyn magiyrt.
,
"7 Up Lorde, and helpe me, O my God : for thou smitest all mine enemies upon the cheeke bone; thou hast broken the teeth of the ungodly.","7. Shúas, Hiarn, as kwyn liám, O my Iíh : erson tow boaly my noidjyn wlly er knaw yn ghiyl, tow er mrishie fiekylyn yn niaw ghrawi. "
8 Salvation belongeth unto the Lord : and thy blessing is upon the people.,8. Ta sawálys benelt rish y Chiarn : as ta dthy vanaght er y phobyl. 
the people] 1660 thy people (as 1539),
,
,
Cum inuocarem. Psal. 4.,Cum inuocarem. psal. 4.
"Heare me when I call, O God of my righteousnesse : for thou hast set me at libertie when I was in trouble; have mercie upon me, and hearken unto my prayer.","1. Klast rẃỳms tra ta mi gemaght, O Iíh dy my ghayrys : erson toŵ er my ghwrr ag remys nar va mi ayns sýaghyn : jean myghin ory̌m, as klast rish my phadjer."
for thou hast set] 1662 thou hast set,
"2 O ye sonnes of men, how long will ye blaspheme mine honour : and have such pleasure in vanitie, and seeke after leasing?","2. O shiusse veck déne, káidj víis shiu lóyrt gy molaghtagh dy m’ onyr : as víis leid yn agne aggw ayns fardálys, as shyrre nyre brégyn ?"
"3 Know this also, that the Lord hath chosen to himselfe the man that is godly : when I call upon the Lord, hee will hear me.","3. Bi fyss aǧgw er shó níist, gy vell y Chiarn er ry̌i hwgge héyn yn dwyne ta krawi : nar éiym er y Chiarn, klwini e mi."
,hwgge] ms. hwg e
"4 Stand in awe and sinne not : commune with your owne heart, and in your chamber, and be still.","4. Shassigi ayns agyl, as na jeanigi peky : loyrigi rish nan griaghyn héyn, as ayns nan siambyr, as bigi kiwn."
5 Offer the sacrifice of righteousnesse : and put your trust in the Lord.,5. Owrelgi toyrtys kasserick dy gháyrys : as kwrrigi nan dreistéel ayns y Chiarn.
6 There be many that say : who wil shew us any good?,6. Sh’ immy ta grá : quei hoilshys dẃìn mei erbi?
7 Lord lift thou up : the light of thy Countenance upon us.,"7. Hiarn, trog us shuas : soilshe dy gnw̌ys orwiniyn."
8 Thou hast put gladnesse in my heart : since the time that their corne and wine and oyle increased.,8. Tow er gwr bogey ayns my ghri : ada yn tra ren yn arẃ acksyn as phien as ẃil bishaghy.
"9 I wil lay me downe in peace, and take my rest : for it is thou Lord onely, that makest me dwell in safetie.","9. Léìým shíis ayns shí, as góỳm m’ é : erson she us, y[7] Hiarn, dy lomyrkan ta toyrt ǒryms vaghey gyséf."
,
,
Verba mea auribus. Psal. 5.,Verba mea auribus. psal. 5.
"Ponder my words, O Lord : consider my meditation.","1. Jean m’ ’okylyn y howys,[8] O Hiarn : smwni er my smwnaghtyn."
"2 O hearken thou unto the voyce of my calling, my King and my God : for unto thee will I make my prayer.","2. O klast us rish korá m’ émagh, my rí as my Iíh : erson hwyds niyms my phadjer."
"3 My voice shalt thou heare betimes, O Lord : earely in the morning will I direct my prayer unto thee, and will looke up.","3. My ghorá ni us y ghlastchen trá mei, O Hiarn : gy moghe ayns y vaderyn verym my phadjer hwyds, as jeaghyms shúas."
4 For thou art the God that hast no pleasure in wickednesse : neither shall any evill dwell with thee.,4. Erson she us y Jíh nagh vell agney erbí áỳds ayns olkys : ghamw ni olk erbi vaghey máỳrts.
5 Such as be foolish shall not stand in thy sight : for thou hatest all them that worke vanitie.,"5. Leidsyn as ta ammyjagh, gha jean ayd shassw ayns t’ éanish : erson ta dwoi ayds oriusyn wlly ta gobraghy fardálys. "
6 Thou shalt destroy them that speake leasing : the Lord will abhore both the bloodthirstie and deceitfull man.,"6. Ni us aydsyn y ghwr moẃ ta loyrt brég : ver y Chiarn fúa d’ yn ’er páa nyrg fwil, as d’ yn dwyne kalgwil níist."
,moẃ] ms. mẃ
"7 But as for mee, I will come into thy house, even upon the multitude of thy mercie : and in thy feare wil I worship toward thy holy Temple.","7. Agh er my hons, higgym ayns dthy hei, gy jarw ayns palche dthy vyghin : as ayns t’ agil niym ammys dy dthy hiampyl kasserićk."
,dy] ms. dá dy
"8 Leade me, O Lord, in thy righteousnesse, because of mine enemies : make thy way plaine before my face.","8. Líid mi, O Hiarn, ayns dthy ghayrys erson my nóidjyn : jean dthy ráyd ré fienish m’ edyn."
9 For there is no faithfulnesse in his mouth : their inward parts are very wickednesse.,9. Erson gha vell fyirrinys erbi ayns y véal : ta ny harnyn er chew stei acksyn fíir olkys.
10 Their throat is an open sepulchre : they flatter with their tongue.,10. Ta yn skornagh ack na yoi foskilt : t’ ayd brynryght lesh ’an jange.
"11 Destroy thou them, O God; let them perish through their owne imaginations : cast them out in the multitude of their ungodlinesse, for they have rebelled against thee.","11. Kwr us aydsyn mow, O Iíh, lig ’aŵ ve er nan gal tryid nan smẃnaghtyn heyn : tilg ayd magh ayns ymmydi dy nan mighráwiys, erson t’ ayd ern’ ianw kagey t’ yôiys."
,t’ yôiys] ms. ty’ óìys
"12 And let all them that put their trust in thee, rejoyce : they shall ever be giving of thankes, because thou defendest them, they that love thy Name shall be joyfull in thee;","12. As lig ’awsyn wlly ta toyrt nan dreistéel anyds bogey y goyl : bi aydsyn gybragh toyrt bwiys, erson gy vel us d’ an vrial, áydsyn sh’ ýne liô t’ enym, bi ayd ganoil ǎnyds."
"13 For thou Lord wilt give thy blessing unto the righteous : and with thy favourable kindnes wilt thou defend him, as with a shield.","13. Erson ver us, Hiarn, dthy vanaght d’ yn kly̌ei gháyragh : as rish dthy gheindylys foróyl frielyt us eshyn mar rish skíe.[9]"
,
,
The i. day.,Yn i. la.
Evening prayer.,Aspyrt.
Domine ne in furore. Psal. 6.,Domine ne in furore. psal. 6.
"O Lorde, rebuke me not in thine indignation : neither chasten me in thy displeasure.","1. O Hiarn, na tóer aghsan dẃỳs [ayns] t’ arg : namẃ keri mi ayns dthy iwmẃys."
"2 Have mercie upon me, O Lord, for I am weake : O Lord heale me, for my bones are vexed.","2. Jean myghyn orym, O Hiarn, erson ta mi anẃn : O Hiarn, sláni mi, erson ta my ghnawyn gonit."
"3 My soule is also sore troubled : but Lord, how long wilt thou punish mee?","3. Ta m’ anym níist ayns syaghyn mẃar : agh, Hiarn, kaid ni us mish y gheraghy?"
is also] 1662 also is,
"4 Turne thee, O Lord, and deliver my soule : Oh save me for thy mercies sake.","4. Chyndá us, O Hiarn, as lifrée m’ anym : O saw mi erson gráyi dthy vyghin."
5 For in death no man remembreth thee : and who will give thee thankes in the pit?,5. Erson ayns báys gha vel dwyne erbi kwinaghtyn ořts : as quei ver bwiys dw̌itch ayns yn yei?
6 I am wearie of my groning; every night wash I my bed : and water my couch with my teares.,"6. Ta mi ski dy my akan, gygh wlly ýì ta mi ní my liǎbi : as gwiskaghy ynyd my lyi rish my ierw."
7 My beautie is gone for very trouble : and worne away because of all mine enemies.,7. Ta my vóid er shiul rish ’rogh hyaghyn : as er géf er shiul kiyntagh rŷ my noidjyn wlly.
,my vóid] ms. mi véid
8 Away from me all ye that worke vanitie : for the Lord hath heard the voice of my weeping.,"8. Ass y ráyd vóỳms, wlly shiusse ta gobraghe fardalys : erson ta yn Chiarn er glastchen korá dy my ghóo.[10]"
9 The Lord hath heard my petition : the Lord will receive my prayer.,9. Ta yn Chiarn er glastchen m’ aghy̌in : gowi yn Chiarn my phadjer.
10 All mine enemies shall be confounded and sore vexed : they shal be turned backe and put to shame suddenly.,"10. Bi wlly my nóidjyn er nan gwr mow as gonǐit gy holk : bi áyd er nan jyndá er gẃl, as er nan dort gys náre daltatchym."
,
,
,
Domine Deus meus. Psal. 7,Domine deus meus. psal. 7.
"O Lorde my God, in thee have I put my trust : save mee from all them that persecute me, and deliver me;","1. O Hiarn my Iíh, aňyds ta mi er dórt my hreistéel : saw mi vousyn wlly ta janw trynlás ory̌m, as lifré mi."
"2 Lest he devoure my soule like a Lion, and teare it in pieces : while there is none to helpe.","2. Er agyl gy strẃi e m’ anym mar lěion, as raby e ayns stwckanyn : ghówd as nagh vel anáyn dy ghwney."
"3 O Lord my God, if I have done any such thing : or if there be any wickednesse in my hands;","3. O Hiarn my Iíh, my ta mi ern’ ianw red erbi léid shen : na my ta peke erbi ayns my lawyn; "
"4 If I have rewarded evill unto him that dealt friendly with mee : yea, I have delivered him that without any cause is mine enemie;","4. Ma jik mi olk dâsyn ren gy mẃnjeroil rẃỳms : gy jarw, ta mi er lifre eshyin ta gyn óer erbi na nóid dow;"
,na] ms. va
"5 Then let mine enemy persecute my soule, and take me : yea, let him tread my life downe upon the earth, and lay mine honour in the dust.","5. Eis ligg e my nóid trynlás y ianw er m’ anym, as my góyl : gy jarw ligg e my vé y stampey shiís er y talw, as m’ onyr kwrr na ly̌i ayns y jan."
"6 Stand up, O Lord, in thy wrath, and lift up thy selfe : because of the indignation of mine enemies, arise up for me in the Judgement that thou hast commanded.","6. Shass shúas, O Hiarn, ayns dthy ghorri, as trog shúas ẃ heyn : erson farg my noidjyn, irri shúas er my hons ayns y vrwinys tow us erna háre."
7 And so shall the congregation of the people come about thee : for their sakes therefore lift up thy selfe againe.,7. As marshen hig shessaght yn phobyl magíỳrt ym̌myds : shenyfá ernan-son-syn trog shúas ẃ héyn ríist.
"8 The Lord shall judge the people; give sentence with me, O Lord : according to my righteousnesse, and according to the innocencie that is in me.","8. Ni yn Chiarn yn pobyl y vrwinys; tóyr brẃinus liâms, O Hiarn : nýre my gháỳrys, as nýre [yn] niaw-loght ta anyms."
9 O let the wickednesse of the ungodly come to an ende : but guide thou the just.,9. O ligg e olkys y niaw-ghráwi chíit gys kian : agh liíd us yn dwyne káyragh.
10 For the righteous God : trieth the very hearts & reines.,10. Erson ta yn Jih káyragh : sheirre magh ny kriaghyn as ny harniyn.
11 My help commeth of God : which preserveth them that are true of heart.,11. Ta my ghẃney chíit vei Jih : ta d’ an frial-syn ta firrinagh dy ghri.
which] 1662 who,
"12 God is a righteous Judge, strong and patient : and God is provoked every day.","12. Ta Jíh na vriu kayragh, láidjer as fwllynagh[11] : as ta Jih dâ vrosnaghy gygh yn lá.[12]"
"13 If a man will not turne, he will whet his sword : hee hath bent his bow, and made it ready.","13. My nagh jean dwyne chynda, liwi e y ghlêiw : t’ e er lwby y vow̌, as erna ianw arlw e."
14 He hath prepared for him the instruments of death : he ordeineth his arrowes against the persecuters.,14. T’ e erna ianw arlw dâsyn greinyn yn váas : t’ e erna ianw arlw[13] y heijyn nýoi ny trynlási.
,dâsyn] ms. dáùsyn; yn váas] ms. ny váas
"15 Behold, he travaileth with mischiefe : hee hath conceived sorrow, and brought foorth ungodlinesse.","15. Vack w, t’ e trawelt rish drogh red : t’ e ern’ ienaghtyn triymshe, as er doyrt magh niauwghráwiyght."
16 He hath graven and digged up a pit : and is fallen himselfe into the destruction that he made for other.,16. T’ e er gnaw[14] as er gly̌ei shúas lagg : as t’ e héyn er dwytchym ayns y strŵiel ren e ghon fielagh elle.
,
17 For his travaile shall come upon his owne head : and his wickednesse shall fall on his owne pate.,17. Erson hig y hrawelt er y ghian héyn : as twitchi y mighrawiyght er y volag héyn.
"18 I will give thankes unto the Lord, according to his righteousnesse : and will prayse the Name of the Lord the most High.",18. Verym bẃìas d’ yn Chiarn nýre y gháyrys : as molym enym yn Chiarn smw sh’ ýrje.
,
,
Domine Dominus. Psal. 8.,Domine Dominus. psal. 8.
"O Lord our governour, how excellent is thy Name in all the world : thou that hast set thy glory above the heavens.","1. O Hiarn nan fer réel, gho ard-ýasyl ass ta t’ enym ayns y týyl wlly : us ta er seiaghe dthy glóer erskyn ny neawyn. "
,
"2 Out of the mouth of very babes and sucklings hast thou ordeined strength, because of thine enemies : that thou mightest still the enemie and the avenger.","2. Magh as béal ny’n ’íir nikanyn,[15] as aydsyn ta jóyl, tow us ern’ ordyghe gniart, erson dthy nóidjyn : gy vodaght us y nóid y vínaghe as yn kwílinỳder."
"3 For I will consider the heavens, even the works of thy fingers : the Moone and the Starres which thou hast ordeined.","3. Erson smẃniym er ny neawaghyn, gy jarw obraghyn dthy véyrs : yn íask as ny rydlagyn ta us erna ordyghey."
the heavens] 1662 thy heavens (as 1562),
"4 What is man that thou art mindefull of him : and the sonne of man, that thou visitest him?","4. Kré ta dwyne, gy vel us agyntagh er : as mack y wyne gy vel us jaghyn er?"
,
5 Thou madest him lower then the Angels : to crowne him with glory and worship.,5. Ren us [e] na shiísle na ny hangelyn : dy hoyrt attaghan er rish mole as ýasly.
6 Thou makest him to have dominion of the workes of thy handes : and thou hast put all things in subjection under his feete;,6. Tow toyrt ersyn chiarnys ve agge er obraghyn dthy lawyn : as tow er doyrt gygh wlly red shíis fẃom y ghassyn;
7 All sheepe and oxen : yea and the beasts of the field;,"7. Ny kiri wlly as ny déf : gy jarw, as béin y vagher;"
"8 The foules of the aire, and the fishes of the sea : and whatsoever walketh through the paths of the Seas.","8. Éỳnli yn áer, as ieskyn ny marre : as kre erbí ta gimíaght tryid kassanyn ny varkaghyn."
9 O Lord our governour : how excellent is thy Name in all the world!,9. O Hiarn nan gianẃrtus : ghó ard-ýasyl ass ta t’ enym ayns y týyl wlly!
,
,
The ii. day. ,Yn ii. la.
Morning prayer.,Ayryn.
Confitebor tibi. Psal. 9.,Confitebor tibi. psal. 9.
"I will give thankes unto thee, O Lord, with my whole heart : I will speake of all thy marveilous workes.","1.Verym bẃias dẃìch, O Hiarn, rish wlly my ghri : niym loyrt dy t’ obraghyns iéntysagh wlly."
"2 I will bee glad and rejoyce in thee : yea, my songs will I make of thy Name, O thou most Highest.","2. Biŷm gaǹoil as goym boge anyds : gy jarw, niyms m’ orányn dy t’ enyms, O us smẃ sh’ ýrje."
3 While mine enemies are driven backe : they shall fall and perish at thy presence.,3. Ghoud as ta my nóidjyn er nan iŷmman er gẃl : twitchi áyd as bi áyd er nan gal ag t’ enish.
"4 For thou hast maintained my right, & my cause : thou art set in the Throne that judgest right.",4. Erson ta us er gwmmel shúas my gháyr as my ghwsyn : ta us sěit ayns yn iynyd riẃl[16] ta toyrt brwinus káyr.
,
"5 Thou hast rebuked the Heathen, and destroyed the ungodly : thou hast put out their Name for ever and ever.","5. Ta us er doyrt aghsan dy ny hangristín, as er gwrr moẃ y niawghrawi : tow er doyrt magh nan enym erson gybragh as gybragh."
,aghsan] ms. acksan
"6 O thou enemie, destructions are come to a perpetuall ende : even as the cities which thou hast destroyed, their memoriall is perished with them.","6. O us y nóid, ta strwielyn er jít gys kian gybragh : gy jarw mar ny hard-valchyn ta us erna gwr moẃ, ta yn kwiny acksyn kalchit mâriu."
7 But the Lord shall endure for ever : hee hath also prepared his seat for Judgement.,7. Agh farri yn Chiarn erson gybrágh : t’ e niíst ern’ ianw arlẃ y enyd sy̌i ghon brwinys.
8 For he shall judge the world in righteousnesse : and minister true Judgement unto the people.,8. Erson ni e yn sýyl y vrẃinys ayns kayrys : as ver e brwinys fyrrinagh d’ yn phobyl.
9 The Lord also will be a defence for the oppressed : even a refuge in due time of trouble.,9. Bi yn Chiarn níist na ghẃne dawsyn ta trynlasit : gy jarw na ghymmyrk ayns ierish kẃi dy hýaghan.
"10 And they that know thy Name, will put their trust in thee : for thou, Lord, hast never failed them that seeke thee.","10. As aydsyn sawn t’ enym, ver ayd nan dreisteel anyds : erson gha hrég ẃ aydsyn, y Hiarn, riu ta dy dthy hyrrus."
11 O praise the Lord which dwelleth in Sion : shew the people of his doings.,11. O moligi yn Chiarn ta vághe ayns Séìon : jéaghigi d’ yn phobyl y ianw-syn.
,jéaghigi] ms. jéaghi 
"12 For when he maketh inquisition for blood, hee remembreth them : and forgetteth not the complaint of the poore.","12. Erson nar t’ e janw fysseri erson fwil, t’ e kwinaghtyn orw̌ : as gha vel e jarwd akan ny moght."
"13 Have mercy upon mee, O Lord; consider the trouble which I suffer of them that hate me : thou that liftest me up from the gates of death.","13. Jean myghin ořym, O Hiarn, smwni er y týaghyn ta mi d’ wllaghtyn iusyn ta dwoi ack ory̌m : us ta dy my hrogel shuas vei dorsyn yn váas;"
,
14 That I may shew all thy praises within the ports of the daughter of Sion : I will rejoyce in thy salvation.,14. Gy vodym wlly dthy volaghyns y hoilsaghy er léf [17] stei dy dorsyn iniin Seíòn : gowym boge ayns dthy hawálys.
"15 The heathen are sunke down in the pit that they made : in the same net which they hid privily, is their foote taken.",15. Ta ny hangristín er dwittym shíis ayns y lagg ren áyd : ayns y liyn kedyn dalli ayd gyn ’yss ta ’an gass goutch.
16 The Lord is knowen to execute Judgement : the ungodly is trapped in the worke of his owne hands.,16. Ta fyss gy vel y Chiarn janw káyr : ta yn niawghrawi gow̌it ayns obyr nan lawyn héyn.
17 The wicked shall bee turned into hell : and all the people that forget God.,17. Bi aydsyn ta olk ernan jynda gys nifrein : as wlly yn pobyl ta jarẃd Jíh.
,ta olk] ms. to olk
18 For the poore shall not alway be forgotten : the patient abiding of the meeke shall not perish for ever.,18. Erson gha bi yn boght erna iarẃd goni[18] : gha jean fanaghtyn féagh ny mínid gol mow erson gybrágh.
"19 Up Lord, and let not man have the upper hand : let the Heathen be judged in thy sight.","19. Shúas, Hiarn, as na lig dy gwyne law yn iyghtyr ve agge : ligg e ny hangristín ve er ’an mrwinys ayns t’ ’éanish."
20 Put them in feare (O Lord) : that the heathen may know themselves to be but men.,"20. Kwr áyd ayns agyl, O Hiarn : gy vod fyss ve ag ny hangristín nagh vel ayd héyn agh déne."
,
,
Vt quid Domine. Psal. 10.,Vt quid domine. psal. 10.
Why standest thou so farre off (O Lord) : and hidest thy face in the needfull time of trouble?,"1. Kre fá ta us shassw ghowd voniyn, O Hiarn : as fallaghy t’ edyn ayns tra ymmyrtsagh dy hyaghan?"
2 The ungodly for his owne lust doeth persecute the poore : let them bee taken in the craftie wilinesse that they have imagined.,2. Ta yn niawghráwi erson y agney héyn janw trynlás er yn voght : lig ’aw ve er nan góyl ayns ny kalgyn krowtagh ta áyd erna ghwmmey.
3 For the ungodly hath made boast of his owne hearts desire : and speaketh good of the covetous whom God abhorreth.,3. Erson ta yn niawghráwi erna ianw bogyssagh dy agne y ghri héyn : as t’ e lort gy méi d’ yn dwyne sâintagh ta Jíh toyrt dwoi gâ.
"4 The ungodly is so proud, that hee careth not for God : neither is God in all his thoughts.",4. Ta yn niawghráwi gho mórniagh gy kwmmy lesh erson Jíh : ghamẃ ta Jíh ayns y smwnaghtyn wlly.
"5 His wayes are alway grievous : thy Judgements are farre above out of his sight, and therefore defieth he all his enemies.","5. Ta y raydjyn gȯni dockragh : ta dthy vrwinyssyn fodey erskyn magh as y hilliysyn, as shenyfá t’ e kẁr yn láyn fw y noidjyn wlly."
"6 For he hath said in his heart, Tush, I shall never bee cast downe : there shall no harme happen unto me.","6. Erson dwyrt e ayns y ghri, piǔ, gha biŷms gybrágh er my hilge shíis : ghá jean skelly erbí taghyrt dŵys."
"7 His mouth is full of cursing, deceit, and fraud : under his tongue is ungodlinesse and vanitie.","7. Ta y veal láyn dy gwiaghyn, malley, as krout : fẃo y hange ta niawghrawíys as fardálys."
8 He sitteth lurking in the theevish corners of the streets : and privily in his lurking dennes doeth he murther the innocent; his eyes are set against the poore.,8. T’ e syěi fallíit ayns ny kwltíin bradagh ny stradjyn : as gyn ’yss ayns y ẃigyn fallíit t’ e dynvárrys yn dwyne gyn-loght; ta y hwylyn sy̌it nyoi ny moght.
"9 For hee lyeth waiting secretly, even as a Lion lurketh he in his denne : that he may ravish the poore.","9. Erson t’ e ly̌i farkiaght gy falliit, gy jarw mar léion t’ e dy alaghy ayns y ẁig : gy vod e yn boght y góyl er égyn."
10 He doeth ravish the poore : when hee getteth him into his net.,10. T’ e janw gniart er yn voght : nar t’ e dy ieadthyn e ayns y liy̌n.
,ieadthyn] ms. jeadthyn 
"11 He falleth downe, and humbleth himselfe : that the congregation of the poore may fall into the handes of his Captaines.",11. T’ e twitchym shíis as dâ iíslaghy héyn : gy vod sheissaght yn voght twitchym ayns lawyn y ghianwrtyssyn.
"12 He hath said in his heart, Tush, God hath forgotten : he hideth away his face, and he will never see it.","12. Dẃyrt e ayns y ghrí, piǔ, ta Jíh erna iarwd : t’ e fallaghy ass y ráyd y edyn, as gha váik e é gybragh."
13 Arise (O Lord God) and lift up thine hand : forget not the poore.,"13. Irri, O Hiarn Jíh, as trog shúas dthy law : na jarẃd ny boghtyn."
"14 Wherefore should the wicked blaspheme God : while he doeth say in his heart, Tush, thou God carest not for it?","14. Krefá ienagh yn niawghrawi loyrt gy mólyghtagh dy Iíh : ghowd as t’ e grá ayns y ghrí, pìǔ, kwmmy lǎts, us e[19] Iíh, er y ghon?"
15 Surely thou hast seene it : for thou beholdest ungodlinesse and wrong.,15. Gy sickir ta us ern akin e : erson tow fakin niaw ghrawiys as agayr. 
,agayr] ms. gayr
16 That thou mayest take the matter into thine hand : the poore committeth himselfe unto thee; for thou art the helper of the friendlesse.,"16. Gy vod [us] yn ghwyss y goyl ayns dthy law : ta yn boght dy hymne e héyn hŵyds, erson she us yn fer kwni aggesyn ta gyn ghàrry."
17 Breake thou the power of the ungodly and malicious : take away his ungodlinesse and thou shalt finde none.,17. Brish us pẃer yn niawghráwi as gawnlysagh : gow as y rayd y niaw ghrawiys as gha vow veg. 
18 The Lord is King for ever and ever : and the heathen are perished out of the land.,18. Ta yn Chiarn na ry̌i erson gybrágh as gybrágh : as ta ny hangristín er ’an gàl magh as y talw.
,
"19 Lord, thou hast heard the desire of the poore : thou preparest their heart, and thine eare hearkeneth thereto;","19. Hiarn, tow er glastchen agney ny moghtyn : tow ern ianw arlw nan gri, as ta dthy ghlyesh klastchen hwggesyn;"
20 To helpe the fatherlesse and poore unto their right : that the man of the earth be no more exalted against them.,20. Dy ghẃny lesh yn ghlawn gyn áer as boght gys nan gáyr : nagh bi dwyne yn talwin nasmẃ erna hrogel shúas nan nyoi-syn.
,
,
In Domino confido. Psal. 11.,In Domino confido. psal. 11.
"In the Lord put I my trust : how say yee then to my soule, that she should flee as a bird unto the hill?","1. Ayns y Chiarn ta mi toyrt my hreistéel : kyns ta shiu grá eish rish m’ anym, gy jeanagh i ’étlagh mar én gys y ghnock?"
"flee] flie 1660, flee 1662 (as also 1599)",
"2 For loe, the ungodly bend their bow, and make readie their arrowes within the quiver : that they may privily shoot at them which are true of heart.","2. Erson jeagh, ta yn niaw ghrawi bendéel nan mow, as janw arlw nan sêijyn er leyf stei d’ yn ghaever : gy vod ayd gyn ’yss tilge oriusyn ta firrinagh dy ghrí."
3 For the foundations wil be cast downe : and what hath the righteous done?,3. Erson bi ny hymsynyn[20] er nan dilge shiís : as kre ta dwyne kayragh erna ianw?
