"’Sy lioar veg shoh foddee ooilley ve Ynsit dy hoiggal Bun y Chrea, as padjyr y Chiarn, dooghys as Oyryn ny Sacramentyn, as gynsagh dy hoiggal ny Goan as Raaghyn t’ad dy mennic Claishtyn ayns Sharmaneyn.","Here also such may be taught the meaning of the Creed and the Lord's Prayer, the nature and ends of the Sacraments, and may learn to understand such words and expressions as they commonly hear in Sermons.",
As oh! dy jinnagh dy chooilley Chreestee dy ynric as feeyr lesh nyn Gree as Aigney goail yn Caa as yn cooney ta liorish shoh er ny chur daue dy gheddyn tushtey as toiggal jeh Jee as nyn Gurrym creestee.,"And I trust that all honest and sincere Christians, who need instruction will gladly embrace an opportunity of informing themselves in the knowledge of God and their duty.",
"As dy scapail ooilley lheid yn Veehushtey naareydagh ny lurg shoh,—Oh!—lhigda [sic: lhig da] ve yn Ard-chiarail euish ooilley ta nyn Ayraghyn Moiraghyn as Mainshteryn lught-thie gyn dy ve Meerioosagh jeh’n Chloan as Moinjyr ta foe nyn Gurrym, agh dy hroggal ad ayns Ynsagh as Aggle y Chiarn. Jean jee ny oddys shiu dy ynsagh ad dy lhaih as dy ynsagh ad ayns Ard churmyn as Bun nyn Gredjue casherick.","And to prevent for the time to come all such shameful ignorance as is justly complained of in country parishes, let me earnestly entreat all you who are Parents and Masters of families, not to neglect the children and servants under your [viii] care, but to bring them up in the nurture and admonition of the Lord. Use all possible endeavours to teach them to read, and to instruct them in the first principles of our most Holy Religion:",
"Teh wheesh nyn Gurrym dy veaghey ny Anmeenyn oc as teh dy veaghey ny Cirp oc as dy eam orroo gys Padjer as dy ynsaghey ad ’sy Chatechism marish Ynsagh sodjey ayns Craueeys, teh wheesh er ny yeearee erriu liorish Jee as t’eh dy chur daue nyn Meaghey ayns traa cooie.","It is as much your duty to feed their souls as it is to feed their bodies: and to call them to Prayers, and to instruct them in the Catechism and other religious know ledge, is as much required of you by God, as to give them their meat in due season.",
"Erriuish, ta nyn Mainshtyryn lught-thie ta foays as Maynrys nyn Gloan as Sharvaantyn son y chooid smoo ny lhie son y traa ta ry heet—son mannagh bee er ny chur daue red ymmyrchagh dy Ynsagh Creestee ayns laghyn nyn aegyd t’eh mooar dy ve dooytyt dy jean ad tannaghtyn dy bollagh meehushtagh jeh’n Chredjue as nyn Gurrym ooilley nyn [viii] Mea, as dy der ad lhieu Eiyrtys treih yn laccal Ynsagh ayns nyn Aegyd gys shenn Eash as yn Oaie.","Upon you, who are the Governors of families, the future welfare and happiness of your children and servants chiefly depend; for if they be not furnished with a competency of Christian knowledge in their early years, it is much to be feared that they will continue utterly ignorant of Religion and their duty all their days, and will carry the miserable effects of an uninstructed youth to grey hairs and the [ix] grave.",
"As jean ny Anmeeyn boght shoh cherraghtyn son laccal Tushtey, as shiuish gyn fooil? Nagh bee shiu er nyn Eam gys coontey son yn lhiggey shaagey [sic: shaghey], & yn nieughiastillys shoh ec stoyl Briwnys Chreest, son dy row yn Chloan as ny Sharvaantyn eu meehuishtagh as nagh ren shiu gynsagh ad?","And shall these poor souls perish for lack of knowledge, and you be blameless? Shall you not be called to an account for this negligence and uncharitableness at the judgement seat of Christ, that your children and servants were ignorant and you instructed them not?",
"Toig jee son shickyrys dy bee shen ny ta Jee gra rish yn Arreyder nieu-chiarailagh ayns Ezek. cab. 3. 17. 18. “Vac y Dooinney, ta mee er dty yannoo Arreyder ayns thie Israel, shen y fa eaisht rish goan my Veeal as cur raue daue voym’s.","Know of a surety, that what God says to the careless watchman in Ezekiel, ch. iii. 17, 18,[3] ",
"Tra ta mee gra rish y Veechrauee, Ta Baase son shickyrys dty chour; as mannagh der oo raue da, cha moo loayrt, dy hyndaa yn Vee chrauee veih e ghrogh raad, dy hauail e Vioys: yiow yn Dooinney mee chrauee cheddin baase ayns e Vee-chraueeaght, agh yn uill echey neem’s geearree ec dty laue’s”—shoh cronney dy chooilley Ayr as Moir as Mainshtyr lught-thie neuchairailagh; as my vees Annym erbee callyt trooid yn verioose [sic: veerioose] euish yn Annym shen nee Jee geearree veih ny laueyn eu.","shall be the portion of every careless Parent and Master of a family; and if any soul perish through your negligence, that soul will God require at your hands.",
,,
"As nish dy ghooidsave lesh Jee ooilley niartal, eh oddys jannoo ny Saaseyn sloo breeoil gys e ghloyr hene as foays Anmeenyn, dy chur e Vannaght lesh yn lioar veg shoh dy vod ee ve breeoil ayns soiagh ayns Aignaghyn persoonyn aeg as Meehushtagh ennaghtyn dowin dy Yee as yn Credjue creestee, as gruntal undin mie son tushtey creestee, dy vod ad bishagh ayn ny smoo as ny smoo, derrey hig ad gys Reeriaght dy bragh farraghtyn ayns Niau, trooid toilchinys nyn Jiarn as Saualtagh Yeesey Creest. Amen.","I shall only add here my earnest Prayers to Almighty God, who can make the meanest instruments effectual to His glory, and the good of souls, that He would be pleased to give a blessing to this little work, that it may be successful to the implanting in the minds of young and [x] ignorant persons a worthy sense of God and Religion, and to laying a good foundation for the Christian knowledge, that they may increase therein ever more and until they come into the everlasting Kingdom of Heaven, through the merits of our Lord and Saviour Jesus Christ. Amen.",
YN NAA ARN.[6],PART II.[7],
BUN ER YN DAA CHONAANT.,An Explanation of the Two Covenants; the Great Feasts and Fasts of our Church; with some Religious Terms not generally known.,
Ny fealaghyn moar as laaghyn troshtee yn Aglish marish.,,
Raaghyn crauee nagh vel dy mie toiggit.,,
,The PREFACE.,
"Myr ta’n Lioar veg shoh kiarit dy yannoo sleih arloo dy hoiggal ny share ny ta’d dy chlashtyn veih’n Pulpit as er ny lhai ayns ny Scripturyn casherick as lioaryn mie elley, as myr ta jercal er ny yanno [sic: yannoo], dy bee shen, ta er ny hoiagh magh ayn jee [sic: aynjee], (lesh bannaght Yee,) vondeishagh gys yn ymmyd shen. —Teh ny sodjey göit [sic: goït / goit] ayns laue, cha giare as cha floail as oddys eh dy chur toiggal as Bun er y daa chonaant, ryd ta laane lhie er, as lhisagh dy chooilley Creestee ve ynsit dy mie ayn, dy vod ad toiggal aght yindyssagh yn kionneeaght reeisht ain, conaantyn nyn Saualtys, as dooghys ny Sacramentyn: veagh eh dy mie dy beagh ny Aarnyn ymmyrchagh shoh ny share toiggit ny t’ad son y chooid smoo.","As my[8] design in this little work is to be as useful as I can, and to prepare people for the better understanding what they hear from the pulpit, and read in the holy Scriptures, and other godly books so I hope what is offered herein, will, through God's blessing, be service able to this end. I have endeavoured, in as short a compass, and as clearly as I could, to explain the Two Covenants, a subject of great consequence, in which every Christian ought to be well instructed, in order to know the wonderful scheme of our Redemption, the conditi[xxxv]ons of our Salvation, and the nature of the Sacraments: I wish this necessary point was better understood than it usually is. ",
"Ny lurg shoh, ta Bun er ny chur er ny Ard fealaghyn as trostaghyn yn Aglish ain, nagh lhisagh peccagh erbee, ta genmys eh hene ny Chreestee, ve mee-hushtagh jeh, as ny yei, gys nyn drimshey, ta rour Creesteeyn t’er roie ayns Eash nagh vel toiggal agh feer veg jeh ny reddyn shoh.","Next to this, I have explained the meaning of the grand Festivals and Fasts of our Church, which none, who name the Name of Christ, ought to be ignorant of; and yet I fear there are hundreds of grown Christians, in country places,[9] who know little or nothing of these things.",
"Er son fealaghyn moar yn Aglish ain, ta laane sleih genmys ad laaghyn fealey, tra ta’d cliaghtey cur orroo nyn Eddagh share, dy ve nyn daue veih Obbyr, as beggan beg foddee goll gys y Cheill,[10] agh cha vod ad ansoor moar erbee y [xxviii] chur da peccagh nee briaght jeu, cre’n Oyr ta ny laghyn shen er ny reayl.","As to the great Festivals of our Church, common people and servants call them by the name of Holidays, when they are used to put on their best clothes, to leave work, and go abroad; but they cannot give an answer to any one who asks them the reason of these days being observed:",
"Er son troshtaghyn yn Aglish, ta chiart cha beg dy gheill ec lheid y sleih jeu, dy jarroo jeh’n ard trostey jeu ooilley, Jea-heiney Cheast.","And as to the Fasts of the Church, they are as little known to such People, even that solemn Fast of all, Good Friday.",
"Teh ryd joarree dy jarroo dy beagh sleih cha meehushtagh, fakin dy vel ad dy mennick clashtyn Shermaanyn er ty [sic: ny] feailaghyn mooarey as troshtaghyn yn Aglish; agh yn Oyr er y hon ta, son nagh bee ad gruntit ayns Tushtey jeh’n Chredjue liorish Preacheil mannagh bee yn Grunt as yn chied Toshiaght echey stanyt [?] ayns ny Aignaghyn oc rolaue; shegin da’n thalloo ve obb’rit ayns traa as yn rass dy cooie er ny chuir ayns y thalloo, eraght [sic: er aght] elley teh ayns fardail dy yercal rish Mess erbee, ec y chooid sloo gys veg y chooilleeney.","It may seem strange indeed that people should be so very ignorant when there is such constant Preaching, on these great Festivals and Fasts of our Church: But the truth is, they will not be brought to the knowledge of Religion by Preaching, unless [xxxvi] the grounds and first principles of it be conveyed into their minds beforehand: the earth must be well prepared, and the seed properly sown and laid in the ground, or otherwise it is in vain to expect any fruit, at least any to perfection.",
"Shoh ta’n Eirrinagh as yn Laboree toiggal dy mie as fys oc er liorish yn thalloo agh t’ad wheeish cheddin meeroosagh as dy lhiggey shaghey eh ayns aignaghyn nyn Gloan as Sharvaantyn boght: t’ad shoh tannaghtyn gyn trubble goit roo, gyn ooraghey, as gyn ynsagh, naght ne [sic: nagh nee] yindys erbee eh, dy vel Mee-hushtey as mee-chraueeaght wheesh goail toshiaght as Bishagh.","This the Farmer and labouring man well know, and practise in their lands, but they as much neglect it in the minds of their poor children and servants: These lie uncultivated, unimproved and unsown; and no wonder that so much ignorance and wickedness springs up and prevails.",
"T'eh feer vaghtal ayns laane Ynnydyn ’sy cheer raad ta Lughtyn-thie mooar as immodee Cloan as sharvaantyn boght, nagh vel agh feer veg dy chiarail er ny ghoail dy reayl ad fo reil vie, dy lhettal ad veih Mee chraueeaght as dy ynsagh ad nyn Gurrym.","It is very observable that in many country places, where there are large families, and abundance of poor children and servants, little or no care is taken to keep them in regular order, to restrain them from vice, or to teach them their duty.",
"Er Laa yn Chiarn as er ny fealaghyn ’scrauee as laghyn trosht yn Aglish ain, cha lea as ta shirveish ny Killagh harrish, ta ny Mainsteryn as Ben ainsteryn eddyr goll gyss, ny goail rish Sheshiaght, as Barail yn chooid elley jeh ny laghyn [xxix] casherick shoh ayns tagloo as niaghtyn fardaalagh, tra lhisagh ad ve marish nyn Gloan as Shavaantyn clashtyn ad as fennaght Questionyn jeu.","On the Lord's day, and on the most solemn Feasts and Fasts of our Church, as soon as ever divine service is over, the Masters and Mistresses either make or receive visits, and spend the remainder of these holy days in company,[11] when they should be amongst their children and servants, hearing them, and asking them questions.",
"Agh cha lhisagh shoh y ve, son marish yn neu-yeshyt jeh goll dy cheu yn traa marish sleih elley er lheid ny laghyn soit er lhea, dy ghoail nyn Aignaghyn jeh veih’n seihl as dy hoiagh ad er Obbraghyn crauee, ta unn Churrym mooar er ny lhiggey shaghey, ayn lhisagh shin dy kinjagh barail lheid ny traaghyn shoh, ta shen, Giastillys:—Giastillys gys Anmeenyn Deiney: Currym cha ymmyrchagh as booisal da Jee ayns ny thieyn ain, as ta nyn Badjeryn as Ooashley crauee ayns y Cheill, dy jinnagh eisht Ayraghyn as Moiraghyn as Mainshteryn lught thie goail yn chiarail shen, t’ad ayns cooinshense kianlt dy ghoail, dy chuir rass yn Chredjue ayns traa cooie ayns Aignaghyn nyn Gloan as shervaantyn, dy jinnah [sic: jinnagh] ad er ny laaghyn fealley shoh dy kinjagh goll thie, as geam er ny Lught-thieyn oc dy cheiley dy ynsagh ad cre ta er ny hoiggal liorish lheid ny laaghyn, dy vriaght jeu cre va ynsit veih’n pulpit as lheid shen, yinnagh shin dy lhea fakin caghlaa mooar gys y chooid shaare, yinnagh yn Meehushtey naareydagh ta shin nish wheesh gaccan er y hon, lhei er sool, as oddagh shin jercal dy akin Credjue goail toshaght as bishagh ny mast’ain.","But these things [xxxvii] ought not to be so; for, besides the unseasonableness of visits on such days, set apart for retirement and religious exercises; one great duty is neglected, wherein we should be always employed at these times; namely, Charity; —Charity to mens’ souls: a duty as necessary and acceptable to God in our houses, as our prayers and religious worship are in the church. If then Parents and Masters of Families would take that care, which in conscience they are bound, to sow the seeds of religion in due season, in the minds of their children and servants; if on these holy days they would constantly call their families together to instruct them in the meaning of such days, to enquire of them what was taught from the Pulpit, &c. we should soon see a vast alteration for the better: that shameful ignorance which is now so justly to be complained of, would be chased away, and we might hope to see Religion take root and flourish amongst us.",
"As dy jinnah [sic: jinnagh] dy chooilley phersoon ta gyn Ynsaghey, dagh Blein ec cheet ny fealiaghyn as laghyn trosht jannoo ny oddys ad dy ynsagh ny ta ’sy lioar shoh kiaryt er nyn son, cha jinnagh ad ny lomarcan cheet gys toiggal share jeh ny laaghyn shoh, agh gys tushtey myrgeddyn jeh folliaghtyn nyn Gredjue Casherick, ta er skyn ooilley ymmyrchagh da dagh Creestee dy hoiggal.","And if all unlearned persons would every year, at the return of the great Feasts and Fasts, endeavour to learn what is here provided for them, they [xxxviii] would not only become better acquainted with these days, but would be let into the knowledge of the mysteries of our most holy Religion, absolutely necessary for every Christian to understand.",
"[xxx] As myr ta ayns dagh Cabdil Bun er ny choyrt er lheid ny focklyn, as nagh vel liorish laane sleih er ny doiggal, myrgeddin ta meanal er ny chur er laane Raaghyn elley jeant ymmyd jeu ayns ny Scriptyryn casherick as ayns shermaanyn son nagh beagh sleih erbee ec coayl son toiggal lheid ny Goan.","And as I have all along explained under every chapter such words as I thought were not generally known, so I have added in the end, the meaning of several other terms used in the holy Scriptures, and in sermons, that. common people might not be at a loss when they meet with these expressions; ",
"Son gyn doot, ta laane ta dy kinjagh taaghey yn Cheill as oddys lhaie Cabdil’s y [sic: ’sy] Vibyl ny lioaryn mie elley, nagh vel son ooilley shoh toiggal Bun laane goan as raaghyn ta’d clashtyn ayns Padjeryn as shermaanyn, son myr ta ny Goan shoh er ny ghoail veih Glaaraghyn joaree kys oddys sleih toiggal ad, nagh vel er gheddyn Ynsagh, na er gheddyn lioaryn dy hoilshagh daue shen ta ymmyrchagh er nyn son dy hoiggal?","for certain it is, there are many who are very constant at Church, and can read a Chapter in the Bible, or other good books very well, who yet understand not the meaning of several words and phrases they hear in the Prayers and in Preaching; for these words being derived from learned languages, how should country people understand them, who cannot be supposed to have had a learned education, or to have the opportunity of books to inform themselves of what is necessary for them to know?",
"Shen y fa ta jercal dy ve jeant, dy vod eh y ve jeh ymmyd as Vondeish mooar daue dy vel Bun floail er ny chur er lheid ny Goan.","Therefore, I hope, it may be of great use and advantage to them, to have [xxxix] such words ready explained to their hands.",
"As bee eh yn Phleasal as yn Cooilleen aigney smoo, my nee ny ta ayns y lioar shoh bishagh Gloyr Yee, gynsagh ny Meehushtee, cur er y hoshiaght Agglish Chreest, as cooney dy yannoo laane anmeenyn creeney gys Saualtys. Amen.","And it will be the greatest pleasure and satisfaction to me, if what I have done shall tend to the glory of God, to the instructing the ignorant, to the edifying the church of Christ, and to the making many souls wise unto Salvation.",
"Lurg da’n Lioar shoh ve dy mie er ny hoigal as er ny real ayns Cooinaghtyn yinnagh adsyn oddys lhaih, ryd feer vie er nyn son hene, dy jinnagh ad geddyn Lioar ta enmyssit, “slane Currym Doinney [sic: Dooinney]” (the Whole Duty of Man) as Lioar Mr. Nelson mychione ny Fealaghyn as trostaghyn Aglish Hoghsyn.","Note.—After the following Explanation is well understood, I recommend it to those who can read well, and are able to purchase them, that they would furnish themselves with The Whole Duty of Man, and Mr. Nelson’s Book on the Festivals and Fasts of the Church of England.",
QUESTION.,Question.,
Cre’n ennym t’ort?,What is your name?,
Answer. N. or M.,Answer. N. or M.,
Q. Cre t’ou genmys yn ennym shoh?,Q. What name do you call this?,
A. My ennym Creestee.,A. My christian name.,
Q. Cre’n fa t’ou genmys eh dty ennym creestee?,Q. Why do you call it your christian name?,
A. Er-yn-oyr dy row eh er ny choyrt dou tra va mee jeeant my Chreestee.,A. Because it was given to me when I was made a christian.,
Q. Cre’n tra v’ou jeant dty chreestee?,Q. When was you made a christian?,
A. Tra va mee er my vashtey.,[2] A. When I was baptized or christened.,
Q. Cre te dty [sic: dy] ve dty chreestee?,Q. What is it to be made a christian?,
"A. Te dy ve jeant my oltey dy Chreest, lhiannoo dy Yee, as eirey dy Reeriaght Niau.","A. It is to be made a member of Christ, a child of God, and an inheritor of the kingdom of Heaven.",
Q. Cre te dy ve oltey dy Chreest?,Q. What is it to be a member of Christ?,
A. Dy ve oltey jeh Agglish Chreest.,A. To be a member of Christ’s Church.,
Q. Cre te dy ve oltey jeh Agglish Chreest.,Q. What is to be a member of Christ’s Church?,
"A. Dy ve unnane jeh’n chorp ny sheshaght dy gheiney, ta credjal ayns Yeesey Creest.",A. One of that body or society of men who believe in Jesus Christ.,
Q. Cre te dy ve lhiannoo dy Yee?,Q. What is it to be a child of God?,
A. Dy ve jeant e lhiannoo liorish doltayns [sic: doltanys] as grayse.,A. To be made his child by adoption and grace.,
Q. Cre ta dy ve toiggit liorish ny goan shoh?,Q. What do those words signify?,
"A. Jee goaill shin stiagh gys e ghraih as e oayr, er graih Chreest, as cur dooin yn gialdyn jeh cronney nagh row ain roie.","A. God’s receiving us into his love and favour, for the sake of Christ; and giving us the promise of a portion, which we had not before.",
Q. Cre ta’n cronney shen?,Q. What is that portion?,
A. Eiraght ayns Reeriaght Niau.,A. An inheritance in the Kingdom of Heaven.,
Q. Cre ayns ta’n eiraght shen lhie?,Q. Wherein does this inheritance consist?,
A. Ayns bea dy vaynrys bra lurg baase. ,A. In a life of everlasting happiness after death.,
[10] Q. Er cre’n condition t’ou dy yercal rish?,[3] Q. Upon what conditions are you to expect it?,
A. My nee’m ny reddyn shen ghiall my ghedjaghyn as my vimmaghyn er my hon ec my vashtey.,A. If I do those things which my godfathers and godmothers promised for me at my baptism.,
,,
SECT. II.,SECT. II,
,,
Q. CRE ren dty ghedjaghyn as dty vimmaghyn y ghialdyn er dty hon ec dty vashtey?,Q. What did your godfathers and godmothers promise for you at your baptism?,
A. Ghiall ad as vreear ad three reddyn ayns my ennym.,A. They did promise and vow three things in my name.,
Q. Cre ta’n chied red ghiall ad er dty hon ec dty vashtey?,Q. What is the first thing they promised for you at your baptism?,
"A. Dy dreigin y Drogh-spyrryd, yn seihll, as yn eill.","A. That I should renounce the Devil, the world, and the flesh.",
Q. Quoi yn Drogh-spyrryd?,Q. Who is the Devil?,
A. Yn fer syrjey jeh ny drogh ainelyn [sic: ainleyn] ren tuittyn [sic: tuittym].,A. The chief of the wicked fallen Angels.,
Q. Cre ta obbraghyn y Drogh-spyrryd?,Q. What are the works of the Devil?,
"A. Dy chooilley vee-chraueeaght; agh er-lheh breagyn, as miolagh sleih gys peccah.","A. All Wickedness, but especially lying and tempting men to Sin.",
Q. Cre t’ou toiggal liorish moyrn as fardail yn theihll vee-chrauee shoh?,Q. What do you mean by the pomps and vanities of this wicked world?,
"A. Moyrn, gamstyragh,[12] drogh heshaght, as dy chooilley sport fardalagh.","[4] A. Pride, gaming, ill company, and all vain pleasures.",
Q. Cre t’ou toiggal liorish saynt peccoil ny foalley?,Q. What do you mean by the sinful lusts of the Flesh?,
"A. Meshtallys, brishey-poosey as dy chooilley neughlennid.","A. Drunkenness, fornication, and all uncleanness.",
Q. Cre t’ou toiggal liorish treigeil ad shoh?,Q. What do you mean by renouncing all these?,
"A. Shaghney ad, as chea voue, myr shen nagh jeanym geiyrt orroo, as nagh bee’m er my lieedeil lioroo.","A. The forsaking and avoiding of them, the not following or being led by them.",
Q. Cre ta’n nah red ghiall dty ghedjaghyn as dty vimmaghyn er dty hon?,Q. What is the second thing your godfathers and godmothers promised for you?,
A. Dy greddin ooilley banglaneyn yn chredjue creestee.,A. That I should believe all the articles of the christian faith.,
Q. Cre t’ou toiggal liorish banglaneyn dty [sic: dy] chredjue creestee?,Q. What do you mean by the articles of the christian faith?,
"A. Lheid ny ayrnyn shen dy ynsagh as ta Creest er hoilshagh dooin ayns raad gys saualtys, ta ayns focklyn giarey soit sheese ayns crea nyn Ostyllyn.","A. All such points of Doctrine as Christ has taught us in order to salvation, which are briefly contained in the Apostles’ Creed.",
Q. Cre ta’n trass red ghiall dty ghedjaghyn as dty vimmaghyn er dty hon?,Q. What is the third thing your godfathers and godmothers promised for you? ,
"A. Dy vreillin aigney casherick Yee as e annaghyn, as dy nhimmeein ayndoo ooilley laghyn my vea.","A. That I should keep God’s holy will and commandments, and walk in the same all the days of my life. ",
Q. Cre’n-fa t’ou kainlt dy chredjal as dy yannooo [sic] ooilley ny ghiall dty ghedjaghyn as dty vimmaghyn er dty hon?,Q. Why are we bound to believe and [5] do all that our godfathers and godmothers promised for us?,
"A. Er-yn-oyr mannagh jean-ym, cha [sic: nagh] voddym dy bragh goll stiagh ayns Reeriaght Yee.","A. Because, if we do not, we can never attain to the Kingdom of Heaven.",
Q. Cre ta’n stayd shen dy haualtys t’ou ayns shoh cur booise da Jee son geam ort huggey? ,Q. What is the State of Salvation we here thank God for calling us to?,
[11] A. Yn stayd maynrey shen huggey ta me er ny ghoaill stiagh liorish bashtey.,A. That happy state we are admitted into by baptism.,
Q. Cre ta dy chooilley unnane cosney liorish y ve er ny vashtey?,Q. What does every one gain by being baptized?,
A. T’eh goit stiagh ayns conaant rish Jee.,A. He is taken into covenant with God.,
Q. Cre ta’n bargane ny’n condition jeh’n chonaant shoh?,Q. What are the terms and conditions of this covenant?,
A. Ta Jee er yn ayrn echeysyn gialdyn dy ghiootal orrin yn vea veayn.,A. God on his part promises to bestow upon us eternal life.,
Q. As cre ta shin gialdyn da Jee er yn ayrn ainyn tra ta shin er nyn mashtey?,Q. And what do we promise to God on our part when we are baptized?,
"A. Dy jean mayd shirveish eh, as biallys ’choyrt da, as beaghey cordail rish Sushtal Chreest.","A. That we will serve and obey Him, and live according to the Gospel of Christ.",
Q. Vel oo abyl shoh y yannoo?,Q. Are you able to do this?,
